File,E1-rms_w,E2-rms_w,E3-rms_w,E4-rms_w,E5-rms_w,E6-rms_w,E7-rms_w,E8-rms_w,E9-rms_w,E10-rms_w,E11-rms_w,E12-rms_w,E13-rms_w,E14-rms_w,E15-rms_w,E16-rms_w,E17-rms_w,E18-rms_w,E19-rms_w,E20-rms_w,E21-rms_w,E22-rms_w,E23-rms_w,E24-rms_w,E25-rms_w,E26-rms_w,E27-rms_w,E28-rms_w,E29-rms_w,E30-rms_w,E31-rms_w,E32-rms_w,E33-rms_w,E34-rms_w,E35-rms_w,E36-rms_w,E37-rms_w,E38-rms_w,E39-rms_w,E40-rms_w,E41-rms_w,E42-rms_w,E43-rms_w,E44-rms_w,E45-rms_w,E46-rms_w,E47-rms_w,E48-rms_w,E49-rms_w,E50-rms_w,E51-rms_w,E52-rms_w,E53-rms_w,E54-rms_w,E55-rms_w,E56-rms_w,E57-rms_w,E58-rms_w,E59-rms_w,E60-rms_w,E61-rms_w,E62-rms_w,E63-rms_w,E64-rms_w,E65-rms_w,E66-rms_w,E67-rms_w,E68-rms_w,E69-rms_w,E70-rms_w,E71-rms_w,E72-rms_w,E73-rms_w,E74-rms_w,E75-rms_w,E76-rms_w,E77-rms_w,E78-rms_w,E79-rms_w,E80-rms_w,E81-rms_w,E82-rms_w,E83-rms_w,E84-rms_w,E85-rms_w,E86-rms_w,E87-rms_w,E88-rms_w,E89-rms_w,E90-rms_w,E91-rms_w,E92-rms_w,E93-rms_w,E94-rms_w,E95-rms_w,E96-rms_w,E97-rms_w,E98-rms_w,E99-rms_w,E100-rms_w,E101-rms_w,E102-rms_w,E103-rms_w,E104-rms_w,E105-rms_w,E106-rms_w,E107-rms_w,E108-rms_w,E109-rms_w,E110-rms_w,E111-rms_w,E112-rms_w,E113-rms_w,E114-rms_w,E115-rms_w,E116-rms_w,E117-rms_w,E118-rms_w,E119-rms_w,E120-rms_w,E121-rms_w,E122-rms_w,E123-rms_w,E124-rms_w,E125-rms_w,E126-rms_w,E127-rms_w,E128-rms_w,GFP-rms_w
r4c12_ec_p3-mux,-1.0518,-0.846244,-0.677989,-0.328578,-0.381578,-0.193722,-0.186267,-2.307789,-1.056022,-0.385822,-0.580344,-0.315522,-0.254022,-0.808844,-1.193133,-0.653956,-0.904455,-1.139689,-0.29459,-0.549422,-0.413956,-1.912356,-1.076689,-0.646033,-0.239902,-0.267373,-0.387229,-0.267152,-0.734378,-0.3588,-0.225289,0.16002,-0.447977,-0.612289,-0.729467,-0.781822,-0.481856,-0.187043,-0.950689,-1.393356,-1.798778,-1.619622,-2.123967,-0.712756,-1.778133,-2.432878,-2.382111,-2.619378,-1.169489,-3.270878,-3.241723,-2.798167,-1.8827,0.627593,0.838154,-2.996811,-3.440645,-3.6202,-3.572122,-3.05473,-0.295948,0.764948,-2.943233,-3.440511,-3.638089,-2.635627,-1.301759,0.288872,-2.578778,-2.837378,-2.448184,-1.796731,-0.861206,-2.697578,-2.322367,-2.224357,-1.535302,-0.241727,0.711939,0.560216,0.003861,-2.4033,-2.038848,-1.873734,-1.779122,-0.554048,0.005659,-0.217833,-3.244644,-2.553322,-1.294471,-2.025873,-0.760481,-0.630338,-1.890622,-1.956911,-1.777833,-1.106145,-0.884718,-2.180333,-1.420911,-0.408837,-1.136978,-0.898167,-0.590344,-0.254278,-0.157368,-1.826189,-0.605856,-0.757189,-0.592078,-0.499789,-0.363267,-1.389789,-1.2392,-0.1917,-0.396022,-0.473144,-0.486167,-1.067978,-0.689344,-0.566289,-0.6854,-0.479633,-0.594256,-0.232207,-0.119709,-0.603104,1.174828
r4c13wb-mux,-3.478544,3.233062,2.954295,2.399694,1.615041,1.548844,0.579756,4.222576,2.393037,2.351758,2.060701,1.040972,0.50165,0.287743,1.660258,2.10753,1.917576,1.573117,1.688886,1.326326,1.238398,-1.314456,1.771163,1.980486,1.825933,-2.625756,1.865341,2.312104,2.224179,0.990555,0.128784,-0.594111,-0.977544,2.971693,0.384067,1.204876,0.079348,-0.901878,2.723913,0.994333,0.505569,-0.004696,-0.678069,2.219925,2.2178,0.519594,0.106906,-0.633,3.218207,-0.416826,-0.583221,-0.978622,-0.739271,-0.054438,-0.265852,1.226834,1.955093,-0.831256,-1.048589,-0.841616,-0.235347,-0.10477,-0.223399,-0.701889,-1.181811,-0.086222,0.427458,1.216562,-1.031656,-1.103289,-0.272258,0.422836,0.519887,-1.071178,1.223327,-0.248479,-0.438862,0.117287,0.578559,0.45264,-0.102996,-0.570567,-1.108945,-1.116256,-1.235056,-1.311111,-0.950996,-0.361963,-0.931278,-1.492056,-2.475789,-2.470244,-1.689433,-0.9365,-1.488867,-1.573622,-1.781222,-1.559578,-1.479978,-1.509078,-1.409778,-0.558111,-0.412989,-0.113908,0.088887,0.328949,0.432767,-1.181811,1.282811,0.885228,1.163571,1.52954,1.274602,1.388467,1.722052,1.481216,1.72982,1.966832,1.788369,1.645819,2.921893,2.288755,1.830259,2.049376,3.609248,2.911118,3.57236,1.754098,1.586737
r4c14_ec_p3-mux,-0.410639,-0.232377,-0.735264,-0.485783,-0.103706,0.248733,0.156778,-1.070126,-1.146133,-0.626509,-0.558178,-0.423667,-0.13865,-1.346922,-1.004386,-0.875233,-0.665232,-0.438889,0.153888,-0.413856,-0.444733,-0.864129,0.164056,-0.354944,-0.968322,-1.049078,-0.080192,0.037503,-0.777,0.104374,0.38616,-0.090506,0.023409,-0.000535,0.19172,0.239656,0.346557,0.362264,0.28551,0.099174,0.074606,-0.092128,-0.200331,1.099493,-0.109551,-0.773946,-0.642551,-1.099147,0.639867,-2.285545,-2.502956,-1.810467,0.106079,0.221699,0.233693,-0.394416,-2.995763,-4.174424,-3.679289,-2.237633,1.034091,0.79093,-1.347432,-3.502889,-3.78228,-2.366133,0.344573,1.161258,-1.510889,-2.171638,-2.60018,-1.306042,0.408542,-1.962936,-1.32472,-1.073377,-0.204833,0.836108,0.840689,0.740833,0.310877,-0.8799,-0.898472,-0.203671,-0.821546,-0.925397,0.085841,0.552042,-0.847389,-1.056993,-2.034922,-3.240789,-1.006514,-0.529795,-0.959631,-2.037531,-3.126289,-2.166833,-1.236363,-1.061499,-1.834279,-2.364962,-1.04614,-0.715996,-0.151338,0.170668,0.230509,-1.207678,-1.907478,-0.903779,-0.641369,-0.107583,0.162844,0.082496,-0.658659,-0.676617,-0.680273,-0.605954,-0.384263,0.398883,0.013214,-1.063812,-0.808837,-0.586028,-0.1757,0.30995,0.379306,0.178159,1.229071
r4c16_ec_p3-mux,1.64979,0.637336,0.703949,0.508537,0.196419,0.192672,0.205568,1.737329,1.379219,0.765999,0.020647,-0.053952,0.107922,1.940452,0.938981,0.099867,1.028202,-0.521313,-0.008273,-0.071384,-0.033586,0.918552,0.428548,-0.117801,-0.160122,0.799268,0.127958,0.08931,0.059091,0.131387,-0.054221,0.398988,1.126119,0.65766,-0.070998,-0.088609,0.446319,0.165498,0.542498,-0.061799,-0.06277,0.065089,0.002561,0.365496,-0.076276,0.003357,0.085694,-0.216493,0.335241,-0.360321,-0.329521,-0.500736,-0.260869,-0.283587,-0.195642,-0.532739,-0.557631,-3.188533,-2.819644,-0.599284,-0.621166,-0.48119,-1.316178,-2.4261,-1.015489,-0.776889,-0.701543,-0.262023,-0.798099,-0.558627,-0.849789,-0.733033,-0.753133,0.084864,-1.0145,-1.016922,-0.6368,-0.176209,-0.38076,-0.259694,-0.043258,-0.549167,-1.265878,-1.303644,-1.244611,-1.382077,-0.812361,0.111512,-0.491933,-1.480867,-0.933689,-2.488278,-1.124389,-0.391234,-0.942422,-1.0773,-1.4734,-0.830917,-0.661222,-0.695756,-0.288133,-0.152483,0.102214,0.110414,0.439499,0.234413,0.066587,-0.280908,1.402643,0.637914,0.56093,0.622246,0.603966,0.7707,0.776202,0.764164,0.690693,0.783008,0.919496,1.287637,1.610973,1.465234,1.011014,1.040289,1.387876,0.156726,1.629611,-2.955011,0.970935
r4c17_ec_p3-mux,-1.404956,-1.036511,-1.036644,-0.785089,-0.671611,-0.430482,0.07798,-1.701967,-1.314589,-1.061922,-1.009933,-0.770038,-1.434867,-1.659644,-2.0623,-1.328356,-0.52966,-2.9339,-1.660267,-1.553956,-1.519644,-2.814267,-2.024011,-1.8998,-1.704922,-2.242711,-1.931111,-1.987067,-1.906911,-1.7013,-1.573878,0.365973,-1.917556,-2.042222,-2.126611,-1.951756,-1.677356,-0.958033,-2.361689,-2.2034,-2.333534,-1.998833,-1.788822,-2.574133,-2.9769,-2.316789,-2.394845,-1.968422,-2.929911,-2.398611,-3.074378,-2.316889,-0.610478,1.27236,0.385226,-2.860289,-3.0627,-2.900667,-2.745156,-1.181878,1.268429,0.68742,-3.101433,-2.832633,-2.289733,-1.320378,0.968737,0.890169,-2.197056,-1.928722,-1.034678,-0.260557,0.17456,-1.082367,-0.631456,-0.467265,-0.511339,0.562465,0.669082,0.089799,-0.059602,-0.656611,-0.511608,-0.882511,-0.764867,-0.832756,-0.166171,-0.16308,0.073514,-1.220289,-1.665733,-1.441367,-1.366889,-0.919689,-2.206233,-2.144789,-1.724344,-1.538078,-1.245255,-2.346778,-2.223,-1.680844,-1.411478,-1.090833,-0.716945,-0.348578,-0.11277,-2.254633,-1.329111,-1.328733,-1.075989,-0.485033,-0.25658,-2.306033,-1.165,-1.251433,-1.093489,-0.927644,-0.39303,-2.157967,-1.298922,-1.121511,-0.922745,-0.851167,-2.002544,-1.482589,-0.298772,-2.2815,1.019619
r4c18_ec_p3-mux,0.473781,0.966952,0.932742,0.541289,0.11219,0.077226,-0.004472,0.396396,0.812774,0.547908,-0.122578,0.059178,-0.02645,-0.491938,1.399784,0.590141,0.36787,0.307469,0.744001,0.114564,-0.352246,-0.090608,0.765901,-0.022938,-0.245441,-0.277481,0.070713,-0.250738,-0.7594,-1.427556,-1.442944,-0.697989,0.219968,-0.387343,-0.979478,-0.829278,-2.289145,-1.7856,0.377431,-1.035211,-2.1238,-2.056867,-2.921456,-0.359487,-1.279689,-1.244,-2.478878,-3.126333,-1.452522,-2.687,-3.3996,-3.603845,-3.008245,-1.084056,-0.866056,-1.835778,-1.389589,-3.886511,-3.570811,-4.514411,-2.233145,-1.7871,-2.700822,-3.591667,-3.882711,-3.275367,-3.124533,-2.568011,-4.208522,-5.267434,-4.195589,-3.200811,-3.293,-4.826111,-3.923889,-3.802211,-3.329923,-3.635711,-1.7042,-0.966211,-0.163032,-5.174811,-3.619278,-3.670423,-3.8444,-4.461589,-2.316355,-0.7946,-5.762622,-3.246123,-3.431989,-4.939555,-3.808255,-1.729144,-3.380956,-2.6421,-2.284966,-2.908878,-1.978244,-2.452367,-2.460689,-1.486667,-1.0861,-1.066445,-0.517,-0.339256,-0.038338,-1.407867,-0.875822,-0.587697,-0.585538,-0.308064,-0.042193,0.13697,0.003038,-0.359226,-0.132353,0.035391,-0.254897,0.389711,0.663837,0.138264,0.086892,0.253069,0.790206,1.057923,-0.166289,0.946662,1.769143
r4c20_ec_p3-mux,-1.4089,-1.409089,-0.874256,-0.608811,-0.3709,-0.3175,-0.083333,-2.314311,-1.626078,-1.203711,-1.083233,-0.613167,-0.4531,-1.987122,-1.2661,-1.313378,-1.613644,-1.082544,-1.205833,-0.973478,-1.001467,-1.584011,-1.066333,-1.2656,-0.901022,-2.184311,-1.3409,-1.145356,-1.0561,-0.394989,-0.4141,0.160913,-1.870289,-1.219156,-1.281722,-1.059689,-0.309033,-0.3132,-2.0624,-1.181567,-1.070744,-0.964711,-0.706744,-1.539478,-1.329056,-1.860611,-0.833189,-2.145578,-1.326011,-2.8127,-3.771234,-2.375411,-0.646667,0.132463,0.197719,-2.326156,-2.698122,-5.074822,-5.806878,-4.523322,-0.178172,0.24125,-2.409911,-3.786,-6.050634,-5.408234,-2.825945,-0.119243,-2.505611,-4.277089,-4.062833,-3.341333,-2.060841,-2.253811,-3.361,-3.148756,-2.758156,-2.457202,-0.507802,-0.178474,-0.259722,-2.499889,-2.7834,-3.307822,-4.786811,-3.175889,-0.86316,-0.57807,-2.347578,-2.671878,-4.227911,-4.349067,-2.017538,-0.82451,-1.776543,-2.728856,-3.3077,-3.078511,-1.875944,-2.292156,-2.216955,-2.160789,-1.917511,-1.264467,-0.628789,-0.385356,-0.282011,-1.813633,-1.674567,-1.4019,-0.979622,-0.723067,-0.355978,-1.541055,-1.452689,-1.203989,-1.811967,-0.936722,-0.822656,-1.060611,-0.260719,-0.978722,-1.186578,-0.659989,-0.743878,0.066042,0.720214,-3.284567,1.375997
r4c23_ec_p3-mux,-1.838867,-1.373579,-0.952959,-0.287858,0.151302,0.592582,0.73803,-1.918789,-1.151219,-0.609183,0.017775,0.447482,0.770366,-1.292284,-0.692856,-0.412443,-1.445265,-0.274803,0.471813,0.46914,0.683488,-0.529505,-0.308354,0.403581,0.83928,-1.338767,-0.7151,0.152678,0.612417,0.626168,0.798007,0.539123,-1.588756,-0.724863,0.051442,0.448924,0.413157,1.281072,-1.475633,-0.878511,-0.084716,0.15823,-0.225901,-1.930433,-1.06027,-0.972822,-0.571356,-0.194346,-1.849511,-1.208422,-1.075989,-0.419188,-0.356663,0.284148,-0.233352,-3.118545,-1.409745,-2.147655,-1.233278,-0.612091,-1.118191,-0.567209,-3.0436,-1.734556,-1.6412,-1.663977,-1.450149,-1.450415,-2.863278,-1.791978,-1.869022,-1.782389,-1.526519,-2.583378,-2.023994,-2.191951,-1.940379,-2.103607,-0.368334,-0.993532,-0.571429,-2.392333,-4.3582,-2.874278,-2.8056,-2.419323,-0.979344,-0.717244,-3.719045,-2.983696,-4.790961,-2.455811,-2.068511,-1.525633,-3.760434,-3.956422,-3.074966,-3.470866,-2.338233,-4.392411,-3.719345,-3.742744,-2.484067,-2.129611,-1.331411,-0.409433,-0.077993,-3.919433,-2.692955,-2.435033,-1.882555,-0.833711,-0.343467,-2.627911,-2.552134,-2.105389,-1.937222,-1.789867,0.171014,-2.198278,-2.121122,-2.095011,-1.4425,-0.911938,-2.403489,-2.079389,-1.391313,-2.460878,1.721982
r4c25_ec_p3-mux,-0.878967,-0.416516,-0.367471,-0.359911,-0.297856,-0.324756,-0.292222,-0.679556,-0.953856,-0.741971,-0.692356,-0.647756,-0.827656,-1.260156,-1.228378,-0.777189,-1.5919,-1.2131,-1.528167,-1.117467,-1.338,-1.051455,-0.06975,-1.228145,-1.468478,-1.556733,-0.590319,-1.557222,-1.732989,-1.661789,-1.619545,-0.662844,-1.434289,-2.128978,-3.094822,-2.979434,-2.790211,-2.606256,-2.428622,-3.710011,-3.556823,-3.906922,-3.7238,-2.532933,-3.552411,-4.073534,-4.051344,-4.741933,-3.901033,-4.929433,-5.885511,-5.433745,-3.874244,-1.673878,-0.209156,-5.218267,-5.262333,-6.950966,-7.059045,-6.110312,-2.951678,-0.889011,-5.634356,-7.522534,-8.959599,-8.448545,-4.505845,-2.1984,-8.559555,-8.1216,-7.380611,-7.481356,-3.547111,-7.218089,-6.337222,-5.144267,-4.4931,-2.8029,-2.151166,-0.304656,-0.158,-5.583723,-4.843389,-4.890689,-5.425633,-3.3944,-1.982133,0.200794,-5.037178,-5.010533,-6.668266,-7.618345,-2.199322,-0.652828,-4.354889,-4.682178,-4.104289,-1.842066,-1.392456,-3.418056,-2.7662,-1.926011,-1.123311,-0.364581,-0.015479,-0.020264,-0.111311,-2.860067,-0.631,-0.531245,-0.336611,-0.203333,-0.138844,-2.2202,-0.785878,-0.626122,-0.328467,-0.265889,-0.288322,-1.567155,-1.006711,-0.381189,-0.315689,-0.248289,-1.593233,-2.096,-3.078467,-2.597033,2.389092
r4c26_ec_p3-mux,-1.635211,-2.193933,-2.214345,-2.222,-2.188262,-0.916378,-0.954342,-1.454689,-2.672956,-3.173833,-2.544478,-2.360211,-1.719278,-2.030578,-2.906711,-2.595144,-1.724178,-3.078856,-2.908656,-2.719733,-2.141011,-2.957644,-2.689178,-2.637267,-2.587422,-2.903344,-2.579944,-2.453278,-2.2577,-1.708978,-1.067078,-0.563556,-1.770555,-2.527156,-2.7042,-1.759811,-1.235089,-0.519256,-2.711467,-2.749289,-2.227778,-2.015111,-1.223,-3.087678,-2.851511,-2.6853,-2.139667,-2.0543,-3.159633,-2.240089,-2.049333,-1.906889,-1.505578,-0.897817,-0.040466,-3.815911,-2.390211,-2.452911,-1.937789,-1.509278,-0.977829,-0.055849,-2.790456,-2.627156,-1.840744,-1.659407,-1.273799,0.173767,-3.248222,-2.1197,-1.993034,-1.090209,-0.475832,-2.780222,-1.495271,-1.367672,-1.03449,0.370748,0.570796,0.54977,0.53241,-2.031612,-1.279943,-1.287071,-1.327187,-1.089547,-0.788918,-0.997367,-2.175058,-1.536847,-1.505391,-1.539044,-1.69,-1.291778,-1.537485,-2.009411,-2.100867,-1.9821,-1.570233,-2.428789,-2.370456,-2.078445,-1.714289,-1.414911,-1.026533,-1.002844,-0.257852,-2.145633,-1.895344,-1.687289,-1.589622,-1.540789,-1.367411,-1.622555,-1.907122,-1.808267,-1.894333,-2.033967,-2.057856,-1.797045,-1.580755,-1.773767,-1.941889,-2.122633,-1.608633,-1.123512,-2.234911,-2.857567,1.069918
