File,E1-ec0Rmss,E2-ec0Rmss,E3-ec0Rmss,E4-ec0Rmss,E5-ec0Rmss,E6-ec0Rmss,E7-ec0Rmss,E8-ec0Rmss,E9-ec0Rmss,E10-ec0Rmss,E11-ec0Rmss,E12-ec0Rmss,E13-ec0Rmss,E14-ec0Rmss,E15-ec0Rmss,E16-ec0Rmss,E17-ec0Rmss,E18-ec0Rmss,E19-ec0Rmss,E20-ec0Rmss,E21-ec0Rmss,E22-ec0Rmss,E23-ec0Rmss,E24-ec0Rmss,E25-ec0Rmss,E26-ec0Rmss,E27-ec0Rmss,E28-ec0Rmss,E29-ec0Rmss,E30-ec0Rmss,E31-ec0Rmss,E32-ec0Rmss,E33-ec0Rmss,E34-ec0Rmss,E35-ec0Rmss,E36-ec0Rmss,E37-ec0Rmss,E38-ec0Rmss,E39-ec0Rmss,E40-ec0Rmss,E41-ec0Rmss,E42-ec0Rmss,E43-ec0Rmss,E44-ec0Rmss,E45-ec0Rmss,E46-ec0Rmss,E47-ec0Rmss,E48-ec0Rmss,E49-ec0Rmss,E50-ec0Rmss,E51-ec0Rmss,E52-ec0Rmss,E53-ec0Rmss,E54-ec0Rmss,E55-ec0Rmss,E56-ec0Rmss,E57-ec0Rmss,E58-ec0Rmss,E59-ec0Rmss,E60-ec0Rmss,E61-ec0Rmss,E62-ec0Rmss,E63-ec0Rmss,E64-ec0Rmss,E65-ec0Rmss,E66-ec0Rmss,E67-ec0Rmss,E68-ec0Rmss,E69-ec0Rmss,E70-ec0Rmss,E71-ec0Rmss,E72-ec0Rmss,E73-ec0Rmss,E74-ec0Rmss,E75-ec0Rmss,E76-ec0Rmss,E77-ec0Rmss,E78-ec0Rmss,E79-ec0Rmss,E80-ec0Rmss,E81-ec0Rmss,E82-ec0Rmss,E83-ec0Rmss,E84-ec0Rmss,E85-ec0Rmss,E86-ec0Rmss,E87-ec0Rmss,E88-ec0Rmss,E89-ec0Rmss,E90-ec0Rmss,E91-ec0Rmss,E92-ec0Rmss,E93-ec0Rmss,E94-ec0Rmss,E95-ec0Rmss,E96-ec0Rmss,E97-ec0Rmss,E98-ec0Rmss,E99-ec0Rmss,E100-ec0Rmss,E101-ec0Rmss,E102-ec0Rmss,E103-ec0Rmss,E104-ec0Rmss,E105-ec0Rmss,E106-ec0Rmss,E107-ec0Rmss,E108-ec0Rmss,E109-ec0Rmss,E110-ec0Rmss,E111-ec0Rmss,E112-ec0Rmss,E113-ec0Rmss,E114-ec0Rmss,E115-ec0Rmss,E116-ec0Rmss,E117-ec0Rmss,E118-ec0Rmss,E119-ec0Rmss,E120-ec0Rmss,E121-ec0Rmss,E122-ec0Rmss,E123-ec0Rmss,E124-ec0Rmss,E125-ec0Rmss,E126-ec0Rmss,E127-ec0Rmss,E128-ec0Rmss,Cz-ec0Rmss
engws000021,0.406641,0.708781,1.525446,1.819552,2.559839,3.805952,4.530194,-0.82984,0.919638,1.770335,2.52546,3.318857,3.444674,-0.614301,1.368307,1.538305,-0.469859,1.967347,2.22888,2.72689,0.148513,1.752839,2.203688,2.327816,0.921144,1.940037,1.928194,2.308535,2.717018,3.48832,3.665704,0.740735,1.713191,1.902013,1.870094,2.441813,3.462479,1.600955,1.30283,1.20248,1.116108,1.506724,0.860997,1.209132,0.00233,0.072963,0.357183,0.554288,0.622563,-1.21234,-0.662065,0.563899,1.301933,-0.132779,3.392854,-0.48087,-1.148901,-1.979645,-1.024176,0.136166,-0.656748,-0.029823,-1.156865,-2.455187,-2.764892,-2.124231,-0.960254,-3.61395,-3.350429,-2.749342,-2.144157,-1.675395,-2.975909,-3.343049,-3.110078,-1.840989,-0.818565,-0.04724,1.125966,2.07353,-2.869273,-2.817585,-3.149237,-2.977226,-1.826017,-0.965865,0.283919,-3.195692,-4.359501,-5.395257,-3.422748,-1.981575,-1.540454,-3.410764,-4.45749,-3.330876,-2.81522,-2.052753,-3.345154,-3.386834,-3.016384,-1.843943,-1.136142,0.491872,1.472346,4.067791,-2.257037,-1.818979,-0.137315,0.416435,1.176121,2.360347,-0.390673,-0.213965,-0.123665,0.187605,1.181888,2.625589,-0.57769,-0.362517,-0.003004,0.504094,1.071138,1.479577,0.430346,-0.506359,-0.118184,1.188933,3.539124
engws000031,1.137291,1.95876,2.05311,1.775114,1.288846,1.085858,0.233389,4.162318,2.288796,2.283769,1.516773,1.509958,0.711056,2.571584,2.29796,1.998298,3.860728,2.060987,2.011021,1.386597,2.556499,2.338183,2.705447,1.939774,2.586893,3.617858,1.928586,1.101013,0.589644,-0.083014,-0.473394,2.539476,2.320231,1.554842,0.183537,-0.806103,-0.677722,1.908592,0.789911,0.098855,-0.848937,-1.723296,1.51661,1.293061,-0.770423,-1.079239,-1.661004,1.706781,1.600302,-1.690642,-2.300491,-1.474329,-1.080654,-0.330588,-0.518659,0.22947,-1.126231,-3.276515,-2.292406,-1.054637,0.501139,0.496962,-0.583947,-2.180898,-3.304717,-1.221884,-0.174033,-1.081345,-2.073636,-2.468297,-0.822913,-0.15037,-1.149648,-1.801099,-1.288192,0.072196,0.328829,0.064818,-0.749989,-0.786832,-0.719234,-1.38945,-1.698729,-0.39115,-0.373755,-1.175828,-1.825224,-1.024497,-1.7397,-1.943645,-1.092776,-1.2585,-1.711279,-1.062832,-2.272589,-2.549658,-1.723716,-1.74355,-1.077899,-2.172862,-3.002528,-1.966436,-1.947391,-2.238256,-1.308992,-0.01316,-0.886942,-1.953925,-1.604437,-1.358389,-0.743692,0.233632,-0.084901,-0.580155,-0.739775,-0.554117,0.183974,1.003672,0.420195,0.468902,1.331918,0.676019,1.279498,1.576255,0.764807,2.320816,3.555907,3.015773,-0.557033
engws000051,1.590911,0.641067,0.268723,-0.17819,-0.889499,-1.116254,-1.891713,1.563603,0.911469,-0.067578,0.214573,-0.576924,-1.226816,2.245054,1.171572,0.503026,2.47577,0.806816,0.506492,-0.185275,2.042176,2.021098,1.561693,1.176901,3.47157,2.342843,1.217088,0.471476,-0.480166,-1.302999,-1.812987,3.443931,2.492889,0.893044,-0.204843,-0.980202,-1.550766,3.248563,1.850005,0.469531,-0.399763,-0.890175,2.97898,2.551244,1.271185,0.097378,-0.193743,2.947127,2.832295,0.765904,-0.20186,-0.251477,-0.837914,-1.488387,-1.921972,2.344421,1.869815,-0.278732,0.301039,-0.088235,-1.320898,-1.706129,1.818187,0.656986,0.447165,0.11352,-0.853695,2.092403,-0.05087,-0.475394,-0.735159,-1.363991,1.472785,0.711549,-0.714341,-1.635248,-1.820869,-2.270721,-2.375308,-2.230747,0.767219,1.010182,-0.620164,-1.970777,-2.097322,-2.497274,-2.588627,0.810617,0.290112,-0.621673,-2.481032,-2.55269,-2.848427,0.52391,-0.268717,-2.575948,-2.484535,-2.586618,1.16786,0.322682,-1.940158,-1.569825,-2.357681,-2.616113,-2.258991,-1.773782,1.251783,-1.30595,-1.724338,-2.192351,-1.755868,-1.493897,1.796983,1.157566,-0.139081,-1.200147,-1.41822,-1.068453,2.056412,2.135119,1.144432,0.450322,-0.718284,-0.780235,1.716674,2.850411,3.544959,3.388596,-2.182691
engws000061,-0.341801,0.388448,3.024339,1.681168,1.99035,2.519529,2.306502,-1.480142,1.627842,1.812872,1.423327,1.800377,2.423312,-0.187963,0.885894,1.094935,-2.726925,1.488475,1.873344,2.104311,-0.436417,0.807248,1.504215,0.78367,-0.185218,0.203236,0.663578,0.977765,1.802786,1.960886,1.512391,-0.17197,-0.076539,-0.094309,0.3804,1.183258,1.391005,-0.284178,-1.185014,-0.468995,0.183369,0.164527,-0.799064,-1.144775,-0.972314,-0.458292,-0.205236,-0.971723,-1.321598,-1.122767,-0.223461,-0.688225,0.620105,0.593466,1.046772,-0.640589,-0.8222,-0.275942,-0.087889,-0.386139,-0.018948,0.466769,-0.812545,-0.664445,0.271303,-0.438567,-0.045372,-1.029095,-0.230778,0.215175,-0.330348,-0.28045,-0.782436,-0.761239,-0.224678,-0.374175,-0.353584,0.020519,-0.731984,1.273231,-0.930948,-0.396106,-0.273275,-0.832073,-0.330061,-0.061042,0.357561,0.559258,-0.820572,-0.946912,0.08645,-1.353639,-0.911859,-1.009045,-2.054264,-1.774217,-1.596467,-1.393759,-1.370946,-2.894925,-2.460789,-2.197356,-1.691434,-0.052636,2.204953,1.798629,-1.282568,-2.505778,-1.323842,-0.057553,1.31772,2.045321,-0.68805,-0.619232,-1.439162,-0.143253,0.803325,1.687483,-0.374589,-0.750238,-0.472424,-0.381219,1.740284,1.435906,-0.672718,-1.097525,-0.26975,-0.284984,2.04595
engws000071,1.033195,2.24149,0.67558,0.780414,0.630827,0.843543,0.850651,1.686343,1.039384,0.231453,0.62815,0.951277,1.019018,0.640402,0.769885,0.722499,1.035079,1.359393,1.289061,1.222026,1.210427,1.477819,2.100368,1.703757,2.267162,2.547651,2.364308,1.025119,0.720472,0.101097,-0.005201,2.627156,1.397491,0.589627,0.071119,-0.319529,-0.163331,1.98891,0.095366,-0.512819,-0.80955,-1.455157,2.265965,1.82218,-0.926246,-0.948361,-1.129867,2.376859,1.835433,-1.256691,-1.428669,-1.443579,-0.787517,-1.078079,-0.614643,1.152095,-0.822931,-1.529598,-1.382012,-1.363115,-1.184812,-1.014401,-0.416992,-0.855612,-1.217708,-0.9951,-0.947366,-0.510357,-0.640278,-0.591876,-0.585248,-0.444405,-0.384917,-0.348116,-0.309751,-0.539761,-0.687125,-1.008193,-1.323251,-0.527915,-0.267419,-0.362145,-0.511942,-0.837148,-1.192455,-1.464106,-1.147808,-0.425988,-0.844785,-0.9539,-1.455392,-1.662452,-1.491035,-0.720126,-1.273643,-1.494291,-1.719505,-1.607932,-0.593361,-1.646542,-1.705315,-1.807214,-1.497748,-1.130121,-0.520856,0.236552,-0.091401,-1.464636,-1.311545,-0.9209,-0.489763,0.18136,1.721402,-0.01735,-1.125636,-0.725991,-0.262913,0.153998,1.251025,1.396026,0.666641,0.283419,0.155867,0.640799,1.305055,2.219886,2.729532,2.626006,0.295832
engws000081,0.621818,0.220648,-0.129354,-0.473179,-0.793596,-1.164856,-1.097423,0.515874,-0.265908,-0.41377,-0.486616,-0.823683,-0.828342,0.828572,0.282935,-0.346091,0.405633,-0.390022,-0.620091,-0.874679,-0.679807,0.032017,-0.293319,-0.782948,0.438257,-0.387177,-0.649614,-0.675784,-0.80166,-0.948388,-0.843611,0.157763,-0.615912,-1.202603,-0.757257,-0.708417,-0.892981,0.040731,-0.879882,-0.619905,-0.728729,-0.527839,0.456351,-0.950451,-0.286087,-0.465871,-0.415888,0.489108,0.419224,0.629541,-0.068808,-0.027103,-0.21099,-0.533684,-0.808789,0.84231,0.626819,1.142589,0.619895,0.044698,-0.291933,0.179437,1.129133,0.307396,0.863164,0.715158,0.59538,1.032876,0.480649,1.005983,0.699489,0.716828,1.333221,1.332436,1.117547,0.872505,0.784323,0.059496,-0.280613,-0.774459,1.030848,0.878325,1.590194,1.100312,0.223828,-0.017626,-0.542647,1.004321,0.795741,1.537112,0.922051,0.338671,-0.216067,0.777707,1.80039,1.546964,0.53273,0.329483,0.414932,0.143417,0.457791,0.170161,0.25486,-0.58638,-0.627942,-1.013659,-0.112718,-0.19404,-0.682517,-0.393616,-0.72693,-0.682305,-0.385798,-0.704387,-0.794287,-0.855863,-0.342148,-0.710079,-0.750552,-0.413917,-0.533559,-0.305645,0.035294,-0.645497,-0.193729,0.2741,0.620412,1.468119,-1.037546
engws000092,1.12369,2.13859,4.190906,4.551311,4.115624,3.734437,3.69082,2.747482,4.399226,3.774449,5.078975,4.241138,3.699535,3.075123,4.502085,5.003127,2.418678,4.597432,4.996665,4.347462,3.668229,4.288029,4.823633,5.026964,1.542858,3.408536,3.88054,3.231596,2.923193,3.036522,2.802569,2.71323,2.908177,3.354412,1.796967,1.943834,2.569754,1.737234,0.205151,0.313762,0.746259,0.838199,0.294447,0.94064,-1.571755,-1.170596,-0.051008,0.396683,0.314319,-2.836558,-1.22301,0.113628,1.755276,2.159908,2.13604,-1.161888,-2.142694,-3.641433,-1.868046,-0.235972,0.978285,0.972899,-2.060882,-3.396646,-4.111275,-3.195127,-1.349545,-2.539104,-3.642543,-5.348663,-3.207448,-2.076333,-2.644555,-3.803949,-4.981866,-3.685249,-2.023599,-0.490575,0.680979,1.585512,-2.812772,-4.304638,-5.322821,-4.180963,-2.075986,-0.814352,0.380793,-3.049988,-4.355888,-6.068313,-4.625443,-2.812113,-1.909627,-3.619358,-5.153244,-6.425934,-4.759249,-3.289407,-3.890177,-5.811805,-6.490818,-3.874902,-2.604808,-0.577466,1.249276,2.788688,-3.51858,-5.513625,-2.592507,-1.151958,0.996843,2.575165,-1.698763,-1.314566,-1.473571,-0.200624,1.30095,2.597167,-1.055627,-0.183181,-0.036571,0.654143,1.943642,2.953183,0.358213,1.532162,1.425984,1.890237,2.868487
engws000111,0.841506,1.450947,1.978841,2.235904,2.486929,2.891592,2.877918,2.402291,2.15785,2.096163,2.1159,2.375862,2.659036,1.980896,1.801779,1.888839,2.031213,1.870873,2.175088,2.347811,1.883744,1.539576,1.787639,1.946942,1.49239,1.020846,1.516501,1.714701,2.132179,2.07888,2.115986,0.976615,0.870833,0.756161,1.077116,1.229383,1.43171,1.380198,0.270366,0.277172,0.406119,0.31218,1.222701,0.935501,-0.736817,-0.499075,-0.127262,1.089383,0.567055,-1.207967,-0.984256,-0.756614,0.557071,0.790222,1.526233,-0.253437,-1.515512,-2.802268,-1.836642,-1.167287,-0.560811,-1.505136,-1.934373,-3.041992,-3.086633,-2.189629,-1.802795,-2.689056,-3.019342,-3.048939,-2.699647,-2.147976,-2.800687,-3.019261,-3.10452,-2.312258,-1.874165,-0.367373,0.456819,1.941014,-2.73082,-2.897345,-3.320756,-2.247976,-1.186253,0.076227,1.416384,-3.03142,-3.376506,-3.475031,-2.383589,-0.454999,0.15278,-2.975037,-3.59932,-3.944373,-2.003911,-0.926714,-2.805128,-3.369867,-3.404975,-1.167081,0.071733,1.195975,1.84885,2.904941,-1.278848,-2.166137,-0.320787,0.954011,1.76283,2.624072,-0.798798,-0.370695,-0.937484,0.48618,1.432944,2.037519,-0.052781,-0.30427,-0.255353,0.361386,1.268098,1.634958,0.754942,0.993297,3.024474,1.373265,2.532647
engws000121,1.887494,1.694439,2.311669,1.61652,1.558178,1.327197,0.942361,2.614846,2.062968,1.408116,0.515978,0.708708,0.76767,1.024608,0.571733,0.693496,0.892089,1.082958,0.272293,0.47313,1.162492,0.495869,1.185775,0.439413,-0.663674,0.170559,0.078128,-0.156388,0.825036,0.296526,0.627305,-0.513291,-0.510899,-0.71123,-1.002163,-1.75848,-0.185636,-0.101068,-1.646105,-1.500047,-0.957372,-0.839161,-0.138327,-0.823922,-1.894221,-1.606669,-1.688069,-0.003313,-0.680236,-2.848949,-2.255702,-1.452525,-0.713902,-0.326419,1.222701,-1.375158,-2.353119,-4.601161,-2.523291,-1.198408,0.613888,0.18615,-0.562908,-2.769472,-2.740766,-1.592808,-0.670265,-1.243013,-1.790191,-1.834647,-0.608772,-0.892606,-0.83643,-1.29943,-0.584783,-0.85656,0.241952,0.523644,0.796895,1.121926,-1.021091,-1.11501,0.01412,-0.063777,0.667003,0.695244,0.874227,-1.484172,-0.737277,0.629947,0.469983,1.345623,0.861004,-1.040908,-0.0451,0.445213,0.370129,0.527855,-0.908116,-1.833799,-0.410444,0.542702,0.549684,1.050354,0.888755,0.629774,-0.825352,-0.191027,0.622577,1.107018,0.612242,1.406512,0.376233,0.697212,0.310101,0.843926,1.214271,1.257026,0.425148,0.949299,0.822594,1.722769,1.755066,1.506918,1.535518,1.443502,0.470676,-0.043589,0.976284
engws000131,-1.240329,-1.015801,-1.395038,-0.839821,-0.78871,-0.151555,0.108293,-1.110095,-0.44953,-0.761558,-0.588259,-0.568994,0.173625,-0.925263,-1.083644,-0.797168,-0.454941,-0.25327,-0.502,-0.004115,-0.338479,-0.040065,-0.40923,-0.301781,1.508689,0.363612,-0.582817,-0.214712,0.025569,0.410646,0.421801,0.739736,-0.453761,-0.6251,-0.142076,0.575173,-0.087843,0.135695,-0.727465,-0.511162,0.023292,0.456348,0.296196,1.316377,-0.100236,0.01889,0.291538,0.840132,1.262675,1.598677,1.142519,0.962038,0.280658,0.426377,-0.298886,1.196079,2.36305,2.504909,1.549044,1.386848,0.421849,-0.091348,1.416502,2.161696,2.719173,2.706197,0.92293,1.298578,2.046574,2.431044,0.691564,-0.04458,0.288623,1.814703,0.734164,0.015236,-0.02404,-0.150029,-0.378617,-0.226698,1.093429,1.270879,0.630781,0.657475,-0.483373,-0.482471,-1.185541,0.774206,0.976987,0.93968,0.289205,-0.916416,-1.157797,0.614012,0.560239,0.18909,-0.652239,-1.03799,0.215929,-0.728798,-1.40618,-1.616993,-1.717737,-1.212981,-0.75501,-0.52718,-0.562517,-2.364035,-1.889488,-1.582585,-0.907888,-0.703921,0.038121,-1.122662,-2.344219,-1.622238,-1.35503,-1.131744,-0.016876,-0.227261,-1.073936,-0.740927,-1.223408,-1.27591,0.143024,0.311338,1.328703,0.685458,-0.061502
