File,E1-ec0Rmss,E2-ec0Rmss,E3-ec0Rmss,E4-ec0Rmss,E5-ec0Rmss,E6-ec0Rmss,E7-ec0Rmss,E8-ec0Rmss,E9-ec0Rmss,E10-ec0Rmss,E11-ec0Rmss,E12-ec0Rmss,E13-ec0Rmss,E14-ec0Rmss,E15-ec0Rmss,E16-ec0Rmss,E17-ec0Rmss,E18-ec0Rmss,E19-ec0Rmss,E20-ec0Rmss,E21-ec0Rmss,E22-ec0Rmss,E23-ec0Rmss,E24-ec0Rmss,E25-ec0Rmss,E26-ec0Rmss,E27-ec0Rmss,E28-ec0Rmss,E29-ec0Rmss,E30-ec0Rmss,E31-ec0Rmss,E32-ec0Rmss,E33-ec0Rmss,E34-ec0Rmss,E35-ec0Rmss,E36-ec0Rmss,E37-ec0Rmss,E38-ec0Rmss,E39-ec0Rmss,E40-ec0Rmss,E41-ec0Rmss,E42-ec0Rmss,E43-ec0Rmss,E44-ec0Rmss,E45-ec0Rmss,E46-ec0Rmss,E47-ec0Rmss,E48-ec0Rmss,E49-ec0Rmss,E50-ec0Rmss,E51-ec0Rmss,E52-ec0Rmss,E53-ec0Rmss,E54-ec0Rmss,E55-ec0Rmss,E56-ec0Rmss,E57-ec0Rmss,E58-ec0Rmss,E59-ec0Rmss,E60-ec0Rmss,E61-ec0Rmss,E62-ec0Rmss,E63-ec0Rmss,E64-ec0Rmss,E65-ec0Rmss,E66-ec0Rmss,E67-ec0Rmss,E68-ec0Rmss,E69-ec0Rmss,E70-ec0Rmss,E71-ec0Rmss,E72-ec0Rmss,E73-ec0Rmss,E74-ec0Rmss,E75-ec0Rmss,E76-ec0Rmss,E77-ec0Rmss,E78-ec0Rmss,E79-ec0Rmss,E80-ec0Rmss,E81-ec0Rmss,E82-ec0Rmss,E83-ec0Rmss,E84-ec0Rmss,E85-ec0Rmss,E86-ec0Rmss,E87-ec0Rmss,E88-ec0Rmss,E89-ec0Rmss,E90-ec0Rmss,E91-ec0Rmss,E92-ec0Rmss,E93-ec0Rmss,E94-ec0Rmss,E95-ec0Rmss,E96-ec0Rmss,E97-ec0Rmss,E98-ec0Rmss,E99-ec0Rmss,E100-ec0Rmss,E101-ec0Rmss,E102-ec0Rmss,E103-ec0Rmss,E104-ec0Rmss,E105-ec0Rmss,E106-ec0Rmss,E107-ec0Rmss,E108-ec0Rmss,E109-ec0Rmss,E110-ec0Rmss,E111-ec0Rmss,E112-ec0Rmss,E113-ec0Rmss,E114-ec0Rmss,E115-ec0Rmss,E116-ec0Rmss,E117-ec0Rmss,E118-ec0Rmss,E119-ec0Rmss,E120-ec0Rmss,E121-ec0Rmss,E122-ec0Rmss,E123-ec0Rmss,E124-ec0Rmss,E125-ec0Rmss,E126-ec0Rmss,E127-ec0Rmss,E128-ec0Rmss,Cz-ec0Rmss
engws000021,-0.060864,0.093611,0.490457,0.232909,0.453647,0.742626,0.722457,-0.422169,0.409106,0.480104,0.202487,0.146669,0.171191,0.066867,0.277004,-0.090553,-1.516053,-0.18302,-0.247569,-0.075058,-0.905131,-0.082251,-0.244971,-0.275637,-0.308408,-0.204045,-0.461053,-0.507925,-0.371969,0.149953,0.536269,-0.852586,-0.427086,-0.390681,-0.566569,-0.448536,0.707697,-0.232408,-0.545219,-0.492197,-0.613675,-0.399436,-0.562225,-0.377292,-0.950369,-0.765819,-0.534769,-0.503125,-0.43617,-0.985903,-0.786192,-0.152725,0.134164,-0.014066,0.832692,-0.652619,-0.832197,-1.002916,-0.391859,0.464681,-0.001585,0.924662,-0.683836,-0.762101,-0.651862,0.081766,0.848931,-1.138323,-0.938964,0.004512,1.431891,0.801461,-0.495236,0.33545,1.808876,0.964013,0.707265,0.731228,0.473519,0.829392,0.401536,0.397895,0.391368,0.417659,0.530554,0.378445,0.284303,0.189069,-0.132441,0.05356,0.239444,0.190302,0.063464,0.124176,-0.270367,0.070917,0.098768,0.103264,0.026608,0.093465,0.168658,0.065158,0.248336,0.545525,0.301819,1.181626,-0.052131,-0.262981,0.040636,0.055884,0.222809,0.646068,-0.428169,-0.061181,0.061036,0.053932,0.183341,0.676432,-0.282331,-0.069686,-0.217286,0.104369,0.224914,0.19456,0.325531,-0.536003,-1.031858,-0.262203,1.53887
engws000031,1.486887,2.912687,3.155764,3.782985,4.387402,4.838736,4.592959,3.866527,2.561998,3.496073,3.786808,4.681303,4.77864,2.156859,2.721114,3.714001,3.055953,3.729324,4.24272,4.501277,1.736742,2.923537,3.530852,4.278126,1.615715,2.816264,2.664403,3.640434,4.366829,4.529033,4.671278,0.782487,1.524048,2.580498,3.230103,4.274104,4.699883,0.885581,0.61337,1.661192,2.752742,3.610109,-0.658658,-0.562747,-2.076274,-0.08348,1.512331,-1.397263,-1.116069,-4.266696,-2.051963,1.949937,3.836559,4.736329,4.365015,-4.09643,-4.791802,-8.583518,-3.757136,2.09442,5.063693,4.2882,-5.798825,-8.627419,-9.530636,-1.420619,3.004592,-6.930048,-8.318225,-6.117841,-0.016919,2.145614,-6.765297,-6.372524,-3.321524,0.159231,0.815064,2.906809,2.883303,3.666221,-6.124929,-5.929074,-7.916019,-5.069391,-1.949158,0.42027,1.99692,-6.535808,-8.308963,-10.418437,-7.288963,-2.659813,0.05492,-6.801308,-8.589096,-10.327882,-4.744413,-1.519602,-6.232003,-6.700446,-7.515136,-2.164386,0.278631,1.41182,2.670392,4.365542,-4.540958,-2.977697,0.216098,1.696092,2.401481,3.966265,-2.004408,-1.149013,-0.084969,1.927576,2.732764,3.503898,-1.572086,-0.798308,1.171542,2.13942,3.358709,3.286411,0.69532,1.372159,1.845959,1.386809,4.420509
engws000051,1.289649,0.646797,-0.112205,-0.559459,-1.725501,-2.202585,-2.723064,1.393999,0.375247,-0.772228,-0.794364,-1.890359,-2.456967,1.435565,0.010789,-0.441062,1.604027,-0.341277,-1.056043,-1.787524,0.86937,0.768674,0.056914,-0.398463,2.153692,1.179763,-0.355503,-1.146494,-2.091022,-2.422042,-2.12876,2.273541,1.193803,-0.356836,-1.387993,-1.913598,-2.085855,1.887251,0.815208,-0.452457,-1.379306,-1.760643,1.858339,1.487083,0.378531,-0.553402,-1.103556,1.974554,1.992699,0.718559,-0.966334,-1.535423,-1.475607,-1.470017,-1.582901,1.99096,1.699609,0.036854,-1.476254,-1.3398,-1.066936,-0.248852,1.913266,1.328697,0.568817,-0.965285,-0.641394,2.730726,0.851247,0.652063,0.148293,0.262793,2.103835,1.913793,0.79431,0.116969,0.087148,-0.481526,-0.927715,-1.839956,1.772659,2.144192,0.296238,-1.32212,-0.713928,-0.798739,-1.221811,1.972648,1.923048,0.831749,-2.071094,-0.966528,-0.956188,1.648575,1.486475,0.159432,-0.864299,-0.915406,1.885176,1.77774,0.149763,0.213183,-0.857001,-1.264437,-1.651308,-2.417218,1.733182,0.547911,-0.450034,-0.928816,-1.301247,-1.980438,1.555305,1.16326,0.473342,-0.232341,-0.837921,-1.209225,1.449794,1.82777,1.108324,0.771628,-0.428013,-0.497848,1.294564,2.359832,2.380208,2.181282,-2.368187
engws000061,1.385737,1.65223,2.723835,2.111637,1.829267,1.528813,0.78792,-0.074319,2.554701,1.983378,1.61995,1.262881,1.301374,0.780951,1.437672,1.470441,-0.130726,1.584076,1.48879,1.654546,0.009181,1.286903,1.579548,1.055577,0.466217,0.454761,0.75187,0.706232,0.327444,0.191838,-0.40749,0.338528,0.290834,-0.146762,-0.385462,-0.362079,-0.157923,0.362776,-1.180279,-1.161907,-0.897046,-1.265773,-0.165623,-0.83329,-1.460684,-1.646157,-1.444968,-0.034468,-1.135007,-2.723268,-2.26934,-2.739584,-1.333835,-1.184051,-0.085001,-0.953734,-2.087773,-3.13419,-3.694601,-2.907023,-1.864712,-0.607745,-1.553829,-3.239534,-5.941206,-3.524601,-2.364962,-2.046101,-2.015479,-4.280318,-1.989768,-1.688112,-1.566851,-1.510551,-1.911857,-1.045712,-1.091984,-0.384423,-0.591223,1.36684,-0.49469,-0.596368,-0.873234,-1.440434,-0.304882,0.48015,0.688333,1.761266,-0.049334,-0.238134,0.77189,0.22683,0.499498,0.647585,0.369599,-0.055334,0.404452,0.295099,1.215513,0.114266,-0.025157,-0.051862,0.158938,0.967022,1.22434,1.04527,1.372857,0.206228,0.997381,1.230208,1.966787,1.567936,1.729099,1.600418,1.105588,1.779413,1.327046,1.64758,1.925782,1.395423,1.548026,1.577583,2.281255,2.311824,1.144965,0.422247,0.435789,0.140067,0.420466
engws000071,0.971484,1.773124,0.172504,-0.082394,-0.232009,-0.409609,-0.068563,1.350088,0.308456,-0.627924,-0.719946,-0.626785,-0.332585,-0.020181,0.009908,-0.31543,0.231692,0.256434,-0.100786,-0.322618,0.103736,0.137125,0.282563,0.026904,0.746222,0.687924,0.569254,-0.378235,-0.36153,-0.385785,-0.075786,1.47529,0.460483,-0.110818,-0.306914,-0.451074,0.077674,0.636046,-0.052747,-0.445899,-0.651807,-0.735229,0.893402,0.587517,-0.482739,-0.475128,-0.465818,1.041297,0.182313,-0.684054,-0.494883,-0.459613,-0.220218,0.199214,0.727741,-0.235936,-0.795664,-1.069923,-0.343656,0.095819,0.650002,1.418308,-1.174076,-1.209137,-1.16589,-0.218806,0.695977,-1.623302,-1.29679,-0.401764,0.78945,0.204959,-1.400752,-0.660374,0.250239,-0.140046,0.064552,0.593966,0.779314,0.575546,-1.099303,-0.944252,-0.301542,0.074726,0.758466,0.849918,0.416527,-0.938493,-1.162,-0.839017,0.374963,0.275696,0.226253,-0.964587,-1.118081,-0.781425,0.092613,0.091022,-1.068252,-0.881465,-0.536821,-0.159528,0.008819,0.041203,0.222748,0.045998,-0.327087,-0.248793,-0.137018,0.095264,0.034541,0.03144,0.812054,0.516973,-0.020268,0.323792,0.16853,-0.022168,0.496725,1.522313,0.753037,0.718254,0.380733,0.30286,0.474606,1.395131,1.162607,1.416166,0.272809
engws000081,0.418975,-0.324588,-1.196115,-1.962127,-2.623329,-3.078052,-2.878746,0.244427,-0.522894,-1.686694,-2.24043,-2.652045,-2.691997,0.39818,-0.536741,-1.736283,0.259957,-1.729469,-2.126472,-2.474934,-0.516548,-0.598936,-1.320018,-1.99481,0.8382,-1.072716,-1.344983,-1.67434,-2.195004,-2.248101,-2.214411,0.461256,-0.016389,-1.296765,-1.20478,-1.492129,-1.776042,0.648987,-0.269354,-0.30846,-0.874549,-0.656557,1.282797,0.217446,1.455159,0.262489,0.122369,1.603168,1.673548,3.033699,1.249459,0.580098,-0.394425,-1.179011,-1.94613,2.423961,3.566967,3.834005,2.186828,0.682226,-0.484099,0.338627,3.5451,3.587075,3.019181,2.076183,1.086911,3.09322,2.316288,2.025251,1.56482,1.166214,2.533988,2.592588,1.788486,1.388533,0.780382,-0.355093,-1.182979,-2.341013,2.239427,1.916069,1.729595,1.205947,0.121195,-0.583494,-1.787233,2.264629,1.854508,1.847893,0.973805,0.046805,-0.965187,2.295877,2.965981,1.552813,0.33639,-0.171214,1.973449,1.119499,0.597397,-0.21422,-0.508476,-1.677209,-2.242449,-2.801579,1.403692,0.084194,-0.806665,-1.331488,-2.238232,-2.587459,0.892318,-0.068832,-0.595878,-1.264319,-1.83461,-2.407548,0.446356,0.226181,-0.449093,-0.508938,-1.155454,-2.162771,0.187306,0.702701,0.921464,2.171301,-2.642935
engws000092,2.438565,2.023668,1.870175,1.257365,0.236238,-0.360217,-0.533967,3.327695,2.253594,0.32497,0.83043,-0.191269,-0.674168,2.592117,2.34486,1.496507,2.202462,1.5272,1.043804,0.29982,2.721992,1.833335,2.082353,1.888026,1.487242,2.457895,1.335598,0.591578,-0.943225,-1.043086,-0.732797,2.696892,2.499385,3.131199,-0.32078,-1.45938,-0.899215,2.425107,1.183222,0.357338,-1.090068,-1.827197,1.69317,2.592582,0.327275,-1.508759,-2.030907,2.327531,2.401842,-0.384316,-2.054611,-2.114877,-1.298828,-0.70667,-0.528047,1.669379,0.884781,-1.441965,-3.394197,-2.221863,-0.992498,-0.412371,1.568607,-0.014307,-3.822721,-3.560276,-1.850829,1.55649,-1.07964,-6.129836,-2.818124,-1.639964,1.283198,-2.060469,-5.116147,-3.150296,-1.008563,-0.776795,-0.638118,-0.843552,0.778428,-2.537169,-5.111881,-3.136588,-1.416011,-1.151732,-1.082163,0.615896,-1.796519,-4.114399,-1.714211,-1.183373,-0.98332,0.42374,-0.58167,-1.209306,-1.007935,-1.035376,1.41419,0.113589,-0.3316,-0.915164,-1.248507,-1.263901,-0.907513,-0.68877,0.841298,-0.838519,-0.374785,-0.421186,-0.567621,0.124283,1.969732,1.596576,1.504622,0.582442,0.27194,0.280666,1.492824,2.497865,2.0933,1.810033,0.999845,1.173228,2.294783,2.758286,2.508436,2.568525,-0.48588
engws000111,3.072026,3.712446,4.029847,4.033862,3.837346,3.893713,3.326293,4.340542,4.100362,4.021147,4.014632,3.737359,3.423142,3.946184,3.893961,3.871929,4.252673,3.823838,3.795738,3.814726,3.915329,3.383806,3.512179,3.45379,3.267015,2.72859,3.028576,2.776168,2.709081,2.562148,2.254486,2.34952,2.268681,2.036275,1.593175,1.285375,1.289886,2.920362,1.26962,0.584136,0.121009,-0.466714,2.53195,2.198004,-0.943753,-1.26823,-1.039458,2.536691,1.660231,-2.464442,-2.78688,-2.404997,-0.562019,1.200497,1.813947,0.011281,-2.122769,-6.826652,-5.735764,-3.924947,-1.891664,-1.930008,-2.374197,-5.819725,-9.520564,-6.721353,-4.277741,-4.158481,-6.430036,-8.908284,-6.480193,-2.821253,-4.610464,-5.634397,-6.164191,-3.520653,-2.250847,-0.835908,0.43777,2.544569,-4.585059,-4.92397,-6.395758,-5.31642,-3.000786,-0.201641,1.706498,-4.695892,-5.968869,-8.645259,-6.646197,-1.661503,0.283359,-4.074203,-6.001336,-9.407735,-3.797919,-0.994047,-2.815486,-3.393747,-4.604903,-1.017497,0.495558,1.684803,2.496503,3.497024,-0.132558,-1.577158,0.757047,1.844847,2.615842,3.544321,1.055125,1.817803,0.78867,2.114331,2.65317,3.424014,2.060936,1.862714,2.108353,2.773178,3.319874,3.510758,3.283709,3.330223,4.671611,2.993964,2.874381
engws000121,1.5821,1.222974,0.613185,0.04421,-0.282481,-0.21916,-0.366625,1.80683,0.76016,-0.133188,-1.151037,-0.848431,-0.839459,0.636358,-0.279173,-0.390193,0.42248,-0.283,-1.316003,-0.949647,0.317676,-0.09738,-0.241531,-1.231478,-0.459208,-0.478696,-1.233951,-1.495837,-0.76207,-1.213337,-0.000435,-0.561059,-0.635018,-1.125328,-1.505599,-1.916123,-0.500274,0.075377,-0.954242,-1.270052,-1.076096,-0.449354,-0.094725,-0.393024,-1.077378,-1.099387,-0.959123,0.121792,0.040274,-2.168815,-1.239907,-0.267163,0.070851,-0.01809,0.848666,-1.258421,-2.020252,-3.770388,-0.433901,0.79617,2.107283,2.934741,0.323016,-2.234593,-2.061003,0.72921,2.425992,-0.549449,-1.545355,-0.609485,2.021343,2.749163,0.027991,-0.710723,1.14073,2.937945,3.350831,2.247104,0.908862,-0.009585,-0.344918,-0.448071,-0.014219,3.690053,3.445157,0.926812,0.152882,-0.853555,-0.878319,-0.643441,1.626906,2.138738,0.38514,-0.693098,-0.41759,-0.445155,0.068636,0.141933,-0.369626,-1.39202,-0.3097,0.179818,-0.409513,-0.278121,-0.406156,-0.948603,-0.046585,0.237567,0.305437,-0.097686,-0.757436,-0.288301,0.953952,1.27394,0.410937,0.365871,-0.130198,-0.540525,0.536825,1.226078,1.131018,1.123473,0.663914,0.024112,1.704118,1.20093,0.326114,0.081105,-0.085714
engws000131,-1.596145,-0.801301,-0.674251,0.09441,0.486516,1.088699,1.323286,-1.395418,-0.083995,0.040082,0.149099,0.57026,1.120645,-0.891306,-0.550806,-0.431968,-0.830468,0.421582,0.380099,0.571232,-0.451095,0.319732,0.432327,0.078749,1.076269,0.884538,0.206749,0.387705,0.892527,1.146736,1.535152,0.581693,0.73689,0.322627,0.684388,1.149819,1.043811,-0.172701,-0.536718,0.321138,0.591986,1.617212,-0.219395,0.493325,-0.706318,0.313165,1.012247,-0.606695,-0.63209,-0.608551,0.701861,1.003577,1.952137,2.079349,1.793543,-1.132501,-0.555493,-0.2485,1.223956,2.410512,2.389075,2.482471,-1.272506,-1.015001,0.20003,2.709409,3.056142,-1.235807,-0.950551,0.844256,3.148601,3.647435,-1.351912,0.011117,1.290213,2.982885,2.239004,1.468,1.436617,1.189793,-0.340139,0.13246,-0.672101,0.869026,1.009839,0.963127,0.265266,-1.055151,-1.683334,-1.908806,-0.816834,-0.303162,-0.416529,-1.763062,-3.28229,-3.308379,-1.403206,-1.238079,-1.930017,-3.465451,-3.518723,-1.849912,-1.256373,-0.21434,0.352582,0.960255,-2.379706,-3.289468,-1.61154,-0.743962,-0.092745,0.702055,-1.003045,-1.619129,-2.199056,-0.822973,-0.607623,0.003293,-1.368395,-1.05179,-1.188468,-0.321601,-0.388968,-0.29474,-0.442734,-0.786862,0.309721,0.064177,1.62371
