File,E1-bc_Symb_adj,E2-bc_Symb_adj,E3-bc_Symb_adj,E4-bc_Symb_adj,E5-bc_Symb_adj,E6-bc_Symb_adj,E7-bc_Symb_adj,E8-bc_Symb_adj,E9-bc_Symb_adj,E10-bc_Symb_adj,E11-bc_Symb_adj,E12-bc_Symb_adj,E13-bc_Symb_adj,E14-bc_Symb_adj,E15-bc_Symb_adj,E16-bc_Symb_adj,E17-bc_Symb_adj,E18-bc_Symb_adj,E19-bc_Symb_adj,E20-bc_Symb_adj,E21-bc_Symb_adj,E22-bc_Symb_adj,E23-bc_Symb_adj,E24-bc_Symb_adj,E25-bc_Symb_adj,E26-bc_Symb_adj,E27-bc_Symb_adj,E28-bc_Symb_adj,E29-bc_Symb_adj,E30-bc_Symb_adj,E31-bc_Symb_adj,E32-bc_Symb_adj,E33-bc_Symb_adj,E34-bc_Symb_adj,E35-bc_Symb_adj,E36-bc_Symb_adj,E37-bc_Symb_adj,E38-bc_Symb_adj,E39-bc_Symb_adj,E40-bc_Symb_adj,E41-bc_Symb_adj,E42-bc_Symb_adj,E43-bc_Symb_adj,E44-bc_Symb_adj,E45-bc_Symb_adj,E46-bc_Symb_adj,E47-bc_Symb_adj,E48-bc_Symb_adj,E49-bc_Symb_adj,E50-bc_Symb_adj,E51-bc_Symb_adj,E52-bc_Symb_adj,E53-bc_Symb_adj,E54-bc_Symb_adj,E55-bc_Symb_adj,E56-bc_Symb_adj,E57-bc_Symb_adj,E58-bc_Symb_adj,E59-bc_Symb_adj,E60-bc_Symb_adj,E61-bc_Symb_adj,E62-bc_Symb_adj,E63-bc_Symb_adj,E64-bc_Symb_adj,E65-bc_Symb_adj,E66-bc_Symb_adj,E67-bc_Symb_adj,E68-bc_Symb_adj,E69-bc_Symb_adj,E70-bc_Symb_adj,E71-bc_Symb_adj,E72-bc_Symb_adj,E73-bc_Symb_adj,E74-bc_Symb_adj,E75-bc_Symb_adj,E76-bc_Symb_adj,E77-bc_Symb_adj,E78-bc_Symb_adj,E79-bc_Symb_adj,E80-bc_Symb_adj,E81-bc_Symb_adj,E82-bc_Symb_adj,E83-bc_Symb_adj,E84-bc_Symb_adj,E85-bc_Symb_adj,E86-bc_Symb_adj,E87-bc_Symb_adj,E88-bc_Symb_adj,E89-bc_Symb_adj,E90-bc_Symb_adj,E91-bc_Symb_adj,E92-bc_Symb_adj,E93-bc_Symb_adj,E94-bc_Symb_adj,E95-bc_Symb_adj,E96-bc_Symb_adj,E97-bc_Symb_adj,E98-bc_Symb_adj,E99-bc_Symb_adj,E100-bc_Symb_adj,E101-bc_Symb_adj,E102-bc_Symb_adj,E103-bc_Symb_adj,E104-bc_Symb_adj,E105-bc_Symb_adj,E106-bc_Symb_adj,E107-bc_Symb_adj,E108-bc_Symb_adj,E109-bc_Symb_adj,E110-bc_Symb_adj,E111-bc_Symb_adj,E112-bc_Symb_adj,E113-bc_Symb_adj,E114-bc_Symb_adj,E115-bc_Symb_adj,E116-bc_Symb_adj,E117-bc_Symb_adj,E118-bc_Symb_adj,E119-bc_Symb_adj,E120-bc_Symb_adj,E121-bc_Symb_adj,E122-bc_Symb_adj,E123-bc_Symb_adj,E124-bc_Symb_adj,E125-bc_Symb_adj,E126-bc_Symb_adj,E127-bc_Symb_adj,E128-bc_Symb_adj,Cz-bc_Symb_adj
N1_0051_sec120-export,2.10966,1.561574,4.312823,2.716427,3.445075,3.739758,2.937977,4.353087,3.041633,4.054251,3.356544,3.117035,3.525399,2.015302,2.629112,3.118207,2.815858,2.82479,3.495171,2.823283,3.474247,2.645361,2.957333,2.953084,1.709234,2.876159,2.562297,3.026308,3.096231,2.971812,2.080012,2.297254,1.468717,1.789193,1.651051,2.356401,1.828051,1.372538,-0.457075,0.4433,0.493493,0.321103,1.341074,1.461104,-1.531844,-1.428734,-0.533664,0.460968,-0.622046,-2.611261,-2.378188,-1.359375,0.137206,0.340078,1.178661,-1.985983,-2.711012,-3.753508,-2.360791,-1.596705,-1.073429,-2.175582,-2.664692,-2.843056,-2.968279,-2.265536,-1.889372,-3.559472,-1.883642,-2.299191,-2.351208,-3.074236,-4.00665,-1.869315,-2.108537,-3.316288,-3.447906,-1.782513,-0.214207,1.815297,-0.326529,-2.19173,-1.03369,-2.462186,-3.180902,-2.526152,0.079388,0.598021,-1.48579,-1.60789,-3.915089,-3.566905,-2.632828,-1.233466,-2.22986,-3.952281,-3.981949,-3.710465,-0.872895,-3.816659,-4.318654,-3.54279,-2.586448,-0.117283,1.247958,3.00287,-2.544538,-2.544991,-2.034758,-0.564292,1.178857,3.273527,-0.9723,-1.797603,-1.756031,-0.10377,0.888146,2.651729,0.996757,-0.416012,-0.730367,0.548102,0.778985,2.44822,0.423463,0.02892,1.496587,2.504907,2.633428
N1_0052_sec120-export,0.642185,1.455484,0.964637,0.358948,0.352625,0.146627,0.933112,0.062103,1.118812,-0.34322,-0.998242,-0.645083,-0.171313,-0.808042,-0.670298,-1.081191,-0.562327,-1.318467,-1.362929,-0.957225,-1.388479,0.486958,-0.80659,-1.581226,0.11065,0.277953,0.070163,0.039294,0.382535,0.403445,0.367005,0.406205,0.613946,-0.565962,-1.040772,-0.139606,-0.118091,-0.23204,-0.389475,-0.86967,-1.139775,-0.975545,-0.176416,-0.738499,-0.829316,-0.69499,-1.158704,-0.8334,-0.924285,-2.008337,-1.08907,-0.79539,-0.150535,0.418564,1.03208,0.084526,-0.536078,-2.285463,-0.727985,-0.523638,-0.079357,0.146671,1.048868,-0.26273,-1.214366,-0.66565,-0.00627,1.447993,0.448926,-0.882007,-0.758569,0.099641,2.161885,0.609478,-0.34997,-0.250767,0.108141,0.785384,1.547752,1.430939,1.889498,0.207438,-0.728023,-0.81724,0.575802,1.86724,1.373057,2.19232,-0.132732,-1.754033,-1.349989,0.90499,1.27522,0.504937,-1.228678,-2.595499,-1.105482,0.864391,0.046743,-2.180525,-1.95357,-0.225826,1.220318,1.494413,1.791713,0.724228,-0.645903,-0.630843,1.27941,1.299379,1.538933,0.659444,-0.951795,-0.09594,0.467819,1.419416,1.622125,1.074241,-0.518717,-0.143874,0.729744,1.817581,2.319172,1.210485,0.201613,-0.716108,-0.2071,0.021562,0.932475
N1_0053_sec120-export,0.461508,-0.373268,-2.251094,-1.789051,-0.746394,1.068242,1.917288,0.386285,-1.334852,-1.28073,-1.319229,-0.747322,1.214938,-0.879345,-2.102798,-1.96963,-0.06092,-1.002824,-0.758108,-0.150032,-0.103728,0.08079,-0.182977,0.058358,0.619281,0.610284,1.395943,1.478424,1.822746,2.217137,2.444154,1.693726,1.410317,1.337651,2.095185,2.641501,2.378025,2.245971,2.354015,2.254179,2.174263,2.51703,1.731743,1.924443,1.828042,1.51251,1.599925,0.890586,0.663115,0.406229,0.607216,2.042789,2.842785,2.75985,2.18067,0.358072,-0.153,-0.474907,0.906986,1.916914,2.488478,0.502931,-0.491871,-0.47805,-1.359792,0.138313,0.832433,-1.472385,-1.558293,-1.831621,-0.443814,-0.180928,-1.494135,-1.975428,-1.561864,-1.12265,-0.651128,0.2953,1.10435,1.403386,-1.831743,-1.920128,-2.774221,-2.024693,-1.227636,-0.009078,1.333008,-2.986607,-3.515214,-3.170043,-2.283414,-0.8117,0.095136,-2.605178,-2.716835,-2.963457,-1.515621,-0.348007,-2.428431,-1.796557,-1.61935,-0.632107,-0.142107,0.621993,0.988423,1.612242,-1.244571,-0.742107,-0.325314,-0.017471,0.226896,1.054178,-0.249721,-0.130292,-0.075921,-0.572895,-0.542191,-0.982491,-0.257921,-0.030221,-0.147335,-0.9489,-1.027015,-1.951037,0.338786,0.604908,0.61443,1.247622,2.317765
N1_0054_sec120-export,-1.913608,-1.882733,-1.711235,-1.570767,-0.976857,-0.006535,1.005008,-1.314698,-1.882455,-1.951774,-1.716033,-1.045877,-0.490512,-1.359268,-1.593331,-1.61322,-1.005614,-1.797387,-1.995232,-1.21623,-0.87402,-1.672908,-1.296511,-2.089968,-0.143623,-0.123187,-1.073853,-1.15897,-0.799098,0.488077,1.828463,-0.986235,-1.457245,-1.479924,-0.97883,-0.02453,1.290208,-1.87913,-2.118225,-2.570328,-1.260468,0.2033,-1.984225,-3.137679,-2.327096,-1.351301,-1.118723,-1.873483,-2.693933,-3.735183,-0.883298,0.151794,1.63438,2.734458,2.515282,-2.251104,-2.769059,-4.160246,-0.437022,2.354621,2.678026,4.046778,-1.292167,-2.506229,-1.328799,1.28992,3.387913,-2.589908,-1.806681,-0.455116,3.184931,4.077909,-1.599568,-0.227963,1.153639,4.623984,6.437172,6.25295,3.979207,2.415083,-1.403717,-0.554436,1.795045,7.555679,8.057891,5.66157,3.930024,-1.506883,-0.254969,3.230639,8.563083,5.575026,4.249302,-1.858701,-1.495425,0.056467,3.846114,3.176764,-2.474353,-1.072665,-1.242389,1.105021,2.431315,2.095711,2.344341,1.326719,-1.754095,-0.968727,1.060348,0.749046,1.088358,0.299847,-1.696177,-1.667362,-0.501984,-0.655506,-0.704549,-1.166415,-2.012614,-1.595364,-1.806917,-0.910974,-1.507917,-1.857842,-2.04352,-1.738639,-1.233426,-2.171126,1.484482
N1_0055_sec120-export,0.927044,1.77497,0.871023,2.337642,3.230263,4.18048,3.783032,2.555286,1.426757,2.027955,1.722484,3.611303,4.262935,1.808752,1.426011,2.415706,1.295601,2.763406,3.083402,3.508932,1.678916,1.816028,2.982138,3.292735,2.018708,1.718779,2.021601,2.480394,3.582775,3.31343,2.776266,0.31606,0.716043,1.40514,1.150416,1.23947,1.398262,0.479539,-0.414063,-1.469077,-0.366937,0.243147,0.879822,-0.239819,-1.407875,-2.833158,-0.977444,-0.002214,1.881747,-3.045669,-2.88464,-2.105798,-0.820807,0.792445,1.560652,-0.277312,-2.366231,-5.58513,-3.309837,-2.531734,-1.189324,-1.531215,-1.2678,-3.087731,-4.560355,-3.146652,-2.216744,-2.913148,-2.913893,-3.467606,-2.597111,-2.361727,-2.06692,-2.477043,-3.06253,-2.501199,-1.871337,-0.862911,0.159167,2.679888,-2.192178,-2.463057,-2.743474,-2.309197,-1.691261,-0.672473,1.617529,-1.911048,-2.33354,-3.27049,-2.62331,-1.16058,-0.076417,-1.837597,-1.700546,-2.395678,-2.715663,-2.002225,-1.085728,-1.549918,-3.405789,-3.421217,-1.127312,1.788878,2.851638,3.718654,-0.443025,-1.251318,-1.383211,1.085928,2.49191,3.298267,0.073739,0.03357,-1.759782,-0.58324,1.247023,2.488928,0.254234,1.669296,0.229238,0.976275,0.76782,2.05391,0.763448,1.176335,0.730453,0.781703,3.146938
N1_0056_sec180-export,1.80646,2.919118,3.649545,5.252823,3.698353,3.812899,1.72135,4.119612,4.126688,4.530843,4.878281,4.812196,3.488916,4.356814,4.668967,4.694435,4.32685,5.560086,6.097703,5.3449,4.866451,5.50814,5.933064,5.447937,4.995286,5.550062,5.638552,4.815986,2.78169,1.433047,0.696888,3.877763,5.026309,4.116595,3.285874,2.212918,0.090023,2.423469,1.8044,0.37005,0.660361,-0.554793,1.440207,1.351922,-0.785609,-0.625168,-1.045932,0.88082,0.727175,-2.611974,-2.93777,-1.475283,-1.563614,-2.374173,-0.061813,-0.786557,-1.646677,-5.594856,-5.679235,-3.845874,-1.875052,-2.371203,-2.078171,-3.820556,-4.995574,-4.992759,-3.690619,-2.748714,-4.214827,-4.899784,-4.636943,-3.6033,-2.653884,-3.432222,-4.412432,-4.661936,-3.799554,-2.568461,-1.822879,-0.481057,-3.050054,-3.784632,-5.205392,-5.144484,-4.321616,-2.654211,-1.238129,-3.762066,-4.490975,-5.42576,-6.327075,-4.054671,-2.416479,-3.903346,-6.167613,-6.197625,-5.066501,-2.482232,-2.656735,-4.408687,-6.664724,-1.519642,0.409311,0.28078,1.079861,1.861384,-2.265318,-1.935576,-0.10663,0.296662,1.996485,3.062496,-0.200263,-0.442515,1.704528,1.868248,3.033578,3.536746,-0.035303,-0.114043,0.680715,2.936515,0.717713,3.205436,1.65931,1.51731,2.58691,2.141746,1.014
N1_0057_sec120-export,0.460879,1.753411,2.798763,2.850795,3.476546,2.979444,3.162244,2.20144,2.01831,2.37428,3.261939,3.850353,3.475862,2.395633,2.603783,3.575503,1.79132,3.817967,3.52742,2.738601,2.760389,2.405904,3.449974,2.95383,0.713536,0.034246,0.743833,1.854659,2.165473,1.866172,2.36229,-0.342427,-0.235645,0.626013,-0.038865,1.201262,0.796185,-0.99358,-1.401823,-0.443679,-0.417209,0.243921,-1.108469,-2.174577,-1.355486,-2.236911,-1.262622,-0.209053,-1.411445,-3.593869,-2.17191,-1.011906,-0.09992,1.279518,1.908453,-2.958276,-3.789981,-4.334046,-1.833179,-0.534945,-0.584829,0.18629,-3.970495,-6.791512,-6.427055,-1.269306,-0.189368,-4.498955,-4.631275,-1.969229,0.074171,0.409268,-1.945172,-2.558995,-0.847479,-0.678578,-0.4166,0.449935,0.932727,2.016484,-2.023569,-1.85154,-0.999462,0.280014,0.420752,0.39206,1.318428,-1.342965,-2.015309,-1.124239,-1.16935,-0.132588,-0.128549,-3.044926,-4.496916,-1.253336,-0.872402,-0.619555,-3.329752,-3.820601,-0.873959,-0.940006,0.244793,1.001167,1.067542,2.627775,-2.466066,-1.412002,-0.720388,0.40842,1.683343,3.942092,-1.064544,-1.79048,-1.416261,0.036838,1.538344,1.723745,0.253802,-0.531734,0.143628,0.269082,1.663802,1.510504,0.510655,0.197409,-0.271942,-0.411998,3.079887
N1_0058_sec120-export,-1.555589,-0.475042,-3.382651,-2.919887,-2.39742,-0.798281,-0.902826,-2.249342,-2.825027,-4.409338,-3.576928,-0.274031,0.091566,-2.727725,-1.425294,-1.651746,-2.722502,-1.070978,-2.314003,-1.456236,-2.814422,0.075142,-1.965115,1.216849,-1.267334,-0.858001,-0.700673,-0.538659,0.098899,1.423415,0.978151,-1.293646,-2.166157,0.041374,0.316393,2.789497,1.729738,-1.56597,-1.89735,0.654136,1.639867,-0.083589,-1.566465,-1.936739,0.750372,2.568029,2.5865,-1.713264,-2.310393,1.023757,3.729672,3.562911,3.869239,0.386519,-0.422748,-2.095524,-0.395014,3.750764,3.941446,3.499042,1.274391,1.666301,-2.775329,0.003712,4.488416,7.196419,-1.477423,-2.385822,0.935514,1.269621,1.682036,4.684084,-1.935264,-0.421867,1.964629,3.308997,3.704512,1.585003,1.042327,2.132271,0.244851,-0.89095,2.410745,6.515083,5.566658,0.966816,1.805851,-1.471956,-0.533451,4.638088,8.270265,2.67256,0.553444,-0.599473,-1.93638,3.636583,3.453194,2.73809,-0.958674,-1.584932,1.163325,-3.093369,-0.039771,1.894594,0.095449,0.698589,-3.098623,-0.327038,0.393727,-2.102021,-1.052359,-2.764927,-2.400498,-0.882031,-1.967091,2.277442,-3.934348,-3.046212,-2.086146,-2.217084,-1.061374,-0.991841,-3.012836,-2.901085,-2.520322,-2.388692,-2.198269,-1.663025,-0.210476
N1_0059_sec120-export,0.876718,2.093172,4.359616,3.593873,3.103366,2.538765,1.616291,2.658869,4.263437,3.500431,2.93796,2.70117,2.099664,3.956581,3.215802,3.197254,2.154662,3.106525,2.22445,1.633057,2.985804,2.85481,2.202424,2.49126,1.807556,1.314039,2.199106,0.56344,0.908787,1.523856,1.071824,0.717439,-0.078631,0.226389,-0.128622,0.371891,0.653748,-0.797159,-1.346907,-1.321843,-1.22039,-0.960243,0.357134,-0.290873,-2.027111,-1.774122,-1.727174,0.84449,-0.176757,-2.353885,-2.198907,-2.167985,-0.806311,0.321567,0.547276,-1.227473,-2.383863,-3.533705,-3.137969,-2.020675,-1.224112,-1.271002,-1.813874,-2.495855,-3.030528,-2.501658,-2.03862,-2.096311,-2.117751,-2.638505,-3.031954,-1.414462,-1.133622,-1.774923,-1.950429,-1.35883,-0.675705,-0.321775,-0.270676,1.433874,-2.379348,-2.108543,-1.908574,-0.816114,-0.422908,-0.232563,1.028075,-1.434453,-2.469183,-2.233064,-1.419943,-0.506673,-0.766311,-1.877796,-3.155824,-3.906119,-3.053409,-0.636901,-2.284893,-2.694746,-3.357779,-1.306274,-0.535679,0.016356,1.384392,2.059379,-1.57883,-2.054658,-1.041037,-0.52045,1.441129,2.212329,0.533816,0.226713,-0.239223,-0.015159,0.412419,2.049918,1.232434,0.671883,1.160178,2.872273,0.729935,2.288796,1.6605,1.745009,1.619414,1.208139,2.016186
N1_0060_sec120-export,3.903042,4.21398,3.417275,3.436572,2.715689,2.60789,2.130737,4.658268,4.368763,3.52039,2.872612,3.044358,2.746869,4.28794,4.557805,3.558987,4.575378,4.148504,4.130005,3.924509,4.53745,5.137959,5.145493,4.834064,5.654763,4.588504,5.061533,4.924133,3.37747,1.646856,-0.205101,4.864062,5.079327,3.442192,2.989849,1.845625,-0.464025,4.442516,2.253467,2.09382,1.583313,-0.893024,4.347659,4.514645,0.910767,0.069469,-0.552808,4.111824,3.968764,-1.72877,-2.880893,-2.12415,-2.593596,-2.180692,-1.325238,2.20031,1.778638,-4.944117,-5.55948,-4.218292,-3.296881,-4.692505,1.757026,-1.859994,-4.666842,-6.904345,-5.379023,0.371495,-1.46883,-3.355102,-6.458049,-5.427945,-0.106298,-2.321094,-4.966796,-5.452664,-5.243414,-3.791013,-2.268016,0.007999,-1.130248,-3.087417,-6.354766,-5.953317,-4.955439,-3.180964,-0.990667,-1.485572,-3.154653,-8.212036,-8.710047,-4.44741,-1.887817,-0.529424,-4.443626,-11.212973,-7.219384,-4.544094,-2.295661,-6.807893,-8.663408,-4.331881,-2.322235,-1.371241,1.459982,1.546817,-1.044699,-4.988966,-1.905074,-0.279996,1.547879,2.020256,2.159278,1.723,-0.04719,-0.158601,1.372752,1.752677,2.65844,2.428137,2.323561,1.515935,2.437315,2.452454,2.562903,3.621572,4.472903,4.129353,0.499923
