File,E1-bc_Symb_adj,E2-bc_Symb_adj,E3-bc_Symb_adj,E4-bc_Symb_adj,E5-bc_Symb_adj,E6-bc_Symb_adj,E7-bc_Symb_adj,E8-bc_Symb_adj,E9-bc_Symb_adj,E10-bc_Symb_adj,E11-bc_Symb_adj,E12-bc_Symb_adj,E13-bc_Symb_adj,E14-bc_Symb_adj,E15-bc_Symb_adj,E16-bc_Symb_adj,E17-bc_Symb_adj,E18-bc_Symb_adj,E19-bc_Symb_adj,E20-bc_Symb_adj,E21-bc_Symb_adj,E22-bc_Symb_adj,E23-bc_Symb_adj,E24-bc_Symb_adj,E25-bc_Symb_adj,E26-bc_Symb_adj,E27-bc_Symb_adj,E28-bc_Symb_adj,E29-bc_Symb_adj,E30-bc_Symb_adj,E31-bc_Symb_adj,E32-bc_Symb_adj,E33-bc_Symb_adj,E34-bc_Symb_adj,E35-bc_Symb_adj,E36-bc_Symb_adj,E37-bc_Symb_adj,E38-bc_Symb_adj,E39-bc_Symb_adj,E40-bc_Symb_adj,E41-bc_Symb_adj,E42-bc_Symb_adj,E43-bc_Symb_adj,E44-bc_Symb_adj,E45-bc_Symb_adj,E46-bc_Symb_adj,E47-bc_Symb_adj,E48-bc_Symb_adj,E49-bc_Symb_adj,E50-bc_Symb_adj,E51-bc_Symb_adj,E52-bc_Symb_adj,E53-bc_Symb_adj,E54-bc_Symb_adj,E55-bc_Symb_adj,E56-bc_Symb_adj,E57-bc_Symb_adj,E58-bc_Symb_adj,E59-bc_Symb_adj,E60-bc_Symb_adj,E61-bc_Symb_adj,E62-bc_Symb_adj,E63-bc_Symb_adj,E64-bc_Symb_adj,E65-bc_Symb_adj,E66-bc_Symb_adj,E67-bc_Symb_adj,E68-bc_Symb_adj,E69-bc_Symb_adj,E70-bc_Symb_adj,E71-bc_Symb_adj,E72-bc_Symb_adj,E73-bc_Symb_adj,E74-bc_Symb_adj,E75-bc_Symb_adj,E76-bc_Symb_adj,E77-bc_Symb_adj,E78-bc_Symb_adj,E79-bc_Symb_adj,E80-bc_Symb_adj,E81-bc_Symb_adj,E82-bc_Symb_adj,E83-bc_Symb_adj,E84-bc_Symb_adj,E85-bc_Symb_adj,E86-bc_Symb_adj,E87-bc_Symb_adj,E88-bc_Symb_adj,E89-bc_Symb_adj,E90-bc_Symb_adj,E91-bc_Symb_adj,E92-bc_Symb_adj,E93-bc_Symb_adj,E94-bc_Symb_adj,E95-bc_Symb_adj,E96-bc_Symb_adj,E97-bc_Symb_adj,E98-bc_Symb_adj,E99-bc_Symb_adj,E100-bc_Symb_adj,E101-bc_Symb_adj,E102-bc_Symb_adj,E103-bc_Symb_adj,E104-bc_Symb_adj,E105-bc_Symb_adj,E106-bc_Symb_adj,E107-bc_Symb_adj,E108-bc_Symb_adj,E109-bc_Symb_adj,E110-bc_Symb_adj,E111-bc_Symb_adj,E112-bc_Symb_adj,E113-bc_Symb_adj,E114-bc_Symb_adj,E115-bc_Symb_adj,E116-bc_Symb_adj,E117-bc_Symb_adj,E118-bc_Symb_adj,E119-bc_Symb_adj,E120-bc_Symb_adj,E121-bc_Symb_adj,E122-bc_Symb_adj,E123-bc_Symb_adj,E124-bc_Symb_adj,E125-bc_Symb_adj,E126-bc_Symb_adj,E127-bc_Symb_adj,E128-bc_Symb_adj,Cz-bc_Symb_adj
N1_0051_sec120-export,1.729705,1.833151,3.782924,2.539234,2.541107,2.583592,1.826998,4.311843,3.33372,3.878008,2.859224,2.099105,2.575114,2.249757,2.555687,2.874037,2.807683,2.293971,3.021139,2.142528,3.523578,2.651569,2.537177,2.532786,2.076076,2.553909,2.211504,2.77054,2.668001,2.202273,1.89018,1.507151,0.426468,1.385838,1.121942,1.703818,1.706447,0.652028,-1.358014,0.091656,0.305748,0.621644,0.338054,0.562868,-2.216837,-1.572122,-0.216723,-0.014977,-1.055013,-3.011359,-1.676155,-0.398916,1.520741,1.693851,1.725202,-2.197464,-3.357762,-4.310671,-1.655816,0.405056,1.430536,1.907341,-2.967047,-3.713682,-4.423175,-1.393451,1.563159,-3.704283,-3.303064,-4.160627,-1.220249,1.120678,-4.487654,-3.297688,-3.414749,-1.404033,1.678842,1.682001,1.574827,1.910633,-1.179719,-3.874124,-4.461344,-3.562348,-0.222624,0.185642,1.00456,-0.053791,-3.322319,-7.391787,-5.227571,-1.721544,-0.89504,-1.832203,-3.404657,-6.190811,-3.748106,-2.286917,-1.020386,-3.487869,-3.740343,-2.321855,-1.420246,0.598154,1.054661,2.050405,-2.490972,-1.971474,-0.987776,0.201559,0.970203,2.271246,-0.702832,-1.096691,-1.365095,0.571608,0.688719,2.393964,0.868025,-0.462803,-0.687733,0.422745,1.386515,2.992869,0.657918,-0.524052,0.323801,1.261894,2.189435
N1_0052_sec120-export,1.655721,2.587827,2.777892,2.037243,1.447883,0.679959,1.624878,2.566731,2.953359,2.066118,1.11574,0.622867,0.363014,2.026172,2.122062,1.363593,2.164226,1.186949,0.467533,-0.17296,1.897647,2.918284,1.090883,-0.208557,1.888102,1.317546,0.573577,0.081083,-0.082031,0.717737,1.42719,1.12455,0.852609,-0.742927,-1.513463,-0.28721,0.543677,0.181577,-0.494446,-1.622484,-2.111511,-1.516246,0.162767,-0.313875,-2.181659,-2.382238,-2.581154,-0.023172,-0.524744,-4.093009,-4.397053,-1.978369,0.175564,1.689747,2.376254,-1.52941,-2.340901,-5.728452,-4.922364,-1.860113,1.255154,2.770028,-1.421766,-3.199302,-5.04957,-4.358724,0.376795,-1.689227,-2.712915,-4.221319,-2.40271,1.721783,-1.129826,-2.048551,-2.066327,0.663437,2.927094,3.182621,2.659607,2.044427,-1.215077,-2.153244,-1.890247,-0.112125,1.945817,2.189793,1.690634,-0.878817,-2.325291,-2.957997,-2.522825,0.693387,0.912398,-2.006242,-2.394082,-3.650374,-2.308534,0.343615,-1.356137,-2.552736,-2.005257,-0.35472,1.029848,1.492082,1.583931,1.169327,-1.329265,-0.374611,1.391495,1.111337,1.071014,0.701828,-0.860942,0.640846,1.118026,2.113634,1.712554,1.677414,0.320816,0.352511,1.48861,2.5389,3.01601,2.438636,1.038633,0.046375,0.674234,0.41432,1.789584
N1_0053_sec120-export,0.902066,0.224123,-2.053634,-2.205342,-2.010314,-0.953013,-0.714576,0.988132,-0.885816,-1.431887,-1.769338,-1.601808,-0.946922,-0.086704,-1.587497,-2.055532,0.513208,-1.165276,-1.114193,-1.147848,0.437511,-0.072087,-0.44675,-0.573718,0.69913,0.230751,0.890007,-0.285792,-0.314765,-0.441136,-0.179171,1.629738,0.726483,0.221734,0.272281,-0.035411,-0.099406,1.899793,1.09351,0.647578,0.090765,-0.281923,1.877459,1.867725,0.740428,-0.139088,-0.321059,1.608442,1.991609,-0.088637,-1.195807,-0.975699,0.046251,0.399962,0.594261,1.641582,0.53678,-1.110157,-1.388651,-0.967629,1.054849,1.247438,0.928188,0.054331,-1.547518,-1.280035,0.439581,-0.110165,-0.426776,-0.916101,0.232838,0.936345,0.301321,-0.169821,0.312158,0.233643,0.438554,0.832324,0.563256,0.109723,0.400895,0.319985,-0.483865,-0.693294,-0.113034,0.161249,0.25562,0.017529,-0.669976,-0.988029,-0.919331,-0.082754,-0.02713,0.028777,0.363772,-0.53894,-0.100743,0.175098,0.395364,0.517991,0.582643,0.36402,0.010103,-0.06935,-0.347187,-0.287342,1.147615,0.979244,0.525893,-0.400882,-0.903506,-0.803997,1.767629,1.316385,1.150345,-0.082542,-1.13154,-1.80815,1.085165,1.061052,0.870025,0.113119,-0.846844,-2.379856,1.138318,1.164806,0.914621,1.426355,0.065818
N1_0054_sec120-export,-1.307813,-1.331036,-1.199932,-1.544603,-1.606707,-1.371198,-0.831173,-0.598209,-1.089024,-1.529376,-1.89187,-1.477076,-1.736794,-0.688264,-1.17247,-1.395262,-0.196187,-1.686167,-1.678697,-1.210403,-0.041054,-1.032473,-1.027357,-1.498461,1.594731,0.658638,-0.601104,-1.041034,-1.276249,-0.903748,0.628622,-0.537314,-0.999865,-1.087453,-1.354359,-0.933421,0.350872,-1.459798,-2.062582,-2.40705,-1.670387,-0.656067,-1.77451,-2.95579,-2.00046,-1.492661,-1.945745,-1.720321,-2.323361,-3.467796,-1.960458,-0.895231,0.974777,2.507192,2.095643,-1.763747,-2.000263,-4.442416,-3.343232,1.312261,2.802858,7.160301,-0.765292,-2.035453,-2.830625,-1.351552,4.94453,-1.710103,-1.795642,-1.190607,3.140705,6.645696,-0.841449,-0.233391,1.258801,6.026484,8.925132,7.841824,4.776605,1.653085,-0.620406,-0.198357,1.983759,7.567693,8.646196,6.440216,3.718865,-0.679666,0.060581,2.398848,7.081356,5.81996,4.317349,-1.028478,-1.430794,-0.200691,3.069286,2.876907,-1.85739,-0.938645,-1.296845,0.85996,2.075759,1.44288,1.086388,-0.621625,-1.225285,-0.982187,0.35652,0.138529,-0.036763,-1.199891,-1.360947,-1.806794,-0.650126,-0.961742,-0.941637,-1.518946,-1.738908,-2.128381,-1.443677,-0.925242,-1.115497,-1.533956,-1.776175,-1.465693,-0.641043,-2.001285,0.059406
N1_0055_sec120-export,3.730423,4.406042,2.812093,3.475119,3.007311,2.45411,1.478153,5.222404,4.111267,4.04739,2.834412,3.155945,2.07467,4.321333,4.268192,3.846556,4.128971,3.809108,3.549297,3.048346,4.206559,3.560829,3.884241,2.999467,4.349943,3.914015,3.185083,2.200577,1.984661,1.038207,0.393727,2.29668,2.226835,2.391259,0.744125,-0.02129,-0.854574,2.453437,0.556813,-0.745702,-0.710368,-1.578544,2.832584,1.124093,-1.393984,-3.685991,-2.762549,1.951002,3.724536,-4.033319,-5.403785,-4.835346,-3.247334,-1.286319,-0.115719,1.115057,-2.394185,-8.623706,-8.617052,-6.344803,-3.363609,-1.991129,-0.169343,-3.578715,-8.658,-9.475374,-4.76311,-2.682937,-3.663756,-6.846988,-4.439043,-2.802585,-2.091202,-2.962918,-3.05208,-3.268126,-2.562264,-2.095689,-1.239285,0.636697,-1.961865,-2.228711,-3.610232,-5.060439,-3.675424,-2.067117,-0.041372,-1.342667,-2.416874,-4.965016,-5.607363,-2.623976,-1.10119,-1.133044,-1.908943,-3.321133,-2.962547,-2.088058,0.592704,-0.43425,-2.19781,-2.689092,-0.680874,0.558015,1.267125,1.533517,1.338353,0.135171,0.126596,1.912453,1.8406,2.32386,2.729404,2.559736,0.157199,1.508628,2.429895,2.473658,2.397652,4.372366,3.109649,3.555893,3.180204,3.398804,3.12165,3.591787,2.570512,3.191697,0.95002
N1_0056_sec180-export,-0.664946,0.401381,0.950075,2.48832,0.879308,1.114927,0.585392,1.37958,1.102854,1.37597,1.383351,1.641993,1.020313,1.156772,1.395046,1.08739,0.933706,1.697896,2.141383,1.876473,1.125416,1.594856,1.978546,2.003073,1.498876,1.997146,2.302226,2.011596,0.825222,1.006634,0.77292,1.356612,2.49659,2.273078,1.91517,1.638293,0.708331,0.916149,1.50256,1.300402,1.491183,0.83693,0.6178,0.747638,0.531741,0.749943,0.513894,0.481833,0.55556,-0.102518,0.248894,0.557111,0.57397,0.166238,0.797746,0.203988,0.796133,-1.94302,-1.467886,-0.674149,0.959239,0.379347,-0.592932,-1.154754,-1.824615,-1.485805,-0.408108,-0.817499,-1.434417,-1.927927,-1.444934,-0.672607,-0.689484,-0.886255,-1.736434,-1.737277,-1.166042,-0.550621,-0.452286,-0.581804,-1.10308,-1.326095,-2.43822,-2.435317,-2.071086,-0.912644,-0.816766,-1.5072,-1.868844,-2.594339,-3.589653,-1.967828,-1.962947,-1.792951,-3.295971,-2.971079,-2.683325,-2.007198,-0.397223,-2.15024,-3.613071,-0.526385,0.088323,-0.22981,0.032133,0.699021,-0.794249,-1.51397,-0.48802,-0.453301,0.220613,0.832351,-0.095321,-0.978654,1.049852,0.210546,0.522631,0.898803,-0.126391,-0.693869,-0.857712,0.77859,-1.091897,0.729565,0.144445,0.188124,1.191436,0.460893,0.678642
N1_0057_sec120-export,1.266866,2.225666,2.093823,1.738239,1.650075,0.605939,1.451242,3.308235,1.530317,1.291838,1.907095,1.555072,1.488556,2.417938,1.994698,2.259061,1.959816,2.757909,1.650524,0.572801,3.285747,2.090864,2.265916,1.443253,0.733889,-0.374566,0.248627,0.720813,0.787765,0.192604,1.220141,-0.798182,-0.688098,-0.03052,-1.142238,-0.155745,-0.062296,-1.293396,-1.715596,-1.22613,-1.104729,-0.467499,-1.360109,-2.523479,-1.779934,-1.818594,-1.757345,-0.510899,-1.630029,-3.810163,-2.337121,-1.155139,-0.258169,1.336461,1.874718,-3.12015,-3.843164,-4.626894,-1.791626,0.024016,0.549863,2.060838,-3.842483,-7.301402,-5.99222,-0.19529,1.597648,-4.184151,-3.792679,0.043979,2.60632,2.793077,-1.138906,-0.91215,2.072529,1.434364,1.20909,1.957528,1.582296,1.536261,-0.870984,-0.190515,-0.247649,0.994683,1.373321,1.383441,1.470914,-0.426013,-1.993436,-1.985448,-1.28307,0.322542,0.07656,-2.517113,-5.362003,-2.370542,-0.641386,-0.349294,-2.38473,-2.828358,-0.501841,-0.332407,0.993464,0.861553,0.635771,1.511425,-1.577239,-0.515466,-0.122174,0.659132,0.925688,2.365395,0.117164,-0.921137,-0.283532,0.687204,0.781425,0.773809,1.152922,0.625231,1.259121,1.214235,1.684444,0.862718,0.859885,0.367485,-0.345412,-0.432011,1.869
N1_0058_sec120-export,1.012957,2.038767,-1.260772,-0.874287,-1.423029,-1.581953,-3.187943,0.525788,0.583896,-0.674801,-1.359391,0.020035,-1.359347,0.906112,1.800586,1.004563,-0.399198,1.731829,-0.724778,-1.059652,0.740285,3.827384,0.109233,1.685439,1.677078,1.533245,0.267432,-0.439835,-1.571183,-1.578595,-1.590581,1.090499,-0.576884,-0.264335,-1.379673,0.381377,-1.327838,0.635388,-1.035388,0.034336,-1.60443,-2.902098,0.766507,0.212329,0.042996,0.355696,-0.779705,0.903786,0.245031,-1.261788,-0.483303,-0.260103,0.013789,-2.197833,-2.613505,0.619495,0.261329,-0.726615,-2.547501,-1.020963,-1.270822,-0.172925,-0.708348,-1.025865,-2.175121,0.100497,-3.299267,-0.824982,0.282885,-2.194674,-1.204504,3.114779,0.343653,0.495352,1.595938,1.825288,1.238883,-0.438967,-1.101561,-0.247024,2.017204,1.105456,1.548319,1.282359,2.079258,-1.064714,-0.881595,1.242736,1.404602,2.25851,2.872286,-0.28332,-2.472582,2.792579,0.5198,2.450126,1.210004,0.9908,2.614473,1.649308,2.105651,-1.242398,-1.341048,-0.934325,-2.075253,-1.339196,0.611425,2.062522,1.712749,-3.128156,-2.072432,-3.27614,1.204646,2.206182,0.781112,3.578347,-2.642924,-1.793862,1.280365,1.160355,2.089165,1.460212,-1.13378,-1.540935,0.798904,0.365283,0.371835,0.733972,-2.63099
N1_0059_sec120-export,0.988849,3.487201,6.577753,5.519192,5.503693,4.840018,4.193796,3.794395,6.381795,5.723803,5.251909,5.057286,4.527455,5.681578,5.180036,5.458525,4.163401,5.403599,4.583634,3.972517,5.067046,5.065376,4.31158,4.963683,3.483597,3.048453,5.129149,3.367484,3.705839,3.970997,3.741482,1.636145,1.939114,2.858592,2.281455,3.09069,3.358758,-0.370873,-0.653358,-0.272068,0.358514,0.979432,-0.499176,-0.667987,-2.260963,-1.589685,-1.087668,-1.217601,-1.601197,-3.8004,-2.579622,-1.392741,1.492278,2.931861,2.834018,-3.370645,-4.388809,-5.775461,-4.639613,-1.570354,-0.115565,0.430889,-4.604118,-5.037038,-5.695246,-4.148055,-2.018136,-5.218681,-5.663873,-5.435679,-3.859432,0.039861,-4.630228,-4.691238,-4.536993,-2.712789,0.474361,1.061251,1.272309,3.543561,-5.59584,-5.812547,-5.173616,-3.325617,-1.361775,-0.339844,2.652348,-5.423828,-6.772506,-8.23349,-6.386881,-2.416293,-0.335464,-5.801604,-7.689277,-9.717072,-8.76934,-1.968991,-6.116371,-5.657557,-6.870018,-2.531259,-0.494242,0.474845,3.309589,4.09819,-4.872829,-3.72222,-0.886231,-0.020539,3.408537,4.115944,-1.799111,-1.128825,-0.406284,1.138476,1.91351,4.472321,-1.100007,-1.124535,0.263525,3.353062,3.98494,4.779574,0.433428,0.678035,1.001028,0.75633,4.397413
N1_0060_sec120-export,2.973596,3.406151,3.104542,2.767763,2.197672,1.5436,1.419885,3.726213,4.216152,3.340452,2.329832,1.846967,1.602874,3.941957,4.153684,3.111595,3.352562,3.469524,2.79836,2.137581,3.903562,4.327427,3.533306,2.944483,3.920021,2.307788,2.638418,2.175405,1.945069,1.241209,0.684724,2.540121,2.777972,1.589928,1.605081,1.46925,0.628481,2.178111,-0.137389,0.439401,0.796537,-0.524748,1.707664,2.134501,-1.220838,-1.579922,-0.946045,1.577615,1.373667,-4.225359,-3.809762,-1.767249,-1.000301,-0.043347,0.491387,-0.940163,-1.435161,-7.444859,-6.136312,-2.931773,-0.583097,-0.283996,-1.622004,-4.297328,-6.341923,-6.853805,-2.882367,-2.688838,-3.883856,-4.133177,-2.931645,-0.510151,-2.769672,-3.770611,-3.967984,-1.937086,-1.458878,0.233425,0.680599,1.215651,-3.297615,-3.729074,-4.665996,-2.672228,-1.451313,0.365081,1.073627,-3.159358,-3.643881,-7.023347,-5.787329,-0.730747,1.514541,-1.798159,-3.785763,-7.90084,-2.853756,-0.732276,-3.236949,-4.332927,-4.595883,-0.557496,0.922682,0.714957,2.187541,1.291714,-1.53594,-1.032733,1.165787,1.860986,1.990874,1.513047,1.24831,1.373291,1.105411,1.311493,2.372295,1.866565,1.330784,1.37273,1.972916,1.749523,2.63117,2.282986,1.406835,2.023849,1.750391,1.764123,0.917983
