File,EEG 1-bc_avg_c,EEG 2-bc_avg_c,EEG 3-bc_avg_c,EEG 4-bc_avg_c,EEG 5-bc_avg_c,EEG 6-bc_avg_c,EEG 7-bc_avg_c,EEG 8-bc_avg_c,EEG 9-bc_avg_c,EEG 10-bc_avg_c,EEG 11-bc_avg_c,EEG 12-bc_avg_c,EEG 13-bc_avg_c,EEG 14-bc_avg_c,EEG 15-bc_avg_c,EEG 16-bc_avg_c,EEG 17-bc_avg_c,EEG 18-bc_avg_c,EEG 19-bc_avg_c,EEG 20-bc_avg_c,EEG 21-bc_avg_c,EEG 22-bc_avg_c,EEG 23-bc_avg_c,EEG 24-bc_avg_c,EEG 25-bc_avg_c,EEG 26-bc_avg_c,EEG 27-bc_avg_c,EEG 28-bc_avg_c,EEG 29-bc_avg_c,EEG 30-bc_avg_c,EEG 31-bc_avg_c,EEG 32-bc_avg_c,EEG 33-bc_avg_c,EEG 34-bc_avg_c,EEG 35-bc_avg_c,EEG 36-bc_avg_c,EEG 37-bc_avg_c,EEG 38-bc_avg_c,EEG 39-bc_avg_c,EEG 40-bc_avg_c,EEG 41-bc_avg_c,EEG 42-bc_avg_c,EEG 43-bc_avg_c,EEG 44-bc_avg_c,EEG 45-bc_avg_c,EEG 46-bc_avg_c,EEG 47-bc_avg_c,EEG 48-bc_avg_c,EEG 49-bc_avg_c,EEG 50-bc_avg_c,EEG 51-bc_avg_c,EEG 52-bc_avg_c,EEG 53-bc_avg_c,EEG 54-bc_avg_c,EEG 55-bc_avg_c,EEG 56-bc_avg_c,EEG 57-bc_avg_c,EEG 58-bc_avg_c,EEG 59-bc_avg_c,EEG 60-bc_avg_c,EEG 61-bc_avg_c,EEG 62-bc_avg_c,EEG 63-bc_avg_c,EEG 64-bc_avg_c,EEG 65-bc_avg_c,EEG 66-bc_avg_c,EEG 67-bc_avg_c,EEG 68-bc_avg_c,EEG 69-bc_avg_c,EEG 70-bc_avg_c,EEG 71-bc_avg_c,EEG 72-bc_avg_c,EEG 73-bc_avg_c,EEG 74-bc_avg_c,EEG 75-bc_avg_c,EEG 76-bc_avg_c,EEG 77-bc_avg_c,EEG 78-bc_avg_c,EEG 79-bc_avg_c,EEG 80-bc_avg_c,EEG 81-bc_avg_c,EEG 82-bc_avg_c,EEG 83-bc_avg_c,EEG 84-bc_avg_c,EEG 85-bc_avg_c,EEG 86-bc_avg_c,EEG 87-bc_avg_c,EEG 88-bc_avg_c,EEG 89-bc_avg_c,EEG 90-bc_avg_c,EEG 91-bc_avg_c,EEG 92-bc_avg_c,EEG 93-bc_avg_c,EEG 94-bc_avg_c,EEG 95-bc_avg_c,EEG 96-bc_avg_c,EEG 97-bc_avg_c,EEG 98-bc_avg_c,EEG 99-bc_avg_c,EEG 100-bc_avg_c,EEG 101-bc_avg_c,EEG 102-bc_avg_c,EEG 103-bc_avg_c,EEG 104-bc_avg_c,EEG 105-bc_avg_c,EEG 106-bc_avg_c,EEG 107-bc_avg_c,EEG 108-bc_avg_c,EEG 109-bc_avg_c,EEG 110-bc_avg_c,EEG 111-bc_avg_c,EEG 112-bc_avg_c,EEG 113-bc_avg_c,EEG 114-bc_avg_c,EEG 115-bc_avg_c,EEG 116-bc_avg_c,EEG 117-bc_avg_c,EEG 118-bc_avg_c,EEG 119-bc_avg_c,EEG 120-bc_avg_c,EEG 121-bc_avg_c,EEG 122-bc_avg_c,EEG 123-bc_avg_c,EEG 124-bc_avg_c,EEG 125-bc_avg_c,EEG 126-bc_avg_c,EEG 127-bc_avg_c,EEG 128-bc_avg_c,Cz-bc_avg_c
1b_a3001,0.189493,-0.878625,-2.248661,-1.709329,-1.702238,-1.308235,-0.471624,0.721783,-1.787374,-2.339571,-1.399715,-1.521056,0.177604,-0.860022,-1.299359,-1.990719,-0.090951,-2.050653,-0.612959,0.381695,-0.302522,-0.735905,-1.419704,0.623213,0.824454,0.136705,0.624287,0.794137,0.750535,0.025491,-0.282231,1.000702,1.393187,0.397208,0.440548,0.032122,-0.209011,1.124342,0.699592,0.334808,0.797902,-0.011017,0.620425,1.087465,0.314072,0.182231,0.143049,0.656969,3.970881,0.160856,0.52519,0.655471,0.805447,-0.723598,-0.134568,0.100695,0.094244,0.11276,0.034067,-0.208934,-0.380387,0.012616,-0.207657,0.010632,0.274762,0.552447,0.169643,-0.390273,-0.186901,0.342416,0.964396,0.375932,1.058209,1.222157,0.638096,0.574342,0.160423,0.081269,-0.201052,-0.573785,0.436205,0.103261,0.387883,0.43726,0.894655,-0.202523,-0.584626,0.06401,0.45945,0.413455,1.49335,0.38425,-0.06608,0.894238,0.623475,1.549559,0.450271,-0.194143,1.593858,0.707561,0.459607,0.211683,-0.821979,-0.73631,-0.528042,-0.466741,0.118089,0.176431,-0.83339,-0.680437,-0.650912,-0.769245,0.634279,0.203482,-0.084385,-0.655487,-1.222165,-1.65176,0.441268,0.209706,-0.005701,-0.805539,-1.801644,-2.233362,0.204804,0.862158,0.508587,1.41747,-0.478163
1b_a3009,4.612317,4.207327,4.30266,4.158769,3.496748,4.557796,4.664016,6.573414,6.377037,6.872834,5.988594,5.192603,3.510394,7.781388,6.415406,6.67607,7.540391,5.506274,4.202652,2.988241,7.528172,6.355241,4.182544,2.953028,7.55787,5.354132,1.886238,1.211584,1.357206,1.25004,2.980493,2.955539,0.728173,0.455182,0.557826,0.92564,2.679622,1.277948,-0.195513,0.276638,0.297413,-0.786288,0.672615,0.809484,-1.555221,-1.044071,-0.96505,-2.005501,-2.594178,-3.076746,-2.325819,-2.309705,-0.134915,-0.758877,-0.14814,-1.748238,-3.990898,-4.760544,-3.913612,-1.538809,0.152221,-2.122176,-15.19475,-7.703828,-4.16483,-3.378461,-2.15544,-3.95834,-3.864569,0.879375,-3.367718,-3.380072,-4.418765,-4.555219,-5.553885,-5.351765,-4.761031,-4.299476,-1.766275,1.263903,-6.321596,-6.302848,-8.418643,-6.176557,-4.085198,-3.552957,0.031593,-10.05414,-8.12195,-6.362586,-5.421699,-3.737827,-0.824889,-6.919689,-6.999436,-5.925073,-3.072984,-1.24285,-2.93374,-2.865499,-2.112198,-0.764781,-0.360021,0.249824,1.514181,2.96578,1.41224,0.480213,1.072308,1.077964,2.06775,3.561325,1.882968,2.712703,2.494014,2.305954,2.567517,2.797068,1.476004,2.292886,2.516682,2.667207,3.247293,2.802189,2.862376,1.948017,1.350669,1.55713,2.33898
1b_a3010,-0.023128,2.185154,1.957063,2.277432,2.693598,2.05721,2.167914,0.977983,1.227271,2.455046,1.792343,2.159679,2.016275,0.572298,0.543651,1.251325,-0.836473,0.709384,0.784836,0.978033,-0.391756,0.17382,-0.104815,1.027583,-1.079339,-1.28154,0.7606,1.391969,1.209483,1.438287,2.552161,-2.375518,-0.596263,0.657552,2.40949,2.574274,2.884453,-2.577361,-1.491976,0.299722,0.978557,1.577334,-2.082939,-3.871823,-2.538563,0.555891,1.006738,-4.158232,-3.804585,-3.119404,-0.750683,-0.980235,2.293819,3.283745,2.232177,-4.265512,-4.158863,-3.390135,-3.280745,0.395091,1.995595,5.849973,-3.238792,-3.968881,-4.150774,-1.512343,3.527148,-3.985278,-3.426642,0.513054,2.715096,1.655485,-4.457832,-2.485569,-1.010454,-0.446093,-0.410375,0.827249,3.172111,2.456387,-2.51521,-2.533711,-1.255527,-1.283574,-0.457069,0.324884,2.557479,-3.330591,-3.362484,-2.011333,-1.048124,1.519018,2.749645,-2.004954,-0.256506,0.058038,0.386881,1.696085,-2.03105,-4.546909,0.288358,0.988688,1.704775,2.256253,2.073482,2.507774,-4.623659,-1.208551,1.010739,2.291787,1.994027,2.703676,-2.49014,-0.306864,-0.955348,2.364735,2.434688,2.513371,-4.230881,-1.80807,-1.30236,1.056275,2.94063,2.497379,-1.121432,0.272668,-1.517022,-2.647503,2.689124
1b_a3011,-4.375384,-3.408318,-0.510506,0.717909,1.578061,3.322483,3.42775,-5.169606,-2.712185,-0.874411,0.60045,2.374593,2.066935,-3.813155,-2.299999,0.012374,-4.112757,-0.97612,0.393868,1.551884,-2.759882,-0.19868,-0.772335,-0.051809,-1.919833,-0.152351,-1.262845,-0.531897,0.232877,0.6829,2.284753,-2.342407,-1.791664,-1.002279,-0.039775,0.096623,1.202627,-0.913521,-2.003787,-1.414904,-1.461573,0.216127,-1.324564,-1.143726,-2.403789,-1.769149,0.932535,-3.060222,-2.727134,-0.958384,-0.533537,0.697521,1.782246,2.215421,2.674673,-3.997637,0.845049,-1.373091,1.372089,1.881616,2.366291,2.442026,-1.03287,-2.949383,0.15502,2.121615,2.730141,-0.248074,-0.808382,1.693045,3.246046,2.432504,-1.425784,-1.514178,1.228821,1.388717,2.694096,3.593366,2.696312,2.43207,-0.51642,0.011691,1.277515,3.751605,3.586838,2.79311,3.135628,-0.790602,-1.491635,3.182597,3.25492,3.32776,1.550532,-3.144364,0.501699,2.674482,2.966464,1.291961,1.60484,2.762331,2.46029,0.706148,1.031796,1.697924,2.144231,2.637609,2.516843,-0.201082,0.432504,1.062761,2.054686,0.673517,-4.733857,-2.356353,-0.994934,-0.039724,0.201731,2.56241,-3.714797,-3.308359,-4.270007,-2.740922,-1.295683,0.387999,-5.7338,-6.633978,-4.0754,-4.810434,2.366378
1b_a3012,-1.350524,-0.311836,-0.067318,1.222359,1.326848,2.637063,3.841749,-0.649743,-1.074783,0.434054,0.614768,1.219436,3.043287,-0.638205,0.097143,0.158909,-0.700091,0.227187,2.124241,2.053248,-0.653785,-0.485188,-0.287201,1.650126,-0.431332,-0.250507,-0.076141,0.992256,2.28364,2.702536,3.913283,-0.042959,-0.12024,0.369,2.071253,3.49278,3.515571,-0.456801,0.398594,1.362427,3.583786,3.29527,-0.912411,-1.630252,0.2979,1.090412,2.653363,-2.938617,-1.791286,-0.407149,0.726058,2.252966,3.25048,3.735998,4.351792,-2.290273,-1.834394,-1.454739,0.514419,1.462292,3.033466,3.22526,-3.226928,-3.371719,-2.257941,-1.036584,0.982386,-3.021483,-3.914185,-3.541429,-3.848452,-0.198339,-3.277071,-4.440337,-4.16409,-2.866673,0.421925,3.540111,4.389949,4.355236,-3.28598,-4.046563,-4.804101,0.679578,1.181556,3.433328,3.332152,-4.045336,-5.729511,-5.241625,-2.730378,0.940669,2.318386,-4.328246,-4.868535,-5.563288,-1.868173,0.739648,-4.785148,-5.520153,-5.49575,-1.203768,2.221764,3.410035,2.740776,4.118163,-4.813241,-2.654658,0.039266,2.612622,2.813041,2.927741,4.556947,-2.701878,-0.3129,1.743238,2.592828,1.742406,-2.292986,-0.984487,-0.663993,0.053192,0.319782,0.4515,4.556947,-2.323323,-1.628196,-1.084113,4.556947
1b_a3017,0.351635,2.118821,4.157722,8.562746,3.574571,2.363482,-0.72026,6.326032,6.203751,5.111606,4.565835,4.80201,-0.422525,7.415487,6.024446,5.591848,7.003342,5.213793,-1.905323,-0.665508,6.595749,5.304373,3.052433,0.9108,3.371868,0.948195,1.474633,-2.209371,-2.504482,-1.405349,0.884931,-2.416333,-3.158438,-2.819704,0.91772,2.566924,1.311048,-2.16283,-4.232604,0.496918,0.16629,1.107535,-2.82305,-3.21252,-0.7137,-0.09987,0.430179,-3.603922,-3.666954,-4.06866,-1.63641,-0.863924,-1.30166,-1.804222,3.061482,-4.277133,-5.428432,-6.336286,-6.244553,-5.627666,-1.928873,-1.09374,-5.575066,-5.75106,-6.367826,-5.200471,-2.187726,-4.293859,-4.746775,-2.144773,-0.978306,0.139143,-2.160043,-1.461178,-0.343516,-1.134027,1.558348,1.57056,3.187696,2.833063,-0.14805,-2.209453,-0.124486,2.092595,2.834951,2.734974,3.115107,-1.963936,-0.138306,2.296843,2.93178,3.021112,1.181155,-1.650879,-2.94656,3.943816,2.366657,2.018434,-3.27476,0.233281,-3.184768,0.28326,1.181265,1.28591,2.461697,2.983842,-4.577042,-2.448777,1.747933,1.410033,2.594466,3.061545,-6.589044,-4.34152,-1.799452,3.199838,2.971344,2.822996,-7.943333,-5.850389,-2.933175,0.828487,1.819515,0.620757,-3.526225,-4.832039,-1.790202,0.428838,4.221879
1b_a3018,3.817347,3.825303,4.171958,2.648295,3.144235,1.04781,1.223363,4.20334,2.251736,1.803912,2.953577,2.423072,1.791772,4.447939,2.654561,3.846509,3.034855,2.72103,2.407054,1.356657,3.664927,2.906655,2.599884,1.64114,3.645345,2.656528,1.698816,2.131839,2.295291,2.519633,0.541673,2.83161,1.987134,2.03438,2.323465,2.505593,0.399234,4.559801,1.563107,1.739467,1.596496,0.516643,-2.16389,3.011589,-0.60565,0.161983,-0.024399,0.309374,-0.473758,-2.262867,-2.229902,-1.15457,-0.168058,-0.33055,-0.808025,-1.634978,-1.75092,-2.155573,-2.017397,-1.51313,-4.275635,-6.118625,-1.946665,-1.849189,-2.276817,-2.14153,-5.95885,-1.944545,-2.545387,-3.297034,-4.999578,-5.564475,-4.374126,-4.441848,-5.026828,-5.461856,-6.150453,-2.230168,-1.140651,-0.253903,-4.987424,-4.894915,-5.459188,-6.04654,-3.797349,-1.364015,0.480074,-4.24229,-4.700274,-6.264678,-4.741108,-2.990767,-0.270079,-4.89852,-4.211763,-4.819208,-3.970092,-0.302326,-4.223264,-1.012726,-1.421885,0.14273,1.06001,2.123003,1.952374,1.637307,0.543775,0.311294,0.99905,2.029786,2.363567,2.558726,1.841107,3.581569,1.564344,2.598418,2.128054,3.325253,1.779715,3.101144,2.552543,3.100138,3.346618,3.315766,2.199792,2.623602,2.492909,1.544705,0.996931
1b_a3019,-1.461811,-2.744725,-4.591688,-2.360005,-1.31412,0.192995,0.786905,-5.382026,-5.370511,-4.200678,-4.532609,0.91755,0.877773,-7.928218,-5.799358,-5.450864,-7.921596,-2.669134,-1.31476,0.679233,-7.321491,-4.013087,-0.960027,0.669238,1.111509,1.19171,0.999053,1.21481,2.114248,2.002728,0.19871,0.435445,0.80492,1.273715,1.927728,1.30661,-2.236026,5.915407,0.791992,1.365175,0.320176,0.664975,2.977193,0.415419,-0.668705,-0.343982,1.731123,0.155243,-0.361794,-2.119138,-1.377491,0.588717,-0.586421,0.051355,-1.106084,-3.922008,-1.926847,8.729938,3.909281,0.190978,-1.057412,-2.969858,4.439243,3.314612,2.796003,0.729697,1.000948,5.543067,4.179482,2.077467,0.843992,-3.140483,1.073531,2.230467,0.631211,-2.865585,-3.783385,-0.684408,-0.771951,1.213574,-2.960368,-0.05251,-2.106483,0.218264,-1.541615,-0.358045,1.252773,-0.985164,-1.610568,0.409951,-0.996745,0.333196,0.92326,-2.766347,0.672962,-0.935581,-0.378974,0.942862,0.965222,-0.336228,-0.335431,0.858352,1.955473,2.024722,1.854004,1.810057,0.153516,0.997159,1.823059,1.529677,1.695783,2.839534,2.603186,2.123722,2.218513,3.460465,1.177799,0.775919,3.469054,2.87205,0.564322,-1.542832,-0.281387,-1.012924,-0.90315,2.015553,3.155658,0.30535,-0.223931
1b_a3020,0.259121,1.168027,2.357042,2.547834,2.768199,3.389086,0.697655,1.788919,2.874429,2.497734,3.676607,2.267908,5.497602,1.608103,2.336514,2.780391,0.954862,3.017883,3.654247,1.828877,2.262939,3.538004,2.957449,4.286808,4.769517,2.72876,3.396376,2.166471,3.103279,0.461721,-0.083202,-0.196731,-0.303869,-0.487185,-0.327636,0.223404,0.880743,-1.730947,-1.43892,-1.320404,-0.037065,0.244445,-0.769657,-2.273113,-0.308261,-0.577272,-0.382051,-4.147844,-2.992916,-3.678752,-3.96462,-1.890163,-0.809333,1.42053,-1.923065,-2.759072,-4.228745,-0.970908,-2.180686,-2.312634,3.446149,-1.583659,-2.160283,-1.264495,-1.409399,-1.929507,-1.265176,-0.697802,-0.958725,-0.734611,-0.974196,-0.464564,-1.1344,-1.037508,-1.189802,-0.554405,-1.773824,-1.860438,0.124574,1.38517,-1.24802,-1.498169,-1.979014,-1.97603,-1.78307,0.113902,1.469732,-2.227496,-3.567403,-2.068514,-0.803579,0.442417,2.153308,-3.076335,-2.676733,-2.091818,0.553489,1.00284,-2.441341,-2.340886,-0.361431,1.072871,-0.939858,1.479598,1.564453,0.725387,-2.68438,-0.316364,1.211194,1.242122,1.751836,0.379655,-1.895018,-2.841633,-1.15623,0.156533,1.560489,0.157146,2.484323,-0.055881,-0.607106,0.691028,3.713326,0.261386,-0.536059,-1.341175,-3.813937,-1.793049,1.653954
1b_a3025,2.254126,3.741694,7.732725,7.566727,6.804228,6.360393,5.895353,8.908897,6.309575,6.396269,5.786777,5.253769,4.880823,6.969913,5.822445,6.247467,7.426279,6.202604,5.142895,3.309978,7.468537,5.020394,3.602696,2.982415,4.916218,2.644699,1.638907,0.449579,1.903482,2.648327,2.164391,1.638149,0.705642,-0.518106,-0.33387,1.113801,0.910735,0.667113,1.146702,2.521569,-0.59776,-0.311611,0.068103,-0.173059,-2.007328,-2.124605,-1.565413,-2.081707,-1.621791,-1.684858,-1.606994,-0.757841,-0.97155,-0.283963,-1.240816,-2.984097,-5.054595,-4.009932,-2.42889,-1.696543,-0.635377,-1.940656,-2.116411,-4.806284,-5.017065,-4.326992,-4.088871,-4.495702,-4.785814,-3.750503,-3.445334,-3.693582,-2.670345,-2.966984,-1.861145,-1.878641,-1.906926,-1.555045,-1.523176,1.374985,-4.237497,-4.746762,-5.142694,-5.382052,-4.4521,-2.242332,-0.005127,-6.384941,-7.508584,-6.737524,-4.938556,-3.337023,-1.479185,-6.284936,-8.553912,-5.80753,-3.305552,-1.829226,-6.122233,-7.093556,-5.829509,-1.629051,-0.485012,1.080893,1.48945,5.603312,-5.067549,-1.733281,0.453136,0.582431,1.732251,6.575972,-2.484347,0.662569,-0.178107,0.377673,1.697539,6.977509,-0.672719,0.519607,0.505521,0.899567,1.882839,7.255171,0.095167,-0.481852,-0.018413,0.737223,1.964132
