File,EEG 1-bc_avg_c,EEG 2-bc_avg_c,EEG 3-bc_avg_c,EEG 4-bc_avg_c,EEG 5-bc_avg_c,EEG 6-bc_avg_c,EEG 7-bc_avg_c,EEG 8-bc_avg_c,EEG 9-bc_avg_c,EEG 10-bc_avg_c,EEG 11-bc_avg_c,EEG 12-bc_avg_c,EEG 13-bc_avg_c,EEG 14-bc_avg_c,EEG 15-bc_avg_c,EEG 16-bc_avg_c,EEG 17-bc_avg_c,EEG 18-bc_avg_c,EEG 19-bc_avg_c,EEG 20-bc_avg_c,EEG 21-bc_avg_c,EEG 22-bc_avg_c,EEG 23-bc_avg_c,EEG 24-bc_avg_c,EEG 25-bc_avg_c,EEG 26-bc_avg_c,EEG 27-bc_avg_c,EEG 28-bc_avg_c,EEG 29-bc_avg_c,EEG 30-bc_avg_c,EEG 31-bc_avg_c,EEG 32-bc_avg_c,EEG 33-bc_avg_c,EEG 34-bc_avg_c,EEG 35-bc_avg_c,EEG 36-bc_avg_c,EEG 37-bc_avg_c,EEG 38-bc_avg_c,EEG 39-bc_avg_c,EEG 40-bc_avg_c,EEG 41-bc_avg_c,EEG 42-bc_avg_c,EEG 43-bc_avg_c,EEG 44-bc_avg_c,EEG 45-bc_avg_c,EEG 46-bc_avg_c,EEG 47-bc_avg_c,EEG 48-bc_avg_c,EEG 49-bc_avg_c,EEG 50-bc_avg_c,EEG 51-bc_avg_c,EEG 52-bc_avg_c,EEG 53-bc_avg_c,EEG 54-bc_avg_c,EEG 55-bc_avg_c,EEG 56-bc_avg_c,EEG 57-bc_avg_c,EEG 58-bc_avg_c,EEG 59-bc_avg_c,EEG 60-bc_avg_c,EEG 61-bc_avg_c,EEG 62-bc_avg_c,EEG 63-bc_avg_c,EEG 64-bc_avg_c,EEG 65-bc_avg_c,EEG 66-bc_avg_c,EEG 67-bc_avg_c,EEG 68-bc_avg_c,EEG 69-bc_avg_c,EEG 70-bc_avg_c,EEG 71-bc_avg_c,EEG 72-bc_avg_c,EEG 73-bc_avg_c,EEG 74-bc_avg_c,EEG 75-bc_avg_c,EEG 76-bc_avg_c,EEG 77-bc_avg_c,EEG 78-bc_avg_c,EEG 79-bc_avg_c,EEG 80-bc_avg_c,EEG 81-bc_avg_c,EEG 82-bc_avg_c,EEG 83-bc_avg_c,EEG 84-bc_avg_c,EEG 85-bc_avg_c,EEG 86-bc_avg_c,EEG 87-bc_avg_c,EEG 88-bc_avg_c,EEG 89-bc_avg_c,EEG 90-bc_avg_c,EEG 91-bc_avg_c,EEG 92-bc_avg_c,EEG 93-bc_avg_c,EEG 94-bc_avg_c,EEG 95-bc_avg_c,EEG 96-bc_avg_c,EEG 97-bc_avg_c,EEG 98-bc_avg_c,EEG 99-bc_avg_c,EEG 100-bc_avg_c,EEG 101-bc_avg_c,EEG 102-bc_avg_c,EEG 103-bc_avg_c,EEG 104-bc_avg_c,EEG 105-bc_avg_c,EEG 106-bc_avg_c,EEG 107-bc_avg_c,EEG 108-bc_avg_c,EEG 109-bc_avg_c,EEG 110-bc_avg_c,EEG 111-bc_avg_c,EEG 112-bc_avg_c,EEG 113-bc_avg_c,EEG 114-bc_avg_c,EEG 115-bc_avg_c,EEG 116-bc_avg_c,EEG 117-bc_avg_c,EEG 118-bc_avg_c,EEG 119-bc_avg_c,EEG 120-bc_avg_c,EEG 121-bc_avg_c,EEG 122-bc_avg_c,EEG 123-bc_avg_c,EEG 124-bc_avg_c,EEG 125-bc_avg_c,EEG 126-bc_avg_c,EEG 127-bc_avg_c,EEG 128-bc_avg_c,Cz-bc_avg_c
1b_a3001,-0.338438,-0.888442,-3.106085,-3.628639,-4.325819,-4.369369,-3.198977,-0.154484,-1.092169,-3.841723,-3.314446,-3.861257,-1.603593,-0.667963,-0.903405,-2.973092,-0.915727,-1.661462,-2.971135,-0.667273,-0.602728,0.410793,-0.988678,-0.206781,0.241555,-0.308002,0.024646,-0.028828,-0.209333,-1.494379,-0.396446,0.547775,0.254484,0.077854,-0.500091,-1.249321,-0.751128,0.658088,0.261378,0.159812,0.579599,0.224197,0.477106,1.071378,0.888438,0.659317,0.659716,0.932897,3.375675,1.391484,1.656999,1.441013,1.460247,0.46372,0.158125,1.152385,1.321069,1.605731,1.457447,1.333006,1.182842,1.866843,1.600926,1.983536,2.004279,2.644109,2.269271,1.708393,2.185537,2.080921,2.509581,2.299771,2.424771,2.400054,2.117639,2.373715,1.669107,1.545449,-0.256504,-2.055894,1.780715,1.979426,2.260238,2.01544,1.949622,-0.312133,-1.824905,1.904948,2.364192,2.351307,2.410364,0.525307,-1.141892,2.828309,2.262106,2.413997,0.554657,-0.930225,2.410756,0.870411,0.62024,-0.528914,-2.070521,-2.779784,-2.256978,-3.365025,0.369058,-0.165776,-1.578136,-2.238905,-1.915941,-3.148187,0.997357,-0.079145,-0.467514,-1.274197,-2.340406,-3.737255,0.040861,-0.035029,-0.272641,-1.083467,-2.272738,-3.895486,-0.165266,-0.432687,0.3577,1.000096,-2.235021
1b_a3009,2.697102,4.401886,4.920979,4.418774,3.203955,4.370587,3.883851,5.686847,6.461911,7.40028,6.069801,5.080345,3.283988,7.454725,5.793193,6.509674,7.096981,8.480456,4.894949,3.530447,7.627057,8.080132,5.466764,3.700703,7.515444,6.047125,2.366139,1.770216,1.473828,1.100158,1.707476,2.657807,1.404909,1.021401,0.651249,0.869891,2.359771,1.018237,0.575537,0.462274,0.155421,-0.506568,0.401318,0.801516,-0.681384,-0.511916,-0.658609,-2.690515,-2.659586,-1.905741,-1.840792,-1.868263,-0.5357,-0.827856,-0.149974,-0.727022,-1.970378,-3.61914,-3.853111,-1.596264,0.125813,-0.96983,-11.170369,-5.442633,-4.165037,-3.60842,-1.881545,-2.733514,-2.95932,0.121954,-2.792313,-2.019028,-3.948843,-3.354625,-4.310582,-4.275957,-3.846592,-3.200703,-1.383613,0.458807,-5.405081,-5.043857,-7.760581,-4.829685,-3.266648,-3.127882,-0.598468,-10.03321,-6.739639,-5.981328,-4.811689,-3.58024,-1.365994,-6.400606,-6.549046,-5.608171,-3.175664,-1.835957,-3.74751,-3.5255,-2.801413,-1.498667,-1.224515,-0.473424,0.707962,2.324958,0.52777,-0.58781,0.18805,0.222927,1.320157,2.876991,-0.508012,0.31659,1.681638,1.400893,1.752761,2.1063,-0.773293,-0.210877,0.262637,1.773796,2.50235,2.073045,0.160794,0.024248,-0.192852,0.819261,1.698551
1b_a3010,1.215347,3.348765,2.79947,2.847229,2.676306,2.261406,1.896627,2.070265,2.155484,2.812076,2.162252,2.297528,1.551763,1.629201,1.385255,1.903444,0.499048,1.242857,1.51987,1.180005,1.066807,0.990708,0.861958,1.176019,0.193067,-0.345018,0.870422,0.884899,0.587254,0.535238,1.65297,-1.324435,-0.637094,0.173803,0.507054,0.63088,0.837512,-1.447156,-1.616078,-1.175155,-1.023551,-1.348689,-0.478489,-2.875894,-2.424744,-1.452467,-1.550165,-1.903043,-1.881368,-3.400439,-3.257503,-3.389657,-0.723916,0.862854,1.578418,-2.427899,-2.568046,-5.299024,-9.012519,-4.062097,-1.318904,2.033922,-1.881084,-3.468701,-6.814424,-7.699454,-1.820316,-2.612811,-3.607541,-2.270644,-2.457703,-1.176468,-4.418741,-2.248963,-1.429317,-0.777641,-1.010958,-0.141043,2.377062,2.286702,-1.340881,-1.743284,-0.912455,-1.053181,-0.359722,0.687163,2.304067,-1.640551,-1.956235,-1.329093,-0.331112,1.454248,2.835908,-0.668817,0.578043,0.96216,1.199061,2.239334,0.287356,-2.230931,1.242315,2.054476,2.562537,3.075923,2.616156,2.534249,-2.213145,0.559756,2.660037,3.301633,2.616806,2.987855,-0.52334,0.742576,0.733296,3.106475,2.741261,2.847547,-3.013747,-0.230999,0.112161,2.300007,3.363831,2.845475,0.130646,1.702163,0.091632,-1.292047,2.580799
1b_a3011,-1.138271,0.535147,2.197708,2.621397,2.663786,3.519465,3.061927,2.186071,2.603006,2.802711,3.043316,3.242994,2.613357,2.930588,3.297698,4.11056,2.482332,2.914687,3.405678,3.285763,3.989704,4.876485,3.548523,3.031449,3.27348,4.865198,3.183936,2.211529,1.99545,2.325722,2.379403,1.899699,2.703779,2.088166,1.668015,1.54049,1.039016,1.89206,1.433404,0.659965,0.142242,1.101879,0.560243,1.139562,-0.567755,-1.000922,2.673984,-1.706136,-0.601277,-1.103214,-1.0741,0.239881,1.042044,1.64937,2.428634,-3.756238,0.096669,-4.163216,-0.916042,-0.481409,1.220172,-0.198414,-2.424813,-4.297498,-6.167086,-4.12487,-1.658153,-3.786369,-4.254823,-5.093038,-2.285736,-0.436274,-3.270204,-3.614074,-2.710911,-1.808448,1.622702,-0.758074,2.012701,2.3552,-2.759017,-2.046442,-2.929623,-2.327587,-0.631038,-0.912422,2.079938,-2.734873,-3.845923,-4.453347,-3.692863,-1.217957,-0.402881,-5.310904,-3.419633,-4.102372,-1.738958,-0.703032,-3.296109,-1.995099,-2.097352,-0.89287,-0.422386,0.877777,1.681377,2.136142,-2.261384,-1.516404,0.262182,0.821881,1.758655,1.567245,-5.175658,-2.168388,-0.723431,0.605641,0.787087,2.916631,-1.135839,-1.764217,-1.836739,-0.866807,0.747944,1.984779,-3.243064,-1.869404,-2.908751,-1.896247,2.060158
1b_a3012,-0.546586,0.743241,1.089428,0.7845,0.977535,1.224537,1.793973,0.171604,0.636419,1.160285,-0.006102,0.144695,1.151274,-0.132832,-0.055942,-0.569557,-0.27266,-0.298408,0.74492,0.62214,-0.098048,0.505196,0.095639,0.558221,0.306189,1.108634,0.65916,-0.840029,0.729703,1.076504,1.986243,-0.218864,0.014201,0.787547,-0.864009,0.829114,1.929279,-0.58345,0.407257,2.043613,0.007302,1.219193,-1.15551,-2.030802,0.47889,2.424344,0.820315,-2.766886,-1.857642,0.396219,1.427354,1.291798,2.320474,2.541864,2.316812,-2.004454,-2.170288,-0.76202,1.123716,1.414103,2.553247,3.326331,-2.138346,-2.156017,-1.621144,-0.566833,1.378563,-1.72479,-2.577727,-3.267133,-2.045354,0.535025,-1.494653,-2.685143,-3.561794,-1.443991,1.339237,3.553105,2.737677,2.547347,-1.637274,-3.034636,-3.825634,1.617055,2.236586,3.0407,2.108123,-3.202666,-4.702639,-4.172582,-1.222064,1.869796,2.077238,-3.684582,-4.12985,-4.127496,-0.686134,0.91033,-3.776246,-3.898568,-3.144618,0.04027,1.317587,2.121615,1.474757,2.321831,-3.268441,-1.546147,1.310629,2.085817,0.775699,1.637563,2.315251,-2.279957,-0.428907,3.00924,0.238094,0.867243,-1.484672,-0.403669,-0.468922,1.390164,1.918762,0.56426,2.315251,-1.892277,-1.352319,-1.02576,2.315251
1b_a3017,1.194131,2.262391,3.483683,7.828491,2.205717,1.862056,-1.461247,6.234741,5.693305,4.398053,4.134383,7.066158,-0.601588,7.643016,5.575043,5.173579,7.199648,4.896831,-0.466086,-0.913512,6.618068,4.904722,2.988698,2.408841,4.188861,0.938512,1.857303,-1.877283,-2.95394,-0.862953,0.256859,-0.608551,-2.833565,-2.708054,-0.499441,1.631409,1.135697,-3.116066,0.969043,0.422172,0.065956,0.186741,-2.114368,-1.583077,-0.751742,0.056797,-0.186137,-3.515405,-3.117414,-3.789948,-2.331022,-1.236164,-2.707698,-1.995119,1.854154,-3.897577,-4.117826,-6.567207,-5.42521,-1.960647,-0.5831,-0.036355,-5.11393,-5.149797,-8.076785,-5.084153,-1.696502,-4.15026,-4.333209,-2.352125,-0.71584,0.362519,-2.238806,-1.089672,-0.226622,-1.737165,1.289685,1.37429,2.047156,1.116167,-0.178316,-1.614726,-0.246419,1.367496,1.764078,1.740878,2.217604,-1.885244,-0.160184,1.371248,1.852808,1.936056,0.335069,-1.88841,-4.444067,1.705202,1.032954,1.34039,-3.435089,-0.551992,-7.67754,-0.151581,0.527356,0.53043,0.840108,1.806822,-3.970397,-0.720338,0.942899,0.394875,1.867643,1.88257,-4.792829,-2.400763,-0.710669,2.34412,1.746971,6.539252,-6.082672,-3.79148,-1.283409,1.321834,2.095596,2.063976,-1.878558,-3.421068,-0.570912,1.208728,2.337991
1b_a3018,3.970136,4.038217,4.453033,2.595724,3.004376,2.184912,1.368298,6.625905,3.14778,2.257692,3.379135,2.949383,1.003107,5.0351,3.888522,3.936848,3.831524,3.209443,2.671185,0.789369,4.99676,3.307163,2.793233,1.035529,3.743988,2.52294,1.113773,1.7047,2.074316,2.199071,0.570321,2.607085,1.630613,1.626034,1.575746,1.734647,0.189406,3.674958,1.202241,1.296867,0.763524,0.192501,-0.525455,2.041102,-0.991776,-0.458846,-0.611572,-0.069108,-1.079059,-3.168673,-3.91075,-2.333465,-1.293644,-1.215584,0.437327,-3.64754,-2.029816,-5.810561,-5.253465,-3.040473,-4.09958,-5.197238,-4.572388,-3.836977,-6.383654,-4.311299,-5.866244,-2.841389,-3.274231,-5.130048,-4.877743,-4.722667,-4.602545,-4.949193,-5.485903,-4.811223,-5.110754,0.326546,0.861348,0.531678,-4.530563,-4.710601,-5.614274,-5.23198,-1.384843,1.018842,1.446088,-4.117978,-4.644024,-5.581018,-3.140085,-1.333171,1.205668,-4.71452,-2.993421,-2.977664,-2.22703,1.046645,-2.539508,0.219206,0.124347,1.189809,1.633572,2.421023,1.644686,1.27116,1.301522,1.246806,1.625813,1.926971,2.002947,1.917395,1.420111,2.598557,1.76555,2.18642,2.065205,3.420613,0.772797,2.371956,2.615072,2.81329,3.281245,3.608267,1.517741,1.895155,1.846379,1.24929,1.490292
1b_a3019,-2.96763,-3.422202,-3.825804,-2.359534,-2.161739,-0.490184,-2.990483,-5.721403,-4.635732,-3.43248,-4.54019,0.635501,-4.690259,-8.075996,-5.20298,-4.776642,-8.09454,-1.644532,-1.709889,0.46576,-7.210474,-3.786906,-0.61013,0.416372,-0.129915,-0.278956,1.118908,0.752358,-4.341655,-2.57752,-1.942245,-2.192605,-0.450982,0.998236,-2.804318,-3.140989,-0.565039,3.199879,-0.096935,-3.252107,-1.878493,1.029042,-0.237168,-0.942972,0.328641,0.572794,2.875502,-1.404859,-1.27668,-1.03011,0.194335,2.669621,1.6064,3.076702,1.707784,-2.868186,-0.978962,8.156309,4.769036,1.389329,0.36485,-0.095265,4.767946,3.299356,3.154936,2.335979,4.582131,5.813917,4.838524,4.071739,3.267105,0.003785,1.824812,3.283814,2.909567,-0.25664,-2.289782,0.49894,1.2155,2.569737,-0.746654,2.083363,-0.827437,0.157743,0.221873,1.349676,2.214277,0.63946,-1.83355,-0.478376,0.520072,0.990432,2.052402,-1.456271,-0.21862,0.650481,1.095915,2.204581,-0.164756,1.197863,1.099609,1.823977,3.018602,2.630889,2.307058,2.486253,1.311435,1.906415,2.440301,2.074263,2.348163,2.145187,1.387511,0.436443,0.7021,2.569951,0.480133,0.489922,1.483092,0.428913,-1.204035,-2.50879,0.484884,-1.767038,-2.777805,-0.735702,-0.979391,-2.840778,1.722933
1b_a3020,3.433878,4.948441,6.52371,6.707607,6.819926,6.859531,0.136172,5.972773,6.98553,6.794279,7.490888,5.851973,5.765582,6.154438,6.23894,6.710324,4.850782,6.517175,6.90954,4.108389,5.772789,7.239742,6.559837,7.19627,8.800165,5.360068,6.11255,4.362156,5.454955,1.905177,1.80924,2.362664,2.231744,2.005826,0.441351,1.347152,2.348673,0.075641,-0.111334,-0.601298,0.976455,0.440308,0.565804,-1.105483,0.381796,0.300737,-0.011602,-4.064689,-3.283045,-5.610233,-5.835507,-3.011211,-1.7636,2.006016,-4.032701,-5.038144,-6.468938,-3.32459,-4.622932,-4.988839,-0.704694,-5.333673,-4.581983,-3.92082,-4.144621,-5.01244,-3.94144,-4.672081,-4.854449,-5.043763,-5.036556,-4.080092,-5.256523,-5.353987,-5.767848,-4.640285,-5.745573,-5.506799,-2.928074,3.197897,-5.61321,-5.769419,-7.092453,-6.619961,-5.422059,-2.703821,3.146628,-6.947906,-9.639974,-6.746576,-4.963013,-2.864417,2.413763,-8.600687,-8.148114,-7.952314,-3.232405,0.959483,-7.197722,-7.983583,-4.344279,0.731993,0.59755,3.43172,3.591814,3.736305,-8.423732,-0.600657,2.416135,3.703893,3.90351,3.507593,-1.239283,-1.054393,1.320619,2.98261,4.385693,3.524922,2.169259,1.440446,1.428128,3.114753,7.887259,3.750468,1.693829,0.772365,-2.285142,0.000077,4.199258
1b_a3025,0.989995,3.30231,7.591639,7.436794,6.463438,6.277837,5.869471,8.665989,5.625724,5.777936,5.136677,4.811982,4.528538,6.059224,4.522193,5.364281,6.098885,5.061713,4.457788,2.749703,6.169561,3.634681,2.288254,2.375483,3.835134,1.176971,-0.012462,-0.210407,2.188263,3.378224,3.679173,-0.664526,-1.083121,-1.27579,-0.508197,1.632723,2.425538,-1.347326,-1.075793,1.659269,-0.511172,0.343071,-1.697173,-2.257959,-4.556109,-3.313877,-2.045503,-3.628594,-3.152609,-4.347515,-3.120564,-1.018516,0.456988,1.992074,2.281867,-4.453531,-6.769359,-6.788934,-4.186461,-2.373921,1.182956,0.936184,-2.696662,-6.390102,-5.913029,-4.679346,-3.823606,-5.00846,-5.606608,-3.278105,-2.689856,-2.194028,-2.951827,-2.85044,0.490946,0.71384,1.016147,1.767193,1.814014,2.99506,-4.15877,-4.544353,-3.921253,-3.456825,-1.454671,1.449448,2.518049,-5.92553,-7.160651,-5.691577,-2.369595,0.151892,1.115128,-6.730413,-8.21447,-4.752199,-1.38294,0.951225,-6.128385,-7.04457,-5.459649,-0.23705,1.49319,2.590132,2.342486,5.711291,-4.774259,-2.170303,1.647288,1.89266,2.661315,6.781811,-4.263435,-0.92388,-0.84386,1.755214,2.536047,6.963715,-2.631323,-1.645639,-1.055572,0.182798,2.698547,7.196482,-1.628354,-2.4475,-2.133527,-1.53126,3.298852
