Early.word_1,Late.word_1,Early.symbol_1,Late.symbol_1,Early.word_2,Late.word_2,Early.symbol_2,Late.symbol_2,Early.word_3,Late.word_3,Early.symbol_3,Late.symbol_3,Early.word_4,Late.word_4,Early.symbol_4,Late.symbol_4,Early.word_5,Late.word_5,Early.symbol_5,Late.symbol_5,Early.word_6,Late.word_6,Early.symbol_6,Late.symbol_6,Early.word_7,Late.word_7,Early.symbol_7,Late.symbol_7
-2.614888,-1.381664,-0.235788,2.759365,-3.440511,-0.501542,-0.138858,4.010594,-0.24375,-2.244027,-0.762101,-2.455187,-4.251624,-1.092448,-3.713682,-2.843056,-1.154103,0.396018,0.141979,2.149578,1.983536,0.010632,1.585725,-0.526836,-0.730524,0.10046,0.926067,0.320926
-3.356863,-5.352144,-0.937575,-0.142879,-0.701889,-2.933479,0.560909,-0.352879,-8.889934,-5.396498,-8.627419,-2.180898,-2.512212,-1.64162,-3.199302,-0.26273,-3.311978,-4.135398,-1.612337,-2.437235,-5.442633,-7.703828,-5.753765,-5.873146,-1.024275,-2.425089,-0.055103,-2.427271
-2.100575,-6.135829,-1.94875,-3.838079,-3.502889,-3.142379,-4.766389,-4.837436,1.071608,-1.064551,1.328697,0.656986,-0.741295,-1.670969,0.054331,-0.47805,-1.273178,0.568886,-1.806241,0.954484,-3.468701,-3.968881,-1.263931,-4.406751,-4.148343,-7.835277,-2.924192,-8.497781
-3.759575,-6.11565,-1.227875,-2.0896,-2.4261,-3.712357,0.95971,-0.428611,-2.270346,-1.337248,-3.239534,-0.664445,-1.640022,0.11565,-2.035453,-2.506229,-3.426916,-3.030203,-2.821648,-3.071364,-4.297498,-2.949383,-3.798579,-8.606944,-1.113905,-0.791516,-2.208981,-2.752696
-4.786913,-1.637243,-2.949275,-0.455857,-2.832633,-1.564,-2.455756,-0.472978,-0.696929,-1.869539,-1.209137,-0.855612,-3.927965,-3.241801,-3.578715,-3.087731,-2.417119,-3.876146,-0.890092,-0.903647,-2.156017,-3.371719,-2.45439,-4.057044,-12.163961,-6.458275,-13.253,-10.656071
-3.955788,-5.423522,-1.834687,-1.771179,-3.591667,-3.350607,-2.388045,-0.676286,2.568534,0.061953,3.587075,0.307396,-0.689325,-0.760236,-1.154754,-3.820556,-1.604154,-4.001607,0.080632,-3.874409,-5.149797,-5.75106,-3.305081,0.761879,-2.008789,-10.46551,-2.666124,-12.40358
-4.184438,-4.432564,-0.734625,1.240529,-3.786,-5.16255,-5.182378,-3.788235,-0.474503,-4.069386,-0.014307,-3.396646,-6.390337,-4.524536,-7.301402,-6.791512,-3.46879,-2.79885,-0.925967,-2.106232,-3.836977,-1.849189,-3.085311,-4.198207,-4.85123,-9.376487,-3.793313,-9.711694
-5.467312,-5.670815,-7.048488,-3.782472,-1.734556,-4.485987,-1.113774,-3.5327,-7.628362,-5.925217,-5.819725,-3.041992,-4.198182,-4.35218,-1.025865,0.003712,-4.70367,-7.202952,-3.872293,-9.610948,3.299356,3.314612,1.254382,0.186981,-10.924329,-5.288739,-9.780719,-4.778546
-4.801825,-3.119565,-0.485325,-0.179014,-7.522534,-5.444664,-7.218378,-6.108622,-4.311912,-5.592791,-2.234593,-2.769472,-4.450746,-1.676292,-5.037038,-2.495855,-2.257156,-1.607966,-2.304897,-1.52885,-3.92082,-1.264495,-3.81721,-3.565613,-1.872362,-4.398629,-2.998559,-4.20082
-3.60265,-8.785065,-2.025913,-3.528572,-2.627156,-3.567729,-1.1422,-1.53275,-1.667532,0.904634,-1.015001,2.161696,-6.734413,-4.813464,-4.297328,-1.859994,-4.207508,-2.263256,-4.289443,-1.945999,-6.390102,-4.806284,-8.030494,-9.966461,-5.530236,-8.458295,-6.283756,-9.986745
-2.78765,-2.63355,0.4382,2.257093,-1.631611,-2.161071,-1.9375,-1.755283,-6.379583,-5.275851,-3.746021,-2.699567,-3.963511,-5.568964,-4.198995,-6.468806,-0.190859,-2.319442,-0.98237,-4.118962,-2.870008,-2.686449,-2.342897,-2.894768,0.213903,-2.140307,2.437497,-1.58835
-0.608362,-4.688601,2.743138,-1.767314,-3.509158,-5.549708,4.453993,0.699959,-2.309388,-4.24092,-2.173514,-3.678328,-5.808475,-6.062539,-5.617985,-6.097522,-3.239197,-3.343997,-1.634273,-2.632873,-3.213655,-3.237789,-2.957581,-4.276552,-0.565682,-2.162471,-0.284545,-1.296092
-2.02475,-4.107379,0.146775,-0.2239,1.588026,-0.280676,2.038509,0.465834,-1.45278,-0.413905,-0.949346,1.812211,-2.167271,-3.086301,0.097562,-1.497754,-6.508112,-5.894959,-5.041522,-3.292303,-4.708679,-3.981802,-5.426763,-8.686316,-4.472438,-3.134389,-3.09853,-9.262081
,,,,-3.195234,-2.584364,-2.452222,-1.151088,-4.933828,-4.056301,-5.854176,-3.768067,-4.322433,-6.087338,-2.0113,-5.359998,-10.065557,-5.088583,-9.023941,-5.525236,3.368743,5.01181,3.468019,-0.293611,-4.336422,-5.892222,-3.257996,-4.129315
,,,,-0.765897,-0.162298,-0.673167,-0.278335,-5.450689,-3.056557,-4.998618,-3.347047,-6.681248,-5.579343,-4.513008,-4.57361,-2.428267,-0.133198,-1.542297,-1.220026,-1.100076,-0.362117,-1.417306,-4.077,-3.079268,-1.814059,-2.61511,-1.046594
,,,,,,,,-3.595851,-2.14845,-1.919975,-1.161472,-2.373816,-1.940425,-1.726858,-0.497647,-7.070555,-7.158398,-5.799042,-5.923686,-9.043004,-5.586611,-1.483643,-5.883719,-4.889822,-4.295298,-3.6874,-6.913646
,,,,,,,,-6.727062,-2.70181,-4.856562,-1.234466,-3.657245,-3.356594,-3.341099,-2.63257,-3.646725,-5.846013,-4.922235,-9.241596,-8.486109,-4.795234,-6.567783,-6.540426,-7.687099,-7.224052,-5.766726,-5.066053
,,,,,,,,,,,,-8.733375,-7.663953,-3.899995,-3.516665,-7.007871,-2.895503,-7.97514,-6.125937,-4.326914,-4.772191,-5.483176,-5.844281,0.38709,-2.209688,0.195211,-2.016403
,,,,,,,,,,,,-5.31811,-3.75162,-4.748917,-2.95959,-3.787015,-2.772269,-3.763784,-2.899206,-4.454209,-5.224952,-1.61891,-4.557245,,,,
,,,,,,,,,,,,-3.010783,-4.565756,-1.302316,-1.697995,-14.886461,-6.820348,-12.730146,-6.2515,1.152617,0.91054,0.314147,-1.669842,,,,
,,,,,,,,,,,,-2.778918,-5.29034,-2.291161,-3.268674,,,,,-4.021646,-1.744502,-2.610287,-2.354386,,,,
,,,,,,,,,,,,-3.690426,-2.546952,-1.790795,-1.158988,,,,,-2.216284,0.276363,-1.641274,-0.440921,,,,
,,,,,,,,,,,,,,,,,,,,6.34039,3.744666,2.819673,-1.644163,,,,
,,,,,,,,,,,,,,,,,,,,-10.558459,-6.195075,-9.460435,-6.443959,,,,
,,,,,,,,,,,,,,,,,,,,-0.446533,-2.205418,-0.899254,-1.074324,,,,
,,,,,,,,,,,,,,,,,,,,-7.587554,-7.028635,-3.362757,-6.768882,,,,
,,,,,,,,,,,,,,,,,,,,-1.984349,-2.32719,-1.292754,-0.177472,,,,
,,,,,,,,,,,,,,,,,,,,-1.477109,0.326908,-2.053511,-0.370067,,,,
,,,,,,,,,,,,,,,,,,,,-3.331449,-2.025576,-0.472455,-1.746496,,,,
,,,,,,,,,,,,,,,,,,,,-7.345761,-3.60832,-4.089978,-3.177271,,,,
,,,,,,,,,,,,,,,,,,,,-5.15795,-7.461738,-8.11714,-8.847785,,,,
,,,,,,,,,,,,,,,,,,,,-1.640451,-3.622828,-3.266981,-5.55981,,,,
