File,EEG 1-bc_avg_k,EEG 2-bc_avg_k,EEG 3-bc_avg_k,EEG 4-bc_avg_k,EEG 5-bc_avg_k,EEG 6-bc_avg_k,EEG 7-bc_avg_k,EEG 8-bc_avg_k,EEG 9-bc_avg_k,EEG 10-bc_avg_k,EEG 11-bc_avg_k,EEG 12-bc_avg_k,EEG 13-bc_avg_k,EEG 14-bc_avg_k,EEG 15-bc_avg_k,EEG 16-bc_avg_k,EEG 17-bc_avg_k,EEG 18-bc_avg_k,EEG 19-bc_avg_k,EEG 20-bc_avg_k,EEG 21-bc_avg_k,EEG 22-bc_avg_k,EEG 23-bc_avg_k,EEG 24-bc_avg_k,EEG 25-bc_avg_k,EEG 26-bc_avg_k,EEG 27-bc_avg_k,EEG 28-bc_avg_k,EEG 29-bc_avg_k,EEG 30-bc_avg_k,EEG 31-bc_avg_k,EEG 32-bc_avg_k,EEG 33-bc_avg_k,EEG 34-bc_avg_k,EEG 35-bc_avg_k,EEG 36-bc_avg_k,EEG 37-bc_avg_k,EEG 38-bc_avg_k,EEG 39-bc_avg_k,EEG 40-bc_avg_k,EEG 41-bc_avg_k,EEG 42-bc_avg_k,EEG 43-bc_avg_k,EEG 44-bc_avg_k,EEG 45-bc_avg_k,EEG 46-bc_avg_k,EEG 47-bc_avg_k,EEG 48-bc_avg_k,EEG 49-bc_avg_k,EEG 50-bc_avg_k,EEG 51-bc_avg_k,EEG 52-bc_avg_k,EEG 53-bc_avg_k,EEG 54-bc_avg_k,EEG 55-bc_avg_k,EEG 56-bc_avg_k,EEG 57-bc_avg_k,EEG 58-bc_avg_k,EEG 59-bc_avg_k,EEG 60-bc_avg_k,EEG 61-bc_avg_k,EEG 62-bc_avg_k,EEG 63-bc_avg_k,EEG 64-bc_avg_k,EEG 65-bc_avg_k,EEG 66-bc_avg_k,EEG 67-bc_avg_k,EEG 68-bc_avg_k,EEG 69-bc_avg_k,EEG 70-bc_avg_k,EEG 71-bc_avg_k,EEG 72-bc_avg_k,EEG 73-bc_avg_k,EEG 74-bc_avg_k,EEG 75-bc_avg_k,EEG 76-bc_avg_k,EEG 77-bc_avg_k,EEG 78-bc_avg_k,EEG 79-bc_avg_k,EEG 80-bc_avg_k,EEG 81-bc_avg_k,EEG 82-bc_avg_k,EEG 83-bc_avg_k,EEG 84-bc_avg_k,EEG 85-bc_avg_k,EEG 86-bc_avg_k,EEG 87-bc_avg_k,EEG 88-bc_avg_k,EEG 89-bc_avg_k,EEG 90-bc_avg_k,EEG 91-bc_avg_k,EEG 92-bc_avg_k,EEG 93-bc_avg_k,EEG 94-bc_avg_k,EEG 95-bc_avg_k,EEG 96-bc_avg_k,EEG 97-bc_avg_k,EEG 98-bc_avg_k,EEG 99-bc_avg_k,EEG 100-bc_avg_k,EEG 101-bc_avg_k,EEG 102-bc_avg_k,EEG 103-bc_avg_k,EEG 104-bc_avg_k,EEG 105-bc_avg_k,EEG 106-bc_avg_k,EEG 107-bc_avg_k,EEG 108-bc_avg_k,EEG 109-bc_avg_k,EEG 110-bc_avg_k,EEG 111-bc_avg_k,EEG 112-bc_avg_k,EEG 113-bc_avg_k,EEG 114-bc_avg_k,EEG 115-bc_avg_k,EEG 116-bc_avg_k,EEG 117-bc_avg_k,EEG 118-bc_avg_k,EEG 119-bc_avg_k,EEG 120-bc_avg_k,EEG 121-bc_avg_k,EEG 122-bc_avg_k,EEG 123-bc_avg_k,EEG 124-bc_avg_k,EEG 125-bc_avg_k,EEG 126-bc_avg_k,EEG 127-bc_avg_k,EEG 128-bc_avg_k,Cz-bc_avg_k
1b_a3001,-1.242213,-2.159041,-2.492354,-1.473739,-0.823348,0.009142,0.751543,-0.772902,-2.708237,-2.115064,-1.277579,-0.666117,0.371304,-1.209527,-1.870635,-2.110591,-0.150476,-1.392724,-0.952504,0.166111,-0.823436,-1.398179,-1.174168,0.342318,0.284099,0.03973,0.132062,0.613869,0.320855,0.668317,0.542634,0.573362,0.419609,0.36429,1.051014,1.367758,1.833347,0.881755,0.376259,0.380997,0.607338,1.530959,0.910355,1.83978,0.515147,0.706141,0.928878,0.587123,-1.078411,0.220079,0.676359,1.057687,1.347335,1.258247,0.523959,0.096001,-0.040477,0.085471,0.685182,0.87812,1.130266,0.522035,-0.48148,-0.526836,-0.105384,0.837086,0.671451,-0.511918,-0.555798,-0.901739,-0.262587,-0.139577,-0.03619,0.058158,-0.782073,-1.202861,-0.291325,0.213193,1.380642,1.310513,-0.535899,-1.095118,-1.090686,-0.585937,2.048187,2.002966,0.701451,-0.824439,-1.111342,-0.776794,0.291083,1.000257,1.774802,-1.070593,-1.049261,0.162267,0.684226,0.931539,0.026142,0.478971,0.213216,0.575315,1.122317,1.592866,0.916784,0.776594,0.154877,0.415597,-0.325886,0.747274,-0.146715,-1.056205,1.270946,-0.506391,0.038443,-0.065924,-0.678577,-0.749179,-0.774381,-0.431206,-0.610034,-0.888953,-1.807844,-1.350085,-0.6688,-0.473445,0.730592,0.668243,1.010351
1b_a3009,3.259033,3.104239,3.066148,2.79076,2.913248,4.109929,4.045017,5.071544,5.311345,5.410303,4.851638,4.720722,4.353012,6.102851,5.383938,4.068663,4.454678,3.631215,3.023288,2.091274,6.430038,4.145213,3.096919,2.081817,5.23058,3.233868,1.053036,0.721966,0.388197,0.987524,3.344767,0.864703,0.489178,0.335761,0.039211,-0.613783,-1.682319,0.317998,-0.63199,-0.259851,0.363383,-0.214988,-0.462989,-0.264761,-1.298757,-0.51987,-0.08192,-1.375603,-1.870937,-2.88819,-1.574733,-1.491266,3.030939,4.781424,0.938756,-3.216579,-4.309457,-3.308446,-1.4884,0.464555,3.172178,0.396305,-8.405348,-5.873146,-2.558503,-1.73062,0.840892,-4.438572,-4.122223,-1.99278,-1.280038,-1.013795,-3.324131,-3.379061,-3.071555,-3.138566,-3.030965,-2.015008,-0.700938,2.00191,-3.463706,-5.154956,-6.951187,-5.615643,-3.551063,-2.075583,1.536941,-6.991886,-8.497341,-8.490938,-5.784265,-3.498544,-0.065641,-9.049053,-8.905861,-7.172042,-2.3217,-0.401467,-4.08666,-3.535763,-2.58716,-0.002888,0.653842,1.205788,2.174633,4.858766,1.860009,0.650507,1.388016,1.831627,2.670711,3.633243,-1.405001,0.511573,2.469585,2.781854,2.979705,3.463537,-2.454163,0.299002,-0.096203,2.918671,3.139249,3.36957,0.014562,-2.423993,1.922409,1.853034,3.511998
1b_a3010,1.329273,1.815111,2.348008,2.453806,2.138946,1.879755,2.082111,1.691294,1.62764,1.516406,1.377525,2.056541,2.008908,1.339763,1.247987,1.353128,0.45788,1.303462,1.754767,1.344659,1.208497,1.212522,1.468093,1.329242,0.814449,0.830559,1.129645,1.07291,0.756388,1.39382,2.047598,-0.793327,0.498878,1.258265,2.305568,2.329589,2.605605,-1.166131,-0.886281,0.133898,0.022703,1.021702,-1.591039,-0.362339,-1.743261,-0.341088,-0.01861,-2.798216,-2.732656,-2.936987,-2.003275,-1.405543,0.544484,2.734165,1.69838,-4.269791,-3.635846,-4.188049,-4.696717,-1.277898,0.176459,4.814803,-4.799353,-4.406751,-6.087156,-4.194562,0.917887,-4.4281,-3.657155,-1.452374,-1.231977,0.79233,-3.729575,-2.632159,-1.716357,-1.123961,-1.075587,0.276054,3.187074,2.341565,-4.562438,-3.792113,-2.723161,-1.955228,-1.030585,-0.126162,2.299197,-2.848533,-3.181047,-2.535528,-1.199187,1.146731,3.072739,-1.950517,-0.588773,-0.195843,0.096674,1.916981,-4.183331,-3.692124,-0.039244,0.878767,1.573379,2.593472,2.725943,2.207301,-2.093329,-0.049963,2.078944,2.654943,2.179233,2.426819,-1.043536,0.058281,1.521356,2.749059,2.337336,2.357871,-1.838757,-0.228504,1.169333,2.423414,2.341814,2.33687,0.171155,-1.370404,-2.222618,-0.850182,2.315513
1b_a3011,-1.592251,1.139099,4.594825,4.981961,5.369933,5.22861,6.514551,1.598739,4.664598,4.57189,5.098106,5.955432,6.117682,3.30451,4.387894,5.186788,2.681385,5.362442,5.799892,4.640621,3.695474,6.126582,4.762754,4.498933,3.626136,4.500618,3.308383,3.63613,2.930543,3.296828,4.882769,2.495789,1.08631,2.187256,3.18909,3.367317,2.177935,-0.372398,0.164009,2.17943,1.518826,1.342994,-2.051775,-2.725033,-1.520951,-1.80603,0.314388,-0.612177,-2.854735,-2.37313,-0.80705,0.169688,1.332451,3.329825,5.207177,-3.069683,-4.275045,-6.986295,-2.835147,-0.463104,2.768499,-0.994732,-5.901988,-8.606944,-11.0288,-6.446697,-2.999457,-7.643562,-7.94529,-8.665714,-3.84491,-2.158949,-4.193675,-5.946993,-5.973148,-4.046558,0.169031,-1.510721,3.902957,5.078873,-8.036356,-7.76104,-5.347652,-3.898311,0.566664,0.051054,4.027177,-7.524578,-6.119886,-5.728826,-3.072,-0.23855,2.03371,-6.670688,-6.473192,-5.851792,-1.238504,1.048386,-5.623514,-3.772314,-2.766154,0.102369,1.838555,3.597491,4.855839,5.803621,-3.026711,-1.166504,1.434069,2.773433,4.715353,2.736008,-7.160358,-2.936392,0.407631,1.817549,2.259041,3.640489,-2.32063,-3.90186,-2.37789,-0.648484,2.968763,4.226896,-1.658327,-1.853748,-1.804701,-0.148329,6.03018
1b_a3012,-0.800694,0.649041,0.098631,1.338567,2.065301,2.621273,3.534844,0.124149,0.370148,1.301222,1.009614,1.68405,3.029772,0.238613,0.849537,0.88029,0.04248,0.635051,2.220868,2.626506,-0.581083,0.007718,0.476339,2.78512,-0.049495,0.491266,1.011034,3.209871,3.187542,3.313088,3.380374,0.227483,1.289637,1.444715,3.095692,3.596101,3.220376,0.006656,0.817389,1.457973,3.130625,3.392753,0.179035,-0.873553,-0.114341,1.569395,2.015439,-1.625467,-0.928944,-1.437847,0.262143,1.181559,3.041102,2.987163,3.453771,-2.11354,-2.378951,-2.264104,-2.819132,0.892038,2.62268,2.193172,-3.174531,-4.057044,-4.170261,-2.556654,-0.396767,-4.163158,-3.968705,-5.602263,-1.755106,-1.402152,-3.473838,-4.896269,-5.852043,-3.526679,0.716695,2.612486,3.285042,3.620172,-4.019546,-5.511939,-6.222569,-3.867105,1.252332,2.895104,3.551085,-4.573227,-5.991983,-5.917004,-2.613898,0.47881,2.127664,-4.689199,-5.641323,-5.82405,-1.897146,0.197561,-5.170509,-5.633495,-5.561016,-0.3414,1.625183,3.52996,3.147758,3.094199,-4.362253,-1.625743,0.932561,3.024949,3.940172,3.185684,4.394449,-1.048654,1.182964,1.333029,3.175912,2.642853,-3.384495,-0.844698,-0.530001,0.215455,0.589518,2.128397,4.394449,-1.729268,-0.895289,-0.049658,4.394449
1b_a3017,-0.003384,-0.857571,0.321002,8.006897,0.949569,2.816878,-4.149708,-4.452483,-3.127273,-1.964824,-0.852203,7.909324,-4.013111,-5.900699,-7.601357,-1.520962,-8.933992,-1.622067,2.145218,-2.140378,-7.273962,-2.561191,3.33523,-0.563142,-5.886958,-1.088318,10.209249,-2.958428,-3.165186,-2.355418,0.71985,0.200018,-4.691998,-0.126152,5.82155,3.931629,-8.939903,19.090752,-5.97438,4.664603,3.317637,3.839538,6.477226,2.662885,3.633076,3.627823,3.005884,8.899776,4.86884,-1.250354,5.384037,2.609997,-5.446174,-1.410998,4.284784,-1.654087,-3.328576,1.384004,1.382769,-3.50934,8.764924,-0.424414,0.203998,0.761879,-0.469036,-7.738005,4.011991,4.538987,-0.041527,-0.881146,-4.668,2.998781,-0.510723,-0.276,-0.535132,-4.935071,0.736229,-3.630411,0.959236,2.345622,-0.586474,1.937884,-2.301035,-1.839447,-0.046597,0.704401,1.251676,-2.529175,-2.124677,-1.716065,0.471243,0.155521,0.817952,0.541296,-8.148251,-2.119072,-1.145599,4.694604,-9.963997,-14.651884,22.564627,-1.503011,3.560395,1.537448,-2.283425,-1.232298,-12.263905,1.815175,1.021421,3.269569,7.372015,1.886454,-10.512304,-7.209585,-1.773385,7.395004,6.136438,6.758809,-6.242279,-6.854785,-3.384029,1.219062,3.672408,1.795213,-3.067421,-0.154517,8.481898,-3.552259,0.757302
1b_a3018,3.721145,4.208847,5.194845,3.595608,0.073491,1.653312,2.159318,6.270137,4.705203,3.939228,2.415532,2.026408,2.365949,6.280396,3.951516,4.906831,3.980181,2.376714,1.998152,1.801804,4.7586,3.057427,1.933831,1.796545,3.598287,2.224305,1.689577,1.712845,1.756385,1.729265,0.930278,3.211888,1.533854,2.186033,3.318524,2.587636,0.804713,1.844141,1.24597,0.960161,1.09599,0.46854,3.504844,-1.484616,-0.498557,0.008897,0.016343,0.733131,0.160034,-3.938283,-3.859056,-3.057558,-0.987481,-0.88572,0.074722,-1.314701,-3.543918,-5.995097,-5.246285,-3.99269,-3.541197,-4.498836,-4.597182,-4.198207,-6.064853,-5.122592,-6.15633,-6.341272,-5.524839,-5.795057,-6.612772,-3.712277,-5.33291,-5.358273,-5.125662,-4.003117,-4.032347,-1.619466,-0.060797,0.726675,-4.243211,-4.466355,-4.402605,-3.882933,-2.892257,-0.424549,1.098386,-4.094327,-3.900047,-4.305115,-3.284767,-1.920596,0.706708,-3.888495,-4.20998,-3.456797,-2.81148,0.051592,-2.671077,-0.228613,-1.581195,0.373252,1.712505,2.780442,3.211867,2.459455,0.162744,0.376523,1.680265,2.877563,2.909044,2.768673,0.747025,1.778527,1.750283,2.542162,3.339827,3.311237,0.562643,1.508782,2.49909,3.006744,3.419944,3.356461,2.180943,2.14897,2.608289,2.483623,1.458712
1b_a3019,-3.5562,-5.197901,-3.103534,-2.453527,-1.330382,-1.944111,-1.642938,-5.1948,-4.173216,-2.900515,-0.154961,0.159301,-4.045929,-4.879181,-3.458932,-1.601743,-4.693729,-2.241421,-0.936968,1.320544,-3.379504,-1.320418,-0.444677,1.674093,0.192853,1.879721,1.667116,1.328006,-6.315316,-4.049572,-2.781343,2.763584,0.945283,1.659793,-3.691284,-3.735158,-3.088873,1.228071,1.341753,-4.882797,-4.61202,-4.577601,1.157433,-0.521384,-4.63537,-4.591153,-3.711906,-0.072733,-1.067978,-2.340995,-2.076612,-2.558626,-0.694573,0.504423,2.274944,-2.511867,-1.464217,3.946028,3.309162,3.539998,2.564675,6.280952,0.148185,0.186981,3.266596,3.734448,2.221558,10.369625,7.027789,3.986182,3.213297,6.867788,4.255486,3.460512,3.517965,5.603534,5.56905,0.714822,0.095643,0.920643,-2.087943,2.564421,5.731435,2.664829,0.203134,0.355313,0.694971,3.103302,2.66914,1.969337,1.126502,-0.456358,0.182662,4.913691,1.939798,0.964696,0.298975,0.819066,2.150094,0.282651,0.345414,-0.600675,-0.281771,-0.260323,-0.224288,0.668602,0.201827,-0.89379,-1.369233,-0.488305,-1.051744,0.164664,0.976779,-0.800542,0.396776,-0.22125,-0.369122,-0.736673,1.416533,0.66319,-2.31871,-3.523452,-0.507159,-1.66547,-1.383227,-0.938175,-0.516438,0.203961,0.761013
1b_a3020,-1.348605,1.572898,5.099244,5.895389,5.893949,6.21268,-0.46686,3.496418,5.55277,5.765749,6.219469,6.542275,7.078198,6.758679,5.593302,5.442161,4.939075,7.065399,6.867411,5.958086,6.151723,7.370589,6.920079,6.325294,11.639525,4.045141,5.703762,4.90024,4.752314,0.288851,3.053652,0.31589,1.278772,2.458177,1.192061,1.282102,4.619283,-2.483304,-0.477724,0.134914,1.416132,3.041635,-5.317539,-2.774032,0.519619,1.289244,2.594064,-7.40863,-5.246806,-0.210482,-0.583109,0.398688,0.912667,3.121792,-1.817372,-2.484699,-1.97133,-2.487021,-2.195727,-1.900693,-3.971682,-4.608361,-3.483012,-3.565613,-3.730353,-4.05855,-2.913555,-5.509733,-5.267681,-5.101318,-4.716619,-2.421655,-5.13528,-5.02738,-5.181552,-4.075294,-3.333372,-3.275034,-0.526908,2.988875,-3.614573,-3.826938,-4.58623,-4.237527,-3.201509,-0.46131,3.321864,-5.065367,-6.989474,-4.254899,-1.694611,-1.133449,2.198791,-6.157222,-5.719372,-3.947425,-1.267754,0.02567,-5.016584,-5.727969,-3.477422,-0.879021,-0.315942,2.807343,2.756448,4.046947,-5.267429,-4.356304,0.075991,1.902961,2.987113,3.95719,-6.110337,-6.117067,-0.869153,0.857985,2.18749,3.793861,-4.531653,-3.817199,-3.173004,-0.247115,2.320206,3.939975,-3.139944,-2.560222,-3.583255,-2.224675,4.800764
1b_a3025,0.806353,4.394787,8.882255,8.842487,7.545314,7.676869,7.358236,10.364111,7.110992,7.065649,6.571707,6.166009,5.771733,7.733726,6.835035,7.200124,8.779806,7.524598,6.325171,4.433296,9.67931,6.030692,4.567098,4.346286,7.848161,4.151823,3.167411,1.670065,3.327098,4.295804,4.76792,2.554474,1.369116,0.816565,0.678988,1.940503,2.63237,0.002633,-0.620967,0.337895,-0.274144,-0.219156,-2.821808,-2.589003,-3.843479,-2.699949,-0.918279,-4.06008,-4.908954,-5.686145,-2.955598,0.32837,0.201217,1.299631,0.313724,-6.737052,-7.319089,-6.224391,-4.090923,-2.600269,0.252871,-1.490681,-7.759941,-9.966461,-7.767648,-6.6078,-4.946047,-6.148969,-5.497306,-4.193555,-3.780084,-2.556129,-5.060549,-3.931798,-1.151546,-0.946167,-0.598138,0.251855,-0.271458,1.521752,-4.908486,-6.100535,-5.050467,-4.522614,-3.35137,-1.857113,0.749505,-4.522977,-5.90021,-6.339257,-4.099767,-2.211384,-1.229641,-8.719205,-8.349171,-5.668659,-2.888984,-1.456714,-7.542203,-6.210719,-4.486448,-1.321328,-0.061491,0.966855,1.879383,6.869643,-6.854486,-2.343465,-0.141101,0.829679,1.94682,7.952843,-3.129927,-1.945067,-1.88051,-0.349532,2.031867,8.126123,0.488673,-1.309476,-1.457855,0.56877,2.064499,8.448094,-1.527687,-2.050772,-0.378565,0.247972,2.498143
