File,Fp1,Fp2,F3,F4,C3,C4,P3,P4,O1,O2,FT9,FT10,F7,F8,T7,T8,P7,P8,Fz,Pz,Cz,Oz,LE,RE,TP9,TP10,PO9,PO10,FC5,FC6,CP5,CP6,FC1,FC2,C1,C2,CP1,CP2,PO1,PO2,AF1,AF2,Fpz
pv016k_Rms_s,-2.955686,-1.652671,-2.01455,-0.590786,-0.955179,-0.308021,0.686379,2.259536,2.52975,6.140435,-3.641679,-1.045843,-3.407557,-2.329643,-2.796029,-1.67995,1.587036,3.689807,-0.5718,0.771021,0.521879,2.699343,-2.340236,-1.249007,1.486429,1.536843,2.759365,4.206129,-2.824993,-1.250007,-1.126929,0.357171,0.051207,0.315836,0.501429,0.704671,0.346664,0.55535,1.307429,2.158579,-2.045958,-0.128743,-2.140286
pv019k_Rms_s,-1.107529,-2.064157,-1.46625,-3.102221,0.973064,1.464072,0.235743,3.723757,-0.492471,3.40075,-1.010829,-1.170243,-1.391657,-2.208522,-2.764107,-1.958822,-2.588907,1.101636,-1.889079,3.048643,3.043143,0.540821,-0.252921,-0.251314,-0.991579,0.489814,-0.142879,1.532393,-1.306014,-1.830293,-1.770729,0.650729,1.336364,0.443821,2.206807,2.777872,2.172621,3.532714,1.273436,3.412843,-2.392536,-3.1421,-2.041621
pv020k_Rms_s,3.0046,1.429857,2.863343,0.706528,1.607707,0.98555,-1.0244,-2.802307,-5.046957,-4.683407,1.85235,1.1692,2.213936,1.264993,1.2983,1.67305,-2.345757,-1.833636,1.778221,-2.292107,1.784714,-6.298093,1.616893,1.355607,-0.899879,-0.209136,-3.838079,-3.216543,2.413236,1.832414,0.538343,0.046993,2.804036,2.154707,1.738128,1.324543,0.102707,-0.494879,-5.458372,-4.381958,2.571443,1.059271,1.558486
pv043k_Rms_s,1.9906,2.42735,0.920493,1.465443,0.557707,0.321114,-1.050457,-0.024243,-2.412557,-1.599879,-0.911036,0.07835,1.016928,0.789214,-1.388643,-1.321157,-2.725272,-3.215965,1.713657,-0.127421,2.124815,-0.397364,1.390164,1.180264,-2.152614,-3.112636,-2.0896,-3.123293,-0.110964,0.235079,-1.639079,-1.743986,1.9318,2.602,1.107743,1.460043,0.464529,0.4005,-1.265978,0.082764,2.100779,1.916229,2.098864
pv049k_Rms_s,1.531814,2.556722,0.989836,1.66915,-0.032993,-0.607793,-0.029357,-1.41215,-0.26765,-2.37435,0.680114,0.356357,0.668436,1.952579,-0.544429,-1.034307,-1.013879,-2.148664,1.240736,-0.655671,-0.023964,-1.337364,0.635386,1.510307,-0.118079,-1.524257,-0.455857,-1.368293,0.452714,-0.080329,-0.271893,-1.729786,0.719229,1.075657,0.017693,-0.070843,-0.421964,-0.483036,0.104421,-2.471936,1.399757,1.897607,1.044964
pv050k_Rms_s,3.598279,4.580736,2.529064,3.647879,-0.67385,-1.88275,-2.764657,-3.418715,-2.24925,-2.645664,0.930364,1.164307,2.335965,2.740671,-0.776328,-0.646971,-3.437621,-4.480386,3.28055,-1.813622,-0.100793,-0.632357,2.638829,3.071872,-1.2953,-1.395693,-1.771179,-0.883879,0.968764,0.646029,-2.490371,-3.51605,1.968871,2.154436,-0.230757,-0.838036,-1.932586,-3.303343,-1.945471,-1.882257,3.560186,3.655657,3.5404
pv051k_Rms_s,2.734122,3.603308,1.422379,1.565964,-0.446421,-1.223736,-0.828229,-3.82785,-0.16055,-4.907672,2.222064,1.848829,2.051243,2.545357,0.496386,-0.327457,-0.201886,-4.668207,0.935207,-0.850171,-1.748657,-0.542864,2.654936,3.110286,1.109036,-1.511043,1.240529,-1.657857,0.610729,0.321229,-0.639529,-2.52665,0.285307,0.138736,-1.306029,-1.436507,-1.175929,-2.486936,-0.080179,-2.186914,1.569429,1.974907,2.179622
pv052k_Rms_s,2.463271,3.3365,2.172265,3.140386,1.613171,1.811864,-2.2046,-2.002679,-6.99278,-4.909228,0.90705,1.29285,1.309671,2.250743,-0.943129,0.898886,-4.032379,-2.024315,2.823293,-1.564571,2.266171,-5.718851,1.375836,1.957615,-1.94925,-1.667557,-3.782472,-2.982171,1.419921,2.175829,-0.742886,-0.695757,3.4402,2.287507,2.485679,1.892179,0.378036,0.315971,-5.481978,-4.438407,3.061843,2.939672,2.119193
pv053k_Rms_s,3.7221,3.259572,1.312986,1.146636,-1.099471,-1.516307,-1.590521,-1.681,-1.213593,-0.924307,3.121036,1.824736,3.422372,1.848914,0.040593,0.316457,-0.472579,-0.421243,0.140457,-1.688336,-3.061871,-1.605093,2.9202,3.524572,1.33855,0.738971,-0.179014,-0.339629,-0.374107,0.601272,-0.769536,-0.872893,-1.306743,-1.814814,-2.1201,-2.478043,-2.124414,-2.494757,-2.218522,-1.903486,1.5048,0.799307,2.731229
pv054k_Rms_s,1.605357,2.340079,-0.274864,0.981164,0.140179,0.606914,0.364786,-0.662357,-2.437471,-1.781871,0.443093,1.247693,1.234164,1.263514,-0.645057,0.011921,-1.462871,-1.976557,0.111993,0.967171,0.767543,-2.006914,2.713022,0.575821,-3.387214,-1.250507,-3.528572,-2.001222,-0.475757,0.720543,-0.19625,-0.517257,-0.037579,0.494914,0.838679,0.66715,0.91485,0.130029,-0.136479,-0.410136,1.0702,0.986521,1.8584
