File,E1-rms_s,E2-rms_s,E3-rms_s,E4-rms_s,E5-rms_s,E6-rms_s,E7-rms_s,E8-rms_s,E9-rms_s,E10-rms_s,E11-rms_s,E12-rms_s,E13-rms_s,E14-rms_s,E15-rms_s,E16-rms_s,E17-rms_s,E18-rms_s,E19-rms_s,E20-rms_s,E21-rms_s,E22-rms_s,E23-rms_s,E24-rms_s,E25-rms_s,E26-rms_s,E27-rms_s,E28-rms_s,E29-rms_s,E30-rms_s,E31-rms_s,E32-rms_s,E33-rms_s,E34-rms_s,E35-rms_s,E36-rms_s,E37-rms_s,E38-rms_s,E39-rms_s,E40-rms_s,E41-rms_s,E42-rms_s,E43-rms_s,E44-rms_s,E45-rms_s,E46-rms_s,E47-rms_s,E48-rms_s,E49-rms_s,E50-rms_s,E51-rms_s,E52-rms_s,E53-rms_s,E54-rms_s,E55-rms_s,E56-rms_s,E57-rms_s,E58-rms_s,E59-rms_s,E60-rms_s,E61-rms_s,E62-rms_s,E63-rms_s,E64-rms_s,E65-rms_s,E66-rms_s,E67-rms_s,E68-rms_s,E69-rms_s,E70-rms_s,E71-rms_s,E72-rms_s,E73-rms_s,E74-rms_s,E75-rms_s,E76-rms_s,E77-rms_s,E78-rms_s,E79-rms_s,E80-rms_s,E81-rms_s,E82-rms_s,E83-rms_s,E84-rms_s,E85-rms_s,E86-rms_s,E87-rms_s,E88-rms_s,E89-rms_s,E90-rms_s,E91-rms_s,E92-rms_s,E93-rms_s,E94-rms_s,E95-rms_s,E96-rms_s,E97-rms_s,E98-rms_s,E99-rms_s,E100-rms_s,E101-rms_s,E102-rms_s,E103-rms_s,E104-rms_s,E105-rms_s,E106-rms_s,E107-rms_s,E108-rms_s,E109-rms_s,E110-rms_s,E111-rms_s,E112-rms_s,E113-rms_s,E114-rms_s,E115-rms_s,E116-rms_s,E117-rms_s,E118-rms_s,E119-rms_s,E120-rms_s,E121-rms_s,E122-rms_s,E123-rms_s,E124-rms_s,E125-rms_s,E126-rms_s,E127-rms_s,E128-rms_s,GFP-rms_s
r4c12_ec_p3-mux,1.471837,1.330541,0.697071,-0.168005,-0.170348,-0.3539,-0.551157,1.987051,1.106155,0.235961,-0.669843,-0.31661,-0.380397,0.815864,0.714551,-1.620436,2.10609,0.206834,-0.570544,-0.323407,-0.603546,-0.094332,-0.067329,-0.136366,-0.431819,3.257899,0.557675,0.146636,-0.099409,-0.19409,-0.143893,0.008431,1.859044,0.050142,1.277853,0.879775,0.588288,0.209821,1.646315,1.785572,2.032616,1.652653,2.275404,2.439314,2.503516,2.468665,2.540872,2.354819,1.996182,3.051462,3.22266,2.760702,1.940747,0.349615,0.243476,3.781552,3.622109,3.927748,3.992646,3.847145,1.998512,0.956185,4.370718,4.010594,4.105486,4.136402,2.988103,1.970227,4.481852,3.950398,3.84752,3.464051,2.635773,3.877572,3.386916,3.226362,2.789466,2.298764,0.993469,0.981486,0.148977,3.387366,3.125936,2.945531,2.75447,1.303283,1.132675,0.351981,3.137418,2.714512,3.180039,2.502239,1.424045,0.928953,2.835488,2.104016,1.574976,1.304328,1.142197,2.758775,1.30645,1.276598,1.045004,0.580182,0.571356,-0.527264,-0.031034,1.712336,1.311204,0.64154,0.655923,0.361422,0.083216,1.188246,0.868218,2.143589,0.614907,0.613861,0.100274,1.797286,0.211268,0.412254,0.498679,0.262486,1.523509,0.810788,1.834145,1.829554,1.497446
r4c13wb-mux,-1.000518,3.186544,3.219811,2.534179,1.951844,1.884222,1.503616,5.891788,3.010177,2.508444,2.301089,1.915785,0.987155,3.74543,3.168004,2.68305,3.582202,3.134366,2.255004,1.772297,1.862835,1.971318,2.839296,2.457729,2.268946,0.889845,2.499239,2.241574,2.007002,1.207131,0.539644,-0.207559,1.664737,3.568567,0.865547,0.325456,0.937279,-0.597704,2.909466,1.001489,0.16374,0.036151,-1.008149,2.120147,1.679219,0.211598,-0.360142,-0.712361,0.328197,-0.540414,-0.770971,-1.36424,-1.588464,-1.620879,-1.4961,-0.298401,0.158881,-0.607849,-0.906289,-2.187043,-2.3462,-2.786365,0.025206,-0.352879,-0.470123,-1.452969,-2.571014,-3.486714,0.052501,-0.435252,-1.429285,-2.13125,-2.448229,-0.084313,-0.009128,-1.264549,-1.482586,-2.827464,-3.267658,-2.88125,-0.971914,0.036958,-1.021429,-1.404029,-1.274936,-2.875522,-3.078229,-1.800643,-0.094403,-1.013643,-1.5789,-1.949926,-2.560472,-2.715314,-0.173796,-1.030864,-1.151481,-1.71088,-2.421843,0.319206,-0.726659,-1.252738,-1.235786,-1.327482,-1.303379,-0.404454,0.440221,0.912258,-0.154454,-0.787356,-0.039726,0.480581,1.187984,2.828336,1.608258,0.193909,0.807926,0.896782,1.464754,2.112837,2.624264,2.259995,1.251596,1.772814,4.059946,3.439885,4.808671,4.502066,2.067432
r4c14_ec_p3-mux,-1.862893,0.377471,0.729236,1.124202,0.984768,0.894131,0.426917,-0.828198,0.240886,0.304032,0.584394,0.805436,0.502032,-1.011561,-0.192708,0.345284,-0.653506,-0.288146,1.125261,0.579273,0.745295,-1.032739,-1.103626,0.518918,0.687068,-1.362446,-0.969121,-0.362934,0.641488,-0.541518,-0.511374,-0.206823,-0.555193,0.012994,-0.932414,-0.544034,-0.764827,-0.697913,-1.003879,-0.595445,-1.660793,-1.971892,-1.991864,-0.754457,-1.416514,-2.067939,-2.215064,-2.642629,-1.253879,-3.185262,-3.528287,-2.986619,-2.521366,-0.919563,-0.516722,-2.117043,-4.57745,-5.3214,-4.742526,-4.923332,-3.7918,-1.957257,-3.250335,-4.837436,-4.564291,-5.245978,-4.467882,-3.470199,-2.959735,-4.268922,-4.69268,-5.050773,-4.815263,-3.976593,-3.93606,-4.59415,-5.045522,-5.416979,-4.771782,-2.150936,-0.371741,-3.52939,-3.89589,-5.3325,-6.603021,-6.359908,-3.554686,-0.827288,-3.717934,-4.093786,-4.905622,-7.193665,-4.64635,-2.701357,-3.579865,-5.579337,-5.816037,-4.666121,-3.011014,-3.392978,-4.209107,-4.332479,-2.406364,-1.6985,-1.025551,-0.519592,0.56294,-2.8391,-2.21015,-1.161136,-0.393483,0.232679,0.66234,-0.743851,-0.613001,0.088712,-0.105354,0.330306,1.027777,-0.063395,0.616715,0.096671,0.363479,0.778732,0.928343,1.500139,1.280369,-0.530118,2.283576
r4c16_ec_p3-mux,-2.470786,-1.383693,-1.037964,-0.935736,-0.922236,0.001632,-0.040881,-0.295127,-1.247929,-1.6965,-1.477293,-1.592979,-0.979679,-0.584967,-0.854443,-2.144957,-1.352564,-1.403914,-1.857879,-1.800293,-1.701564,-0.718913,-1.524579,-2.09495,-1.7923,-0.131211,-2.408686,-2.099457,-1.693864,-1.298643,-1.073114,0.08213,-2.403457,-2.465421,-1.677293,-1.688739,-1.338793,-0.289972,-2.504478,-1.88987,-1.762887,-1.839924,-1.338622,-2.79965,-1.950506,-2.015072,-1.875956,-1.533247,-2.8657,-1.910824,-1.552478,-0.524586,-0.19395,0.289649,0.494615,-4.086386,-1.62855,-1.022141,1.693782,0.755171,1.067374,2.022156,-3.951607,-0.428611,0.838088,0.793998,1.067057,1.558647,-2.065634,0.423028,1.223517,1.272089,1.244816,-0.614871,1.093222,1.063007,0.978363,2.341487,2.659043,1.56397,0.790967,-0.308528,0.907872,0.875226,1.227707,3.766276,2.845675,0.764294,-1.078753,0.799084,1.335588,3.002977,1.681144,1.065446,-1.34585,-0.723277,-0.078836,0.72466,0.657207,-1.524957,-0.909935,-1.422309,-0.43684,-0.318744,-0.16251,0.141346,-0.010834,-1.545828,-1.617629,-0.750743,-0.600426,-0.116753,-0.273279,-1.84825,-1.7748,-1.465493,-1.1744,-1.027393,-0.780786,-3.634293,-3.000071,-2.299607,-1.140221,-1.008307,-3.948714,-5.724143,-2.611236,-3.056043,1.6094
r4c17_ec_p3-mux,-0.421681,-0.342169,-0.259719,-0.219899,-0.172168,0.341928,0.713148,0.074272,-0.014192,-0.13634,0.027111,0.564889,0.164129,0.561296,-0.422256,-0.14953,0.358586,-0.072814,-0.219969,0.236552,0.309112,-1.224557,-0.057797,0.295504,0.210728,-0.393057,0.451357,0.156989,-0.091363,-0.180916,-0.269614,-0.064427,0.432801,0.05618,-0.173279,-0.630206,-0.766673,-1.173135,-0.048299,-0.205474,-0.76199,-1.00813,-1.119775,0.752789,-0.128237,-0.731749,-0.812701,-1.038231,0.236599,-0.786974,-0.709994,-0.536174,-1.694845,-1.212069,-0.449626,-0.549074,-0.654029,-0.577916,-0.239677,-0.298717,-1.586534,-0.928695,-0.549652,-0.472978,0.063361,0.961389,-0.545664,-1.129349,-0.412079,-0.060419,0.479184,-0.458941,-0.595586,-0.264004,-0.296846,-0.474911,-0.640182,-1.025041,-1.270653,-0.361199,-0.381055,-0.043688,-0.562048,-0.684214,-0.837501,-1.218175,-1.376779,-0.601186,-0.633949,-0.987123,-1.016316,-1.197946,-1.536066,-1.07347,0.549111,-0.698091,-1.103235,-1.362301,-1.240884,-0.048507,-0.666336,-0.820957,-1.10426,-1.146071,-0.950354,-0.454029,-0.131829,-0.528671,-0.795544,-0.868993,-0.965321,-0.550729,-0.175115,-0.602449,-0.637252,-0.529535,-0.687921,-0.666274,-0.142832,-0.526468,-0.440051,-0.633541,-0.41113,-0.354686,0.702196,0.707057,0.889026,1.03096,0.843222
r4c18_ec_p3-mux,2.788346,2.67303,2.51796,2.02885,1.135016,1.005695,0.510979,2.69276,2.722169,2.474691,1.387908,0.983798,1.081201,3.045725,3.591262,2.474349,3.870076,0.723431,1.970776,1.120018,0.972068,2.536339,2.239607,1.846421,1.12062,1.901309,2.028061,1.407996,0.966172,0.392947,0.080968,-0.526207,3.832944,2.155827,0.979221,0.526764,-0.99345,-2.0451,3.026004,1.270336,0.016749,-0.315683,-1.449757,2.891491,1.113742,0.8348,-0.354574,-1.008407,1.679026,0.432936,-0.850821,-1.942993,-2.461314,-1.555736,-1.263071,1.043139,0.608642,-0.469143,-1.74195,-3.392021,-2.914857,-1.5819,1.136823,-0.676286,-1.853293,-2.697443,-2.721372,-2.060215,0.714664,-1.930214,-2.112172,-1.991572,-2.3287,0.941656,-1.648978,-2.099422,-2.0399,-2.833514,-2.368286,-0.768564,0.233748,-0.871559,-1.829357,-1.863336,-2.267129,-3.056743,-1.533229,-0.214186,-2.016443,-1.99265,-1.6243,-2.148757,-1.5965,0.261546,-0.92098,-0.652749,0.267937,-0.066859,0.263461,-0.047591,0.482336,1.196549,1.011512,0.967498,0.985974,0.597698,0.825456,0.866673,1.596744,1.244805,1.236512,1.585635,0.954462,2.690128,2.09796,1.787282,1.785341,1.831964,1.235057,3.010718,2.477829,2.098875,2.041044,2.089247,3.64432,3.837408,-0.233986,3.38545,1.871144
r4c20_ec_p3-mux,-1.948386,-1.22281,0.746878,0.003575,0.179755,0.200941,-0.016662,-1.746859,-0.63136,-0.633382,-0.486338,-0.145921,-0.374596,-1.522682,-0.306098,-0.799897,-1.235824,-1.973744,-1.215787,-1.019595,0.12674,-2.39067,-2.361812,0.440375,-0.413969,-3.21118,-1.377326,-1.067516,-0.741603,-0.715907,-0.615114,-0.264084,-1.373352,-1.0678,-1.307536,-1.417143,-0.567221,-1.111029,-1.801428,-1.794693,-1.598979,-1.104086,-1.115929,-1.218986,-1.618679,-2.456536,-2.285414,-2.197064,-1.988336,-3.000651,-2.599552,-1.602159,-0.622639,-0.323326,-0.253401,-3.166671,-3.530836,-3.758301,-2.205541,-1.060763,-0.461411,-0.542623,-3.146993,-3.788235,-2.479147,-1.122732,-0.812749,-0.660366,-3.085486,-2.817746,-2.029543,-0.684012,-2.068213,-2.371814,-2.955275,-1.651593,-1.966618,-3.627886,-1.384799,-0.681291,-0.142048,-2.531343,-3.30239,-2.968946,-4.098485,-3.555686,-1.804073,-1.170021,-3.055257,-4.011907,-4.84521,-4.821681,-3.11017,-1.838259,-4.686378,-4.499871,-4.64215,-4.436186,-3.641757,-4.648172,-3.970858,-4.086164,-4.201022,-2.159771,-1.353764,0.065607,0.149602,-3.239321,-3.696957,-2.955922,-0.322634,-0.276349,0.067067,-2.843929,-2.193143,-1.508922,-1.6418,-1.022931,0.074593,-0.894528,-1.578992,-0.500167,-0.891811,1.054143,-0.86734,1.286429,1.042616,-1.397926,1.622899
r4c23_ec_p3-mux,-0.493593,1.002288,0.458381,1.39685,1.418803,1.043462,1.080857,-1.122786,0.527879,0.900762,1.373891,1.285195,0.094549,-0.559109,0.428792,1.074891,-0.165434,-0.058771,0.825899,0.909318,0.178505,-1.3921,-0.623357,0.963944,0.217232,-1.530672,-0.758729,-1.1789,-0.477493,-0.483614,-0.353491,-0.232931,-0.418157,-0.220402,-1.351993,-1.287443,-1.4129,-0.282911,-0.781429,-1.789407,-1.727043,-1.587964,-1.707314,-0.872286,-0.754471,-1.780886,-2.158836,-1.929636,-1.177929,-2.96,-2.981807,-2.428486,-1.205607,-0.907257,-0.301057,-2.595865,-3.051315,-3.648464,-3.053657,-2.5134,-2.661507,-0.616814,-2.459364,-3.5327,-3.310614,-2.942486,-2.722972,-1.615871,-3.674636,-3.388386,-3.2108,-3.222707,-2.508493,-3.595914,-3.233786,-3.223543,-2.6611,-2.235265,-1.789779,-0.750926,-0.296641,-3.3524,-4.249607,-3.154729,-2.787307,-1.948108,-0.81095,-0.598582,-3.866936,-2.974815,-4.098878,-2.070221,-1.614034,-1.287887,-3.340564,-3.7017,-1.960636,-2.827893,-2.005912,-4.146014,-3.043043,-2.885671,-2.305457,-1.181786,-0.862636,-0.195173,0.207905,-3.492172,-1.612229,-1.49625,-0.834036,-0.207726,0.163186,-1.485914,-0.849893,-1.029,-0.134388,-0.186554,1.502136,-1.699107,-1.003107,-1.166029,-0.020618,0.563504,-0.716371,1.112966,-0.561713,-1.12735,1.544844
r4c25_ec_p3-mux,-1.080771,-1.663629,-1.506864,-0.939779,-0.786614,-0.483886,-0.286436,-3.227921,-2.216393,-1.462057,-0.610957,-0.639464,-1.030807,-2.851779,-1.936936,-1.44455,-2.544122,-2.096029,-1.718964,-1.545514,-2.335936,-2.51245,-2.068557,-3.095236,-2.720843,-3.731764,-3.330514,-2.625243,-2.381229,-2.022914,-1.952636,-0.882164,-3.191757,-3.130707,-3.744686,-3.576122,-3.266057,-3.087808,-3.143292,-4.448143,-4.280208,-4.236343,-4.371408,-3.994672,-4.968957,-4.712,-4.423879,-4.595693,-4.615986,-5.139036,-5.746915,-5.080371,-3.816893,-2.005636,-0.689331,-6.357272,-5.678321,-6.227542,-5.976458,-3.955897,-2.662416,-1.376343,-6.98075,-6.108622,-5.981136,-5.116755,-3.355075,-2.392407,-5.865071,-5.854608,-4.962808,-4.975228,-3.420711,-5.058533,-5.522908,-4.836419,-4.24064,-2.903023,-2.516431,-1.390229,-0.784043,-5.327697,-5.00118,-5.634727,-5.317732,-3.955143,-3.520495,-1.367443,-6.173986,-6.278486,-8.065715,-7.523353,-3.820939,-3.493993,-7.010772,-7.517343,-6.782679,-4.803979,-4.396835,-7.436307,-6.102543,-5.15995,-4.348743,-3.548329,-2.100271,-0.931864,-0.561943,-6.517758,-3.458636,-3.246701,-2.780828,-1.376757,-0.524086,-5.138958,-4.176329,-3.255378,-2.229014,-1.87925,-1.1305,-4.566336,-3.41765,-2.256264,-2.09475,-1.36425,-4.320993,-3.717707,-3.748543,-4.068779,2.127553
r4c26_ec_p3-mux,-2.223336,-1.178721,-0.830986,-0.511774,-0.129948,0.787417,0.356121,-1.560729,-0.818038,-0.189602,0.336915,0.05773,-0.550178,-1.564336,-0.726832,-0.337952,-0.834813,-0.780426,-0.680206,-0.171006,0.192544,-1.609114,-1.210156,-0.630571,-0.182191,-1.824036,-0.836951,-0.782839,-0.210764,-0.620449,-0.257317,-0.239286,-1.523759,-0.919031,-0.877776,-0.787685,-0.63465,-0.195314,-1.265182,-1.069949,-1.323643,-1.2311,-0.789536,-1.599172,-1.645029,-1.634157,-1.405114,-1.447729,-2.051507,-1.533936,-1.3445,-1.076229,-0.889454,-0.354161,-0.119807,-2.595036,-1.736079,-1.528136,-1.121579,-0.85384,-0.399359,-0.131488,-1.661478,-1.53275,-1.030957,-1.246293,-1.010672,-0.352845,-1.695557,-1.48535,-1.384086,-1.117107,-0.666456,-2.285086,-1.315893,-1.2948,-1.337186,-0.556844,-0.205717,-0.082242,0.125811,-2.214707,-1.416907,-1.465243,-1.45777,-1.26892,-0.980259,-1.280557,-2.128843,-1.620028,-1.637979,-1.662371,-2.062657,-1.806764,-1.757972,-2.176365,-2.234914,-2.184014,-1.976815,-2.551393,-2.401379,-2.251293,-2.020907,-1.776807,-1.497364,-1.114622,0.108842,-2.31985,-1.889736,-1.765979,-1.629093,-1.141814,-0.854821,-2.018493,-1.838279,-1.586507,-1.33045,-0.966982,-0.554704,-2.122607,-2.131736,-1.515629,-1.184029,-0.967519,-1.097647,-1.179391,-0.93797,-1.391991,0.950077
