File,Fp1,Fp2,F3,F4,C3,C4,P3,P4,O1,O2,FT9,FT10,F7,F8,T7,T8,P7,P8,Fz,Pz,Cz,Oz,LE,RE,TP9,TP10,PO9,PO10,FC5,FC6,CP5,CP6,FC1,FC2,C1,C2,CP1,CP2,PO1,PO2,AF1,AF2,Fpz
pv016k_Rms_w,0.5576,0.813314,0.073921,1.563914,-0.713621,0.7105,-0.854693,0.476693,0.328829,2.00875,-1.571679,-0.473364,0.413821,0.791336,-1.879143,-0.360193,-1.230493,1.062607,0.794243,-0.5649,0.902014,0.363086,-0.0252,-0.373607,-2.304722,0.175771,-1.381664,-0.08345,-0.411621,0.632593,-1.923257,0.002986,0.5534,1.398522,0.014043,0.888364,-0.401536,-0.651336,-0.03895,-0.026886,0.283629,0.326014,0.048736
pv019k_Rms_w,0.680771,-0.171957,1.988279,0.348993,3.189729,1.923579,0.014236,1.887657,-5.406908,-1.481743,-2.307336,-1.478043,-0.150764,-1.044843,-2.806521,-1.882786,-6.242679,-3.9152,2.230507,3.246643,5.292736,-2.012286,-1.02225,-0.560664,-5.236772,-3.6147,-5.352144,-3.362442,1.228114,0.010057,-1.449514,-0.756714,4.314736,2.8012,4.657594,3.799643,3.49435,3.59195,0.519136,2.647143,1.440036,0.541764,0.533072
pv020k_Rms_w,1.810271,2.866193,1.492507,2.877679,1.345043,4.040379,-3.531192,-1.3084,-9.539586,-5.713986,0.533464,1.738243,1.364464,3.419779,-0.641157,3.126193,-6.931001,-1.989664,2.040229,-0.23255,3.689993,-6.246078,1.402121,2.375022,-4.099536,-0.406807,-6.135829,-4.44445,1.078671,4.197772,-1.805436,1.616829,2.269222,3.665157,2.28415,3.830329,1.282586,2.220814,-6.933308,-3.276165,1.973657,2.60375,1.831043
pv043k_Rms_w,2.950393,3.449686,3.177236,2.095193,2.360271,1.623236,-1.019157,-0.352593,-6.060915,-4.558336,0.499386,-0.8672,2.35385,1.3446,0.124614,-1.960457,-4.525814,-5.10065,3.897429,1.242679,2.453714,-3.522829,1.171786,0.299829,-3.987721,-6.172307,-6.11565,-6.347536,2.274843,0.972743,-1.602129,-0.516893,3.224978,3.329657,2.366586,2.197507,1.1388,1.363779,-2.38945,-0.218921,2.986929,3.514321,2.797364
pv049k_Rms_w,0.857093,1.649929,1.586129,1.100379,1.280686,0.2867,0.519786,-0.125779,-1.740907,-3.210229,-0.577929,-0.893436,0.52655,0.200179,-0.76105,-1.880593,-1.571236,-3.791786,1.420322,2.245764,2.305529,-1.498715,0.088693,0.278407,-1.1992,-2.774229,-1.637243,-3.012922,1.120793,-0.0395,0.038957,-2.150314,2.104865,1.956143,1.791086,1.659157,1.564707,1.249957,0.406043,-0.279,0.67,0.17795,0.049343
pv050k_Rms_w,3.779822,3.3611,3.41295,4.618093,0.96845,0.884579,-2.931943,-1.312543,-5.633744,-3.399514,-0.634186,-0.367621,2.406443,2.311629,-2.506307,-1.167236,-8.459908,-4.588693,4.254279,0.728686,2.866157,-2.134515,1.275693,1.300621,-5.067701,-2.63875,-5.423522,-3.420693,1.402521,1.330029,-3.092565,-2.254328,3.3064,4.002736,2.22025,2.0613,0.713829,0.241486,-2.581758,-0.869429,3.899436,3.92845,3.144022
pv051k_Rms_w,4.22795,4.799743,3.253336,3.017607,1.41755,-0.020214,-1.513614,-5.231443,-3.825222,-8.352542,2.468422,2.250457,3.500393,3.534472,1.323771,-0.076079,-3.254114,-7.577286,2.829436,-1.233229,0.907136,-3.408458,2.897307,3.754407,-2.198915,-3.280793,-4.432564,-5.274585,2.759228,1.692172,-0.21865,-3.14525,2.306479,1.653372,0.901414,0.167286,-0.151793,-1.757093,-2.508836,-3.982922,3.740779,3.686379,4.026565
pv052k_Rms_w,1.518693,1.350314,2.341235,1.829507,2.592829,1.319264,-0.062407,-0.302586,-6.197014,-4.622458,-0.355929,-1.194122,0.54325,0.585607,-0.536486,-0.366914,-4.804114,-4.046243,2.675665,2.069586,3.604436,-2.993672,-0.1182,-0.012929,-3.581815,-3.722872,-5.670815,-5.071014,1.692686,0.838979,-0.1821,-1.324243,3.806986,2.810215,4.748029,2.800057,2.8647,2.265364,-1.553,-0.148979,2.100793,1.403207,1.039578
pv053k_Rms_w,4.072886,3.840708,1.572793,0.762636,-0.883229,-0.271714,-2.245829,-1.377614,-3.52165,-2.243543,1.053743,1.9183,2.150564,3.0738,-0.557007,0.316536,-4.078879,-2.419943,2.1122,-0.534243,-1.0039,-2.295707,3.074414,4.009386,-1.6921,-1.035329,-3.119565,-2.410079,0.558607,1.306164,-2.103957,-1.210321,-0.23705,0.455857,-1.056186,-0.626914,-1.154036,-0.9313,-2.566465,-1.2882,3.417593,3.009578,4.065207
pv054k_Rms_w,2.625422,4.522586,2.495222,3.532172,2.226821,2.140357,-0.259521,-1.266986,-6.2514,-5.482336,0.5468,2.493014,1.758114,3.910115,-0.633829,0.346257,-5.362872,-5.314394,3.009021,1.34325,3.13985,-5.418165,-0.222786,2.855129,-7.785407,-4.949314,-8.785065,-6.875237,1.1882,2.810264,-0.905736,-0.701814,3.055022,3.080557,2.800493,2.595872,1.897757,1.236536,-2.093265,-2.100472,2.534657,2.905936,3.163679
