File,E1-ec0Rmsw,E2-ec0Rmsw,E3-ec0Rmsw,E4-ec0Rmsw,E5-ec0Rmsw,E6-ec0Rmsw,E7-ec0Rmsw,E8-ec0Rmsw,E9-ec0Rmsw,E10-ec0Rmsw,E11-ec0Rmsw,E12-ec0Rmsw,E13-ec0Rmsw,E14-ec0Rmsw,E15-ec0Rmsw,E16-ec0Rmsw,E17-ec0Rmsw,E18-ec0Rmsw,E19-ec0Rmsw,E20-ec0Rmsw,E21-ec0Rmsw,E22-ec0Rmsw,E23-ec0Rmsw,E24-ec0Rmsw,E25-ec0Rmsw,E26-ec0Rmsw,E27-ec0Rmsw,E28-ec0Rmsw,E29-ec0Rmsw,E30-ec0Rmsw,E31-ec0Rmsw,E32-ec0Rmsw,E33-ec0Rmsw,E34-ec0Rmsw,E35-ec0Rmsw,E36-ec0Rmsw,E37-ec0Rmsw,E38-ec0Rmsw,E39-ec0Rmsw,E40-ec0Rmsw,E41-ec0Rmsw,E42-ec0Rmsw,E43-ec0Rmsw,E44-ec0Rmsw,E45-ec0Rmsw,E46-ec0Rmsw,E47-ec0Rmsw,E48-ec0Rmsw,E49-ec0Rmsw,E50-ec0Rmsw,E51-ec0Rmsw,E52-ec0Rmsw,E53-ec0Rmsw,E54-ec0Rmsw,E55-ec0Rmsw,E56-ec0Rmsw,E57-ec0Rmsw,E58-ec0Rmsw,E59-ec0Rmsw,E60-ec0Rmsw,E61-ec0Rmsw,E62-ec0Rmsw,E63-ec0Rmsw,E64-ec0Rmsw,E65-ec0Rmsw,E66-ec0Rmsw,E67-ec0Rmsw,E68-ec0Rmsw,E69-ec0Rmsw,E70-ec0Rmsw,E71-ec0Rmsw,E72-ec0Rmsw,E73-ec0Rmsw,E74-ec0Rmsw,E75-ec0Rmsw,E76-ec0Rmsw,E77-ec0Rmsw,E78-ec0Rmsw,E79-ec0Rmsw,E80-ec0Rmsw,E81-ec0Rmsw,E82-ec0Rmsw,E83-ec0Rmsw,E84-ec0Rmsw,E85-ec0Rmsw,E86-ec0Rmsw,E87-ec0Rmsw,E88-ec0Rmsw,E89-ec0Rmsw,E90-ec0Rmsw,E91-ec0Rmsw,E92-ec0Rmsw,E93-ec0Rmsw,E94-ec0Rmsw,E95-ec0Rmsw,E96-ec0Rmsw,E97-ec0Rmsw,E98-ec0Rmsw,E99-ec0Rmsw,E100-ec0Rmsw,E101-ec0Rmsw,E102-ec0Rmsw,E103-ec0Rmsw,E104-ec0Rmsw,E105-ec0Rmsw,E106-ec0Rmsw,E107-ec0Rmsw,E108-ec0Rmsw,E109-ec0Rmsw,E110-ec0Rmsw,E111-ec0Rmsw,E112-ec0Rmsw,E113-ec0Rmsw,E114-ec0Rmsw,E115-ec0Rmsw,E116-ec0Rmsw,E117-ec0Rmsw,E118-ec0Rmsw,E119-ec0Rmsw,E120-ec0Rmsw,E121-ec0Rmsw,E122-ec0Rmsw,E123-ec0Rmsw,E124-ec0Rmsw,E125-ec0Rmsw,E126-ec0Rmsw,E127-ec0Rmsw,E128-ec0Rmsw,Cz-ec0Rmsw
engws000021,-0.287746,0.30024,0.549656,1.294198,1.457254,2.501823,3.962831,-0.450016,1.089495,1.105351,1.664615,2.245573,2.617043,-0.153063,0.972984,1.314279,-0.031857,1.790484,1.934478,1.91022,0.33282,1.739498,1.437854,1.838945,1.496973,1.92429,1.397882,1.904868,2.126315,3.003046,3.602409,1.414251,1.381576,1.476734,1.157537,2.135029,3.115232,0.87599,0.739379,0.399706,0.670412,1.483518,0.415093,0.583715,-0.016644,-0.083055,0.291134,0.421431,0.167445,-1.201574,-0.481202,0.510254,1.584748,0.123034,3.881292,-0.751132,-1.020755,-1.929949,-0.819027,0.285043,-0.42631,0.841767,-1.328696,-2.244027,-2.352388,-1.613233,-0.49576,-3.295741,-3.121935,-2.253299,-1.402346,-0.76213,-2.663399,-2.867771,-2.24566,-0.882921,0.331432,1.060709,1.984451,2.416234,-2.308269,-2.078861,-2.401438,-2.047488,-0.692252,-0.011888,0.893845,-2.660338,-3.717446,-3.98143,-2.384305,-0.95213,-0.75281,-3.141024,-3.992225,-2.661674,-1.749232,-1.249191,-2.784641,-3.470305,-2.829241,-1.152988,-0.572146,0.537062,1.240954,3.424215,-2.808997,-1.252185,-0.29931,0.516837,0.714373,1.726612,-2.099021,-1.478924,-0.619193,-0.196185,0.492756,1.435476,-0.587502,-1.909371,-0.758046,-0.085974,0.422618,0.627537,-0.611007,0.042806,0.683373,1.068167,4.389471
engws000031,1.48879,1.41882,2.309377,1.589345,1.160402,1.311188,1.380171,1.788656,1.828532,1.448388,0.790693,1.266066,1.317302,2.218642,1.273599,1.12458,1.858867,1.334758,1.213145,1.092166,1.571014,1.351668,1.305381,1.219795,1.319806,2.000636,0.969847,0.649866,0.711828,0.715759,1.382728,0.479911,0.009674,-0.150052,-0.20708,-0.153918,0.188474,0.288072,-1.075254,-1.129071,-1.167254,-1.250379,-0.592851,-0.367079,-2.562241,-2.282715,-2.327187,-0.274494,-0.889892,-4.309877,-3.662679,-1.860576,-0.289881,1.218051,1.860636,-2.642819,-4.371262,-5.520494,-3.714327,-1.017887,1.118744,2.020365,-3.596262,-5.396498,-4.777972,-1.861807,0.415891,-3.778716,-4.495902,-2.874586,-0.435024,0.471646,-3.238449,-3.358291,-1.737151,0.845865,2.268874,2.697527,2.280383,0.994235,-2.567054,-2.405024,-0.10613,1.941436,2.427615,1.64168,0.984172,-2.436033,-1.487516,-0.582425,1.681964,1.646969,1.066364,-2.118678,-1.676364,0.001153,1.152663,1.026298,-1.537419,-2.096174,-0.777405,0.473624,0.911195,0.528159,1.019544,1.097936,-1.238629,-0.293611,0.742176,0.726862,0.912987,1.039266,-0.246076,1.253601,0.138651,0.689217,1.250943,1.389563,-0.413971,0.740642,0.908213,0.86503,2.114677,1.746682,1.210919,1.482397,1.509834,-0.161317,1.621155
engws000051,0.906773,0.986159,1.447224,1.411739,1.412689,1.142105,0.357099,1.840709,1.767401,2.277356,2.226558,1.723275,0.866702,1.936712,1.648497,2.167203,2.709151,2.314408,2.077187,1.73303,1.64755,2.30384,2.374629,2.229827,2.473215,2.901148,2.448069,1.688564,0.849001,0.311603,-0.061056,2.832381,2.670501,1.346376,0.78776,-0.008564,-0.330314,2.364056,2.089422,0.540357,-0.075405,-0.662113,2.657842,3.067865,0.825004,-0.710769,-0.951841,2.303952,1.767658,-0.909849,-1.768527,-0.845655,-0.631764,-0.520638,-0.540438,0.974174,-0.236477,-3.53196,-1.899855,-0.686418,-0.657344,-1.226297,0.180006,-1.064551,-1.597297,-1.11808,-0.93463,-0.103143,-0.452801,-1.243091,-1.331044,-1.553666,-0.405398,-1.11665,-1.846913,-2.249633,-2.091044,-1.259836,-1.468058,-0.799191,-0.378554,-1.374514,-1.971066,-3.044191,-2.630706,-1.973022,-1.404683,0.005022,-0.956162,-2.795872,-4.094769,-2.700091,-2.339113,0.088756,-1.319633,-3.635852,-3.440605,-2.688372,0.371479,-1.120228,-2.867194,-3.10513,-2.30511,-1.931549,-0.594172,0.185309,0.385718,-2.291757,-1.841828,-1.556104,-0.416681,0.849381,0.782335,-0.192797,0.229377,-0.602436,-0.250024,0.487937,1.259783,1.01975,0.400202,0.279617,-0.040484,0.565858,0.950187,2.29095,2.980426,3.030483,0.003662
engws000061,-1.760395,-1.067329,0.190008,0.067463,0.518766,2.357686,3.065343,-1.429201,-0.96759,0.404935,0.669183,2.094707,3.451112,-1.855034,-0.348077,0.457657,1.514091,1.053691,1.467322,2.102703,-1.412504,0.046352,1.344835,1.288469,-0.063424,0.140077,1.03847,1.861774,3.241668,3.450073,1.953338,-0.158169,0.167058,0.789716,1.375574,3.024398,2.586283,-0.090381,-0.187615,1.110191,1.551785,1.30786,-0.76967,-0.587029,-0.995101,0.03971,0.269805,-0.653668,-0.510645,-0.975407,0.005782,1.264985,1.916846,1.714999,2.082513,-1.484862,-1.989229,-0.936976,-0.621198,0.036107,1.381271,2.113883,-1.396084,-1.337248,-1.008129,-0.67794,0.280149,-1.377326,-0.867623,-0.323804,-0.167115,0.05416,-0.997123,-0.763534,-0.049154,0.287316,0.84723,1.441013,0.281091,1.122219,-1.407251,-0.614581,-0.031529,0.643108,0.491966,0.396532,0.935607,-0.851934,-1.126895,-0.657818,-0.675829,-0.331048,-0.448084,-2.835099,-1.952242,-1.215717,-0.25069,-0.959209,-2.881824,-2.940862,-1.651665,-0.510804,-0.292712,0.635846,3.01228,1.85901,-2.718917,-1.921992,-0.371934,0.123991,-0.041637,1.606485,-2.484706,-2.124229,-1.572068,-0.791306,0.072052,0.704405,-2.447339,-1.758656,-2.103557,-1.720909,-0.203784,-0.023729,-1.634665,-2.440298,-0.587223,-0.524198,3.622577
engws000071,0.423815,1.159742,1.232552,1.382108,1.087037,1.374496,1.358993,1.213871,1.238265,1.016654,1.333783,1.475259,1.618054,1.295868,1.251176,0.972615,1.270359,1.560495,1.769337,1.689518,0.994134,1.581403,2.46329,2.252912,2.329065,2.973739,3.041619,2.092379,1.869892,1.514693,0.803615,2.617091,2.499319,1.984604,1.337147,1.370747,0.477704,2.079561,1.017603,1.246829,1.138206,0.533307,1.400379,1.062446,-0.239382,0.076506,-0.189447,1.026049,0.707858,-1.36128,-0.579061,0.077519,-0.406812,0.150526,-0.08149,-0.847929,-1.397693,-1.565628,-0.780494,-0.506944,-0.081354,-0.798252,-1.488977,-1.869539,-1.338228,-0.897655,-0.931457,-1.660779,-1.500592,-0.833675,-1.185194,-1.272743,-1.338727,-1.252325,-0.733832,-1.270484,-1.212279,-1.303602,-1.21014,-0.207471,-1.57956,-1.361903,-1.498025,-1.779516,-1.769043,-1.418485,-0.842849,-1.641386,-1.924752,-1.910915,-1.966696,-1.893421,-1.605415,-2.110479,-2.506999,-2.211695,-1.916002,-1.718921,-1.86457,-2.59623,-2.099713,-1.836079,-1.379265,-0.809046,-0.242724,0.398118,-1.6242,-1.682165,-1.171189,-0.73308,-0.176527,0.660918,-0.352586,-0.539327,-0.986473,-0.120295,0.347619,1.244583,-0.381432,-0.047184,-0.355594,0.039781,1.046634,1.876289,0.530795,1.454918,2.325124,1.937418,0.690871
engws000081,-0.104161,-0.368612,-0.846918,-0.583179,-0.559946,-0.642579,-0.08442,-0.307255,-0.636938,-0.762399,-0.678929,-0.832352,-0.545738,-0.184521,-0.490642,-0.69881,-0.071848,-0.792372,-0.792653,-0.848446,-0.826491,-0.53865,-1.059893,-0.722855,0.38981,0.008145,-0.686464,-0.90134,-0.681012,-0.724413,-0.026538,0.160572,-0.129228,-0.590986,-0.542534,-0.38218,-0.002068,-0.670206,-0.925003,-0.714424,-0.351708,-0.218989,-0.374286,-1.205669,-0.727174,-0.603852,-0.317088,-0.940739,-1.229364,-0.371353,-0.169955,0.13362,0.386374,0.502349,0.483316,-1.410143,-1.072888,0.25971,0.363491,0.534539,0.919871,1.307193,-1.415562,0.061953,0.592066,1.147965,0.407607,-0.902982,-0.0461,0.96066,1.494534,1.42536,-0.545729,0.606856,1.695234,1.997052,1.579399,1.299046,0.804156,0.291212,-0.453534,0.6971,2.360196,2.060064,1.362682,0.985097,0.507082,-0.234942,1.021509,2.444371,1.590989,0.933174,0.655322,-0.215567,0.918978,2.101782,1.068874,0.77635,-0.656058,-0.226876,0.61614,0.461423,0.770499,0.220799,0.253022,-0.152813,-0.793629,0.039438,0.203747,-0.127491,-0.266052,-0.246899,-0.456317,-0.665566,-0.405795,-0.355032,-0.094915,-0.536224,-1.101109,-0.716382,-0.606205,-0.456501,0.050717,-0.838704,-0.733213,-0.189442,0.516468,0.837355,0.124582
engws000092,1.03141,1.918447,2.869477,2.626349,2.433934,2.385617,2.010269,0.751415,2.591696,2.58576,2.561591,2.474852,2.233408,1.931966,1.998092,2.78789,1.371806,2.279781,2.55037,1.978555,1.986898,2.969908,2.696227,2.718235,1.433394,2.468723,2.32309,1.142407,0.88138,1.620269,2.220863,1.920686,1.81925,1.678773,0.59355,0.810025,1.741522,0.745868,-0.234969,0.017105,0.103828,1.36481,-0.967065,0.421372,-1.216114,-0.791936,-0.141372,-0.094309,-0.116241,-2.743186,-1.416506,-0.283189,0.898808,1.639386,2.154825,-1.86108,-2.725612,-4.616541,-1.917383,-0.338211,1.395269,1.424639,-2.480619,-4.069386,-4.282108,-2.465567,-0.510719,-2.8064,-3.657283,-4.700878,-2.021858,-0.892511,-2.65182,-3.400059,-3.545133,-1.902156,-0.745294,0.725367,1.551444,2.102322,-2.71532,-3.495222,-3.133947,-1.666772,0.344697,0.956503,1.474492,-3.201572,-3.571386,-3.464397,-1.678911,-0.317483,0.636233,-3.139486,-4.538011,-3.0886,-1.503975,-0.553739,-3.927125,-4.742806,-3.309022,-1.293356,-0.195983,1.143608,1.902853,1.97745,-2.409469,-2.286883,-0.487667,1.164199,1.528825,2.110814,-1.021197,-0.545212,-0.770457,0.951421,1.920381,2.27772,-0.885188,-0.560446,-0.338121,0.826636,1.825295,2.544341,0.600643,0.41572,0.389182,1.94492,2.558403
engws000111,0.666452,1.357221,1.881508,2.553003,3.357377,4.134411,4.416728,0.967594,1.235252,1.520085,2.226816,2.923513,3.902755,0.997519,1.191322,1.567888,-0.632851,1.503183,2.179986,2.913966,0.739746,1.068894,1.860657,2.420547,0.568699,0.931797,2.164421,2.505299,3.185666,3.261849,4.018306,0.107188,1.100069,1.667466,2.361055,2.54598,3.236085,0.470363,0.583308,1.249027,1.604069,1.676183,-0.491637,-0.04789,-1.416217,0.209269,0.867677,-0.652867,-0.957284,-2.454579,-0.849178,0.06831,1.530752,2.482435,3.271905,-2.691748,-3.206934,-4.176826,-1.353926,-0.286726,0.618255,0.226744,-4.063859,-5.925217,-4.167567,-1.990237,-0.936384,-4.777112,-5.215603,-3.964217,-1.811856,-1.214584,-4.499198,-4.683279,-3.337448,-1.479506,-0.480067,1.167544,1.820955,3.612307,-4.359663,-4.027556,-3.633898,-1.2271,0.075585,1.488577,2.745597,-4.299536,-4.287837,-3.872251,-1.683017,0.160319,1.226519,-4.663805,-5.261176,-4.799035,-1.709917,-0.161651,-4.78854,-4.954015,-4.036587,-0.711603,1.023166,2.178416,3.201383,3.983619,-3.69712,-2.579714,0.569894,2.166572,2.880002,3.549566,-1.571265,-0.945004,-0.773556,1.593385,2.60181,3.116916,-1.942509,-1.282526,-0.768087,0.513422,1.962336,2.615275,-0.328659,-0.107876,1.11351,0.544133,4.228891
engws000121,0.75467,1.380909,2.011647,2.265331,2.261809,2.104206,2.83445,1.533267,1.463048,1.953648,1.953978,2.456179,2.314003,0.874636,1.455487,1.528217,0.749876,1.869545,1.661012,2.085134,1.062189,0.839073,1.233398,1.39107,-0.562997,0.001134,0.681395,1.065801,1.782278,1.612789,2.470666,0.230823,-0.439594,0.315692,0.113806,-0.346402,1.415995,-0.642166,-2.488969,-1.067002,0.225545,0.2367,-0.875033,-1.52213,-2.906175,-1.863919,-0.623311,-0.61315,-1.237503,-4.495972,-2.200569,-1.008075,0.560853,1.746817,2.552974,-2.276741,-4.282958,-6.252608,-2.399258,-0.286486,1.277806,0.962197,-3.906036,-5.592791,-4.068716,-1.777547,-0.048715,-3.776666,-3.750164,-3.047183,-0.35465,-0.110887,-2.951839,-2.970933,-1.597841,-0.783872,0.480609,1.287744,1.969774,2.489431,-2.800511,-2.454475,-0.678102,-0.216305,1.120114,1.608934,2.105561,-2.7287,-2.874819,-0.64335,0.59242,0.947717,1.509303,-2.752649,-2.430355,-1.641391,0.401592,0.925448,-2.492247,-2.740005,-1.882786,0.026856,1.586642,2.217201,2.340317,2.993844,-1.998852,-0.858247,0.701978,1.960789,2.1853,2.198756,-0.514819,-0.583211,0.094662,1.314289,1.909,2.541014,-0.369847,0.209823,0.618478,1.156142,1.728339,2.257904,0.519275,0.116623,0.0756,-0.481866,2.789862
engws000131,-1.085413,-1.101494,-0.487388,-0.261693,-0.653077,0.423396,0.300632,-1.025054,-0.345498,-0.113551,0.165806,0.114805,1.024169,0.176032,0.167077,0.113771,0.383869,1.356991,0.895064,0.674528,0.765889,1.1104,1.165029,1.160469,3.614267,3.037947,2.533819,1.389329,1.241003,0.700005,-0.036925,3.133238,1.762079,1.435618,1.173101,0.874359,0.432101,1.532547,1.409833,1.101807,0.718598,0.528041,1.958871,1.149045,1.099115,0.985016,0.556173,1.593977,0.994635,1.177682,0.779906,0.153091,-0.27672,-0.713885,-1.22379,1.092298,1.397702,1.143194,0.42547,-0.282456,-1.526221,-2.236337,0.817673,0.904634,0.592556,-0.153782,-1.56745,0.525744,0.761037,-0.312105,-1.791048,-2.520788,-0.229264,-0.056447,-1.360031,-2.302907,-1.92889,-1.39748,-1.179277,-0.69935,0.234012,-0.053724,-0.455942,-0.590722,-1.018609,-1.228583,-1.186749,-0.345104,-0.083107,0.056429,-0.119474,-1.448603,-1.130255,-0.57167,0.484631,0.050061,-0.694905,-1.188371,-1.992638,-0.615511,-0.741696,-1.450656,-1.411178,-1.086783,-0.691652,-0.219873,-0.299884,-0.93261,-1.914896,-1.697546,-1.120935,-0.381148,-0.564445,-0.813204,-1.645709,-1.139261,-0.886335,-0.866082,0.581568,-0.352631,-0.682925,-1.097026,-0.703457,-0.692822,-0.624644,0.538791,2.54134,2.851237,-0.451826
