File,E1-bc_Germ_adj,E2-bc_Germ_adj,E3-bc_Germ_adj,E4-bc_Germ_adj,E5-bc_Germ_adj,E6-bc_Germ_adj,E7-bc_Germ_adj,E8-bc_Germ_adj,E9-bc_Germ_adj,E10-bc_Germ_adj,E11-bc_Germ_adj,E12-bc_Germ_adj,E13-bc_Germ_adj,E14-bc_Germ_adj,E15-bc_Germ_adj,E16-bc_Germ_adj,E17-bc_Germ_adj,E18-bc_Germ_adj,E19-bc_Germ_adj,E20-bc_Germ_adj,E21-bc_Germ_adj,E22-bc_Germ_adj,E23-bc_Germ_adj,E24-bc_Germ_adj,E25-bc_Germ_adj,E26-bc_Germ_adj,E27-bc_Germ_adj,E28-bc_Germ_adj,E29-bc_Germ_adj,E30-bc_Germ_adj,E31-bc_Germ_adj,E32-bc_Germ_adj,E33-bc_Germ_adj,E34-bc_Germ_adj,E35-bc_Germ_adj,E36-bc_Germ_adj,E37-bc_Germ_adj,E38-bc_Germ_adj,E39-bc_Germ_adj,E40-bc_Germ_adj,E41-bc_Germ_adj,E42-bc_Germ_adj,E43-bc_Germ_adj,E44-bc_Germ_adj,E45-bc_Germ_adj,E46-bc_Germ_adj,E47-bc_Germ_adj,E48-bc_Germ_adj,E49-bc_Germ_adj,E50-bc_Germ_adj,E51-bc_Germ_adj,E52-bc_Germ_adj,E53-bc_Germ_adj,E54-bc_Germ_adj,E55-bc_Germ_adj,E56-bc_Germ_adj,E57-bc_Germ_adj,E58-bc_Germ_adj,E59-bc_Germ_adj,E60-bc_Germ_adj,E61-bc_Germ_adj,E62-bc_Germ_adj,E63-bc_Germ_adj,E64-bc_Germ_adj,E65-bc_Germ_adj,E66-bc_Germ_adj,E67-bc_Germ_adj,E68-bc_Germ_adj,E69-bc_Germ_adj,E70-bc_Germ_adj,E71-bc_Germ_adj,E72-bc_Germ_adj,E73-bc_Germ_adj,E74-bc_Germ_adj,E75-bc_Germ_adj,E76-bc_Germ_adj,E77-bc_Germ_adj,E78-bc_Germ_adj,E79-bc_Germ_adj,E80-bc_Germ_adj,E81-bc_Germ_adj,E82-bc_Germ_adj,E83-bc_Germ_adj,E84-bc_Germ_adj,E85-bc_Germ_adj,E86-bc_Germ_adj,E87-bc_Germ_adj,E88-bc_Germ_adj,E89-bc_Germ_adj,E90-bc_Germ_adj,E91-bc_Germ_adj,E92-bc_Germ_adj,E93-bc_Germ_adj,E94-bc_Germ_adj,E95-bc_Germ_adj,E96-bc_Germ_adj,E97-bc_Germ_adj,E98-bc_Germ_adj,E99-bc_Germ_adj,E100-bc_Germ_adj,E101-bc_Germ_adj,E102-bc_Germ_adj,E103-bc_Germ_adj,E104-bc_Germ_adj,E105-bc_Germ_adj,E106-bc_Germ_adj,E107-bc_Germ_adj,E108-bc_Germ_adj,E109-bc_Germ_adj,E110-bc_Germ_adj,E111-bc_Germ_adj,E112-bc_Germ_adj,E113-bc_Germ_adj,E114-bc_Germ_adj,E115-bc_Germ_adj,E116-bc_Germ_adj,E117-bc_Germ_adj,E118-bc_Germ_adj,E119-bc_Germ_adj,E120-bc_Germ_adj,E121-bc_Germ_adj,E122-bc_Germ_adj,E123-bc_Germ_adj,E124-bc_Germ_adj,E125-bc_Germ_adj,E126-bc_Germ_adj,E127-bc_Germ_adj,E128-bc_Germ_adj,Cz-bc_Germ_adj
N1_0051_sec120-export,2.758714,2.305245,3.063306,2.609278,1.710842,1.953331,1.477049,-0.149251,1.861819,2.825978,1.863806,1.529799,0.956116,2.08309,2.609943,2.718272,2.048904,1.124188,2.417269,1.238907,2.297887,1.999835,3.291917,2.407085,2.183538,3.081793,2.922746,2.806301,2.212899,1.208745,0.67193,1.257762,3.24716,2.582729,1.420698,1.134459,0.378354,2.404865,1.567939,1.535169,0.610635,-0.068797,2.188853,2.233243,0.073213,-0.221016,-0.775531,1.520066,1.507655,-1.950718,-1.946059,-1.72343,-1.117295,-0.392506,0.323871,1.140025,-0.408755,-3.826504,-3.740283,-2.589756,-1.539065,-2.634248,0.852863,-1.092448,-2.553111,-3.517248,-2.743362,0.391469,-0.783451,-1.674004,-3.587009,-3.542945,-0.668482,-0.376644,-1.075605,-2.509629,-3.303029,-2.490765,-0.932248,1.090287,0.053167,-1.293277,-0.984955,-2.14069,-3.990138,-2.649279,-0.276142,-0.272441,-0.862431,-1.323271,-3.674042,-2.701771,-2.470899,-0.768107,-1.793071,-2.733534,-3.112328,-2.537946,-0.893283,-3.998666,-3.119682,-2.483948,-1.912991,0.007365,0.64683,1.900796,-1.768972,-2.23521,-1.072079,-0.271362,0.396305,1.151288,-1.401236,-0.75693,-0.99152,0.068437,1.47861,2.073335,-1.695715,-0.399634,0.756742,0.345375,2.178829,1.878404,1.497821,-0.807516,1.243034,2.256371,1.691705
N1_0052_sec120-export,2.739148,3.225423,2.059002,0.934795,-0.618433,-1.408737,-1.302362,4.140147,2.361169,0.50263,-0.556027,-1.356455,-1.340127,2.483051,1.103762,0.216878,2.533081,-0.112558,-1.21387,-1.731212,2.223147,1.905148,-0.268092,-1.449522,2.063663,1.243461,0.233441,-1.10846,-0.626905,-1.743585,-1.027171,2.024605,1.243186,-0.892775,-1.66032,-1.385275,-1.528542,1.453466,0.133549,-1.516202,-1.778897,-2.152407,2.012681,1.200977,-1.675132,-1.401547,-2.584695,2.135726,1.69966,-3.626197,-3.573731,-2.60369,-1.701597,-1.391986,-0.237227,0.872283,-1.121861,-3.794784,-3.130977,-2.37921,-1.496245,-0.875158,-0.673858,-1.64162,-2.120586,-2.020944,-0.878933,-0.994336,-0.919052,-1.98392,-1.417631,-1.417954,0.357303,-0.285511,-0.632046,0.010272,-0.25076,0.263824,0.611817,-0.118625,-0.445088,-0.632966,-1.44978,0.237257,0.276876,0.831831,2.061035,-0.339892,-0.768284,-1.113369,-0.424277,1.004799,1.384155,-0.779439,-1.689459,-2.3697,-0.500471,1.589469,0.262114,-1.868953,-2.444724,0.513317,0.888435,1.09067,0.622261,-0.991524,0.189799,-0.241905,1.31354,1.642743,1.123706,0.186358,1.055106,1.731889,1.28635,1.584815,2.079675,1.180846,2.421006,2.236978,1.939359,2.672301,2.486704,1.456152,2.268463,2.612813,2.477593,2.098346,-1.006478
N1_0053_sec120-export,0.436956,-0.665377,-0.057009,0.033506,1.132306,2.326884,2.775896,0.537727,-0.078673,-0.218616,0.561403,1.319421,2.224941,0.350263,-0.151994,-0.152414,0.121863,0.722479,0.878783,1.178287,0.542577,1.450683,1.256198,1.193986,0.812518,1.373791,1.193313,0.407888,2.056283,2.188269,2.657333,0.936672,1.845627,1.605834,1.248126,1.961188,2.000251,0.62262,0.97862,0.861098,0.741863,1.178406,0.254877,0.600048,0.473034,0.51847,0.654258,0.143527,-0.492929,-0.931123,-0.40852,0.187412,1.54207,2.507233,2.951326,-1.297974,-1.437482,-1.883759,-0.89169,0.907648,2.765313,1.899724,-1.455543,-1.670969,-1.404709,-0.271066,1.509812,-1.5807,-1.845024,-0.981609,0.370013,0.958877,-2.147853,-2.890415,-0.823273,-0.361073,0.068206,0.789834,1.583913,1.675599,-2.811532,-2.565987,-2.546873,-1.579712,-0.932709,0.028184,1.256341,-2.738265,-3.161066,-2.844246,-2.164111,-1.315666,-0.383466,-2.084438,-2.539629,-2.711195,-2.076373,-0.99573,-2.233516,-1.80193,-2.406217,-1.054766,-0.277873,0.062248,1.113306,2.250816,-1.030909,-1.004452,-0.754195,-0.16843,0.492134,1.714013,-0.595587,-0.266966,-0.203844,-0.70873,0.137756,0.12522,-0.608623,-0.476152,-0.147687,-0.872302,-1.275837,-0.528736,-0.038137,-0.52953,-2.066439,0.371339,2.975241
N1_0054_sec120-export,-0.917836,-1.493685,-1.993022,-3.247737,-3.09948,-2.113835,-0.787515,-1.809643,-2.367057,-2.853354,-3.597968,-3.141536,-2.089212,-1.468204,-2.605295,-3.601367,-1.616329,-3.450749,-3.563056,-2.764185,-2.773713,-2.46412,-3.045329,-4.249913,-0.8653,-2.494081,-2.302081,-2.456314,-1.929357,-0.56457,0.431517,-1.406146,-1.453827,-1.084394,-1.351537,-0.45726,0.52659,-1.274347,-1.267498,-0.987777,-0.917086,0.267856,-0.827851,-1.232439,-1.608042,-0.19132,0.184194,-0.546498,0.539549,0.183533,0.710887,2.022925,1.407294,1.517448,-0.014251,-0.288868,-0.524778,0.729508,3.318328,3.018243,2.963824,3.780231,-0.037499,0.11565,1.654044,3.667987,3.936459,0.355925,1.317282,1.417167,3.760462,4.296082,0.792397,2.310888,1.822863,3.98252,4.463013,4.253974,2.05055,0.501325,0.814095,1.091963,2.645081,5.991484,5.811971,2.758317,1.057178,0.652452,1.978257,3.046994,7.432503,3.657286,2.140285,0.138828,1.338239,3.438353,3.973774,2.243881,-0.43862,0.7703,0.721508,1.181774,0.648335,0.603449,-0.254438,-0.610531,-0.213327,0.514726,0.213827,-0.73685,-1.002094,-1.54551,-0.644001,-0.967376,-1.597346,-1.489419,-2.765572,-3.038625,-0.263668,-1.317687,-1.075901,-1.25549,-2.09665,-3.49298,-0.949572,-1.532525,-0.969796,-0.972405,-0.737725
N1_0055_sec120-export,-0.750297,-0.770514,2.764924,1.282318,1.513548,2.199193,1.98568,0.195633,0.421246,2.380353,1.369679,2.412155,2.670791,0.747393,1.391244,2.043251,1.178786,1.052108,2.006863,2.30972,1.226522,1.969101,2.104968,2.319593,1.044256,0.885343,1.319371,2.137551,2.52563,2.274888,1.500241,1.039238,1.471262,2.034495,1.732514,1.023101,0.424417,1.062736,0.647069,1.293458,0.969273,0.480894,1.457711,1.156896,0.256308,-0.020466,-0.250392,0.53555,0.505116,-1.152436,-2.57461,-1.603193,-0.871463,0.512108,1.187136,-0.075285,-1.22724,-4.729384,-4.265724,-3.021688,-1.461185,-1.732695,-0.843636,-3.241801,-5.203701,-3.69704,-2.66401,-1.929839,-3.821683,-4.150498,-2.913479,-2.604446,-3.002967,-2.895315,-2.947114,-2.253103,-1.706676,-0.9142,0.168675,1.767806,-2.341577,-2.633674,-1.946019,-1.759089,-1.261746,-0.364803,1.35336,-2.372192,-1.959519,-1.941169,-1.691483,-0.839349,0.432341,-1.13683,-0.216176,-1.312816,-0.84157,-0.587816,-1.811632,-0.333216,-1.083193,-0.1352,0.228887,1.775493,1.878528,2.105348,0.481978,-1.092922,0.149497,3.511314,2.444326,2.096774,-1.13809,-0.042342,0.614178,1.179746,0.900863,2.167475,-0.403222,0.21369,-0.196474,0.642065,1.459725,1.518133,-0.130302,0.325991,0.585331,1.734621,2.110723
N1_0056_sec180-export,2.478009,2.421059,2.388873,1.957969,0.638897,0.020522,-0.783803,3.74024,3.513342,3.130176,2.570767,0.696731,-0.023084,3.808948,2.794803,3.897143,3.707041,2.872336,2.389807,1.06014,3.041044,2.789013,2.04143,1.081152,2.351302,1.59818,0.908575,0.488727,0.598982,-1.04631,-1.562971,2.105058,0.836132,0.25713,-1.049675,-0.511583,-1.783378,2.33163,1.199562,0.295202,-0.781944,-1.685419,2.47944,1.994454,0.044195,-1.044413,-1.018776,2.328947,2.057177,-0.465551,-2.112787,-1.253184,-1.802464,-1.585189,-1.668899,1.210752,-0.17505,-2.612825,-2.081672,-1.636915,-1.646911,-1.372913,0.646948,-0.760236,-1.857977,-1.929986,-1.382413,-0.349512,-1.39135,-1.584945,-1.200941,-1.403603,-0.850102,-0.840846,-1.611565,-1.629991,-1.325663,-0.910201,-1.546419,-2.011121,-0.7263,-1.49481,-1.649497,-1.443313,-1.027996,-1.15068,-1.798871,-1.470346,-0.882908,-1.533594,-1.634159,-1.575805,-1.916264,-1.461108,-1.317101,-2.215314,-1.455208,-2.289749,-2.628742,-1.196931,-2.416558,-1.825376,-1.649407,-1.060284,-1.908667,-1.503829,-0.756481,0.411182,0.645885,-0.417447,-0.577843,-0.395075,0.926857,2.566507,0.722921,0.31309,-0.955025,0.107592,0.848372,1.701692,0.929957,1.164775,1.160289,1.036323,1.855024,1.693123,2.563104,2.778565,-1.569821
N1_0057_sec120-export,1.727229,3.292954,2.078877,1.799423,1.41609,2.587481,1.870056,2.65992,1.922553,1.968794,2.139374,2.404527,2.302026,2.429962,2.40896,2.36009,1.975383,1.629186,2.385551,1.945284,2.326156,2.417262,2.038698,1.032452,0.656326,0.898837,0.004213,0.542709,0.248147,1.345704,1.270574,-0.075084,-0.952063,-0.898841,-0.348969,0.617236,0.4797,-0.791798,-1.582113,-1.690914,-0.869893,-0.248429,-0.605736,-1.160171,-1.4419,-3.354364,-1.026329,-0.803911,-1.202964,-3.111741,-1.63135,-0.538686,-0.077893,0.548499,0.267143,-2.222542,-2.897123,-2.376607,-1.36225,-0.466807,-0.403179,-0.157329,-3.065091,-4.524536,-2.322551,0.326664,-0.2234,-2.04852,-2.529426,-0.616629,0.567005,0.1619,-2.142507,-1.382847,-0.133377,-0.102014,-0.340464,0.294171,-0.026429,0.588664,-1.651178,-1.725679,0.876343,0.625439,0.376636,-0.612159,0.732172,-1.503199,-1.498643,-0.635867,-0.624151,-0.52336,-0.035207,-1.562813,-4.149704,-1.654749,-0.51397,-0.187923,-3.135122,-3.265766,-0.919801,-0.534223,0.567365,0.660663,-0.025231,0.04709,-1.487195,-0.73642,0.084459,0.618494,1.22464,1.474131,0.343121,0.193514,-0.048718,0.296668,1.24318,1.474292,0.240021,1.36782,0.934178,0.501671,1.503714,1.390032,1.419936,0.947248,0.009341,-1.010567,0.710471
N1_0058_sec120-export,-0.870491,0.020952,0.194704,0.882107,0.930592,1.572636,2.215376,-0.633384,1.169383,1.651416,2.083096,-0.065839,1.756851,2.424207,0.394059,2.979778,3.30387,-0.184508,-0.668958,0.773567,2.606227,1.823982,0.391915,1.108408,1.555381,2.207334,0.475113,1.388569,0.757878,3.048126,2.439632,-1.403736,-0.008912,-2.030774,0.986367,0.55816,0.662194,-1.353425,-2.288651,-2.434274,-0.614095,-3.296732,-1.290726,-2.176603,-3.731055,-1.501255,-3.626026,-1.140727,-1.163255,-1.781665,-2.391574,-0.625653,-1.111129,0.720007,1.469736,-1.860889,-3.285937,-3.130468,-1.958829,2.238855,2.379116,4.113814,-2.866872,-4.35218,0.032693,2.29023,7.343933,-5.532397,-3.845042,-0.840565,2.5227,4.346294,-3.443644,-2.895711,0.851628,2.737084,4.584285,2.502886,1.838866,2.081621,-3.615872,-1.445438,0.775478,4.845999,3.118421,0.64322,1.89865,-4.185067,-1.67445,2.110027,5.454688,2.001866,1.650859,-1.177322,-2.761929,-0.541937,2.002335,1.486647,-2.311275,-2.651265,-3.339072,-0.158838,-0.874326,1.155143,1.190657,1.34596,-3.409131,-0.749496,0.09186,-0.281702,2.055858,-0.801173,-1.54311,-0.748375,-0.439278,-2.230415,0.668432,0.54818,-1.493828,-1.242776,-0.973175,-3.437564,-0.62006,-0.124169,-1.956937,-2.022919,-0.72949,-1.131474,1.617943
N1_0059_sec120-export,-0.16267,0.449177,0.444261,0.94589,2.057617,2.895973,2.661673,0.62332,0.246269,1.248299,1.720772,2.159122,2.526675,1.024231,-0.068641,1.468247,-0.071468,2.118562,1.940014,2.015313,0.483504,-0.075918,2.081489,1.106758,0.418299,1.306322,0.144129,1.776097,2.310248,2.497511,2.807635,0.104031,-0.943934,1.21695,1.41071,1.970297,2.300093,-0.173346,-1.221974,-0.80677,0.456764,0.996142,-0.104112,-1.798964,-1.961116,-1.420599,-0.35464,0.122343,-0.724534,-1.649879,-0.804825,-0.309649,1.20954,2.150779,2.183945,-1.522432,-2.368781,-1.748049,-1.104443,0.053063,0.897895,0.555197,-1.456267,-1.676292,-1.644378,-0.774746,-0.299496,-1.477067,-1.074356,-1.256151,-1.389173,-0.321091,-0.65513,-0.399178,-0.979394,-0.35621,0.370776,0.506517,1.103376,2.334499,-1.27862,-1.611998,-1.185587,0.362847,0.953866,1.478002,1.806906,-2.308083,-2.999814,-2.645807,-0.355564,0.284447,0.663596,-2.660621,-2.507144,-2.624838,-1.812678,-0.455524,-2.055034,-3.009902,-2.535387,-0.460149,-0.049096,0.307213,2.090039,2.784139,-1.547747,-3.749762,-1.10374,0.091096,1.585885,2.384746,-0.488204,-2.07181,-2.169704,-0.245677,0.515609,1.855734,-2.159238,-1.382014,-0.482141,-1.411284,-0.873614,0.895609,-1.043395,-0.387696,0.436309,0.122569,2.788615
N1_0060_sec120-export,2.189338,1.817109,2.070038,1.741769,1.842959,2.998897,2.819671,3.490139,2.355619,2.364501,2.228199,2.429467,2.986465,2.616331,2.551867,2.455591,3.199618,2.199432,2.225467,2.978831,2.960075,2.72094,2.600835,2.245863,3.851854,3.533134,3.357255,3.195522,2.966361,2.311122,1.374565,2.993674,3.560688,3.108141,2.680406,2.449725,0.775387,2.013102,1.893015,2.398935,1.869557,0.705989,0.979963,1.531411,0.836214,0.157039,0.963474,1.040859,0.543616,-2.934623,-0.954751,-0.252383,-0.726645,-0.260711,0.516881,-2.098656,-4.010441,-5.964266,-1.895745,-1.393914,-1.593953,-1.568047,-2.600318,-4.813464,-4.579801,-2.23474,-2.068826,-3.000803,-3.815062,-4.118633,-3.838933,-2.491031,-2.237876,-2.232565,-3.309036,-2.127204,-1.827275,-1.679657,-0.683669,1.085553,-1.51994,-3.087804,-3.174621,-1.42402,-1.175796,-0.629324,0.857589,-2.645,-3.217553,-4.737501,-3.214047,-2.079977,-0.722581,-2.096389,-4.962097,-7.776213,-4.397767,-1.958575,-1.780981,-5.757509,-6.563254,-2.76483,-0.646962,0.845561,1.647591,2.726414,-1.43405,-4.966765,-0.708775,0.077969,1.439621,2.206368,0.409721,0.298308,0.553224,0.709557,1.233662,1.021396,1.621272,1.009685,1.608234,2.142187,0.811028,1.509952,1.548338,1.73896,1.852855,1.968487,2.13491
