File,EEG 1-bc_avg_k,EEG 2-bc_avg_k,EEG 3-bc_avg_k,EEG 4-bc_avg_k,EEG 5-bc_avg_k,EEG 6-bc_avg_k,EEG 7-bc_avg_k,EEG 8-bc_avg_k,EEG 9-bc_avg_k,EEG 10-bc_avg_k,EEG 11-bc_avg_k,EEG 12-bc_avg_k,EEG 13-bc_avg_k,EEG 14-bc_avg_k,EEG 15-bc_avg_k,EEG 16-bc_avg_k,EEG 17-bc_avg_k,EEG 18-bc_avg_k,EEG 19-bc_avg_k,EEG 20-bc_avg_k,EEG 21-bc_avg_k,EEG 22-bc_avg_k,EEG 23-bc_avg_k,EEG 24-bc_avg_k,EEG 25-bc_avg_k,EEG 26-bc_avg_k,EEG 27-bc_avg_k,EEG 28-bc_avg_k,EEG 29-bc_avg_k,EEG 30-bc_avg_k,EEG 31-bc_avg_k,EEG 32-bc_avg_k,EEG 33-bc_avg_k,EEG 34-bc_avg_k,EEG 35-bc_avg_k,EEG 36-bc_avg_k,EEG 37-bc_avg_k,EEG 38-bc_avg_k,EEG 39-bc_avg_k,EEG 40-bc_avg_k,EEG 41-bc_avg_k,EEG 42-bc_avg_k,EEG 43-bc_avg_k,EEG 44-bc_avg_k,EEG 45-bc_avg_k,EEG 46-bc_avg_k,EEG 47-bc_avg_k,EEG 48-bc_avg_k,EEG 49-bc_avg_k,EEG 50-bc_avg_k,EEG 51-bc_avg_k,EEG 52-bc_avg_k,EEG 53-bc_avg_k,EEG 54-bc_avg_k,EEG 55-bc_avg_k,EEG 56-bc_avg_k,EEG 57-bc_avg_k,EEG 58-bc_avg_k,EEG 59-bc_avg_k,EEG 60-bc_avg_k,EEG 61-bc_avg_k,EEG 62-bc_avg_k,EEG 63-bc_avg_k,EEG 64-bc_avg_k,EEG 65-bc_avg_k,EEG 66-bc_avg_k,EEG 67-bc_avg_k,EEG 68-bc_avg_k,EEG 69-bc_avg_k,EEG 70-bc_avg_k,EEG 71-bc_avg_k,EEG 72-bc_avg_k,EEG 73-bc_avg_k,EEG 74-bc_avg_k,EEG 75-bc_avg_k,EEG 76-bc_avg_k,EEG 77-bc_avg_k,EEG 78-bc_avg_k,EEG 79-bc_avg_k,EEG 80-bc_avg_k,EEG 81-bc_avg_k,EEG 82-bc_avg_k,EEG 83-bc_avg_k,EEG 84-bc_avg_k,EEG 85-bc_avg_k,EEG 86-bc_avg_k,EEG 87-bc_avg_k,EEG 88-bc_avg_k,EEG 89-bc_avg_k,EEG 90-bc_avg_k,EEG 91-bc_avg_k,EEG 92-bc_avg_k,EEG 93-bc_avg_k,EEG 94-bc_avg_k,EEG 95-bc_avg_k,EEG 96-bc_avg_k,EEG 97-bc_avg_k,EEG 98-bc_avg_k,EEG 99-bc_avg_k,EEG 100-bc_avg_k,EEG 101-bc_avg_k,EEG 102-bc_avg_k,EEG 103-bc_avg_k,EEG 104-bc_avg_k,EEG 105-bc_avg_k,EEG 106-bc_avg_k,EEG 107-bc_avg_k,EEG 108-bc_avg_k,EEG 109-bc_avg_k,EEG 110-bc_avg_k,EEG 111-bc_avg_k,EEG 112-bc_avg_k,EEG 113-bc_avg_k,EEG 114-bc_avg_k,EEG 115-bc_avg_k,EEG 116-bc_avg_k,EEG 117-bc_avg_k,EEG 118-bc_avg_k,EEG 119-bc_avg_k,EEG 120-bc_avg_k,EEG 121-bc_avg_k,EEG 122-bc_avg_k,EEG 123-bc_avg_k,EEG 124-bc_avg_k,EEG 125-bc_avg_k,EEG 126-bc_avg_k,EEG 127-bc_avg_k,EEG 128-bc_avg_k,Cz-bc_avg_k
1b_a3001,-1.221515,-1.224597,-2.079535,-2.953907,-3.423726,-3.396542,-2.611025,-0.744352,-0.212531,-2.949976,-2.901014,-2.922494,-2.237751,-0.579833,-1.369054,-2.671234,-1.505938,-2.089994,-3.749685,-1.808602,-0.864801,-1.006536,-2.121512,-1.565745,-1.378998,-1.655149,-1.59428,-1.316869,-1.719456,-1.973847,-0.062289,-1.381394,-2.63115,-1.09064,-0.93672,-1.064923,0.03075,-1.148798,-1.312192,-0.823619,-0.426432,0.927564,-0.343321,0.36249,0.597483,0.593273,0.641387,-0.692108,-2.345546,1.343322,1.463431,1.493257,1.66872,1.775344,0.344153,0.998002,1.063145,1.58005,1.951619,1.999998,2.127558,2.641876,1.501845,1.585725,2.116064,3.193113,3.069995,1.790955,2.054388,2.732649,1.576915,2.311917,1.493878,1.801387,1.118966,1.095487,2.006427,2.858367,1.241497,-0.664921,0.961639,1.647767,1.86296,2.350257,3.936811,1.866979,-0.622872,1.357887,2.307341,3.601833,2.42135,1.441507,1.032906,1.507815,2.870196,2.436588,1.362909,0.559629,2.336938,1.304947,1.026203,0.383149,0.444671,-0.132164,-1.01672,-2.538723,0.981625,0.597726,-0.322447,-0.294481,-1.34648,-3.220793,1.016084,-0.318033,0.166396,-0.39607,-1.625896,-2.710592,-0.602687,-0.375471,-0.615472,-0.995561,-1.396981,-3.183868,-0.79329,-0.680474,-0.508826,-0.993926,-1.470736
1b_a3009,1.628642,3.448167,4.021746,3.407075,2.774214,2.580103,2.301668,4.199564,4.934461,5.180416,4.222128,3.929322,4.008023,6.513557,7.759945,3.815845,3.279563,8.025353,4.993525,2.957162,8.317357,10.150655,6.317906,3.103082,5.196643,4.528124,1.248921,0.247786,-0.193204,0.127988,1.572299,-0.797781,0.445058,0.031691,-0.636699,-1.357058,-2.389287,-0.943679,-0.69774,-0.711873,-0.515713,-0.893065,-1.387739,-1.860864,-1.568463,-1.03813,-0.744946,-1.6442,-0.854036,-2.602439,-1.920637,-2.065605,1.356244,2.970239,0.596236,-2.792126,-3.180832,-3.931674,-3.369325,-1.176608,1.637955,0.569802,-7.007632,-5.753765,-4.829832,-3.934289,-0.783969,-5.030977,-5.276365,-4.447465,-2.226858,-0.778369,-4.017668,-4.233327,-3.381034,-2.403019,-2.038561,-1.002902,0.118683,1.269939,-2.957624,-4.576354,-5.09898,-2.909021,-1.371639,-0.862834,1.535401,-3.55194,-6.036335,-5.580328,-2.905427,-1.862441,0.333156,-6.000881,-5.698958,-4.306848,-0.556833,0.075415,-2.827038,-2.288067,-1.568112,0.22675,0.710225,0.99344,1.700856,3.301394,1.315174,0.470076,1.156653,1.413963,2.054664,3.101397,-2.992024,-1.183816,2.050352,2.185609,2.356673,3.217041,-2.997782,-1.40004,-1.86962,2.597592,3.30739,4.03406,-1.886167,-3.909195,0.13972,-0.495678,2.049645
1b_a3010,1.191771,0.835522,0.173811,-0.179974,-0.467317,-0.314151,-0.080696,0.991145,0.125055,-0.808156,-0.805459,-0.238946,-0.166588,0.325459,-0.521036,-0.849046,-0.160068,-0.658327,-0.366989,-0.755205,0.373519,-0.448657,-0.611053,-0.824949,0.271299,-0.449834,-0.987842,-0.617516,-1.058033,-0.586631,-0.246185,-0.547449,-0.342517,-0.085895,-0.346384,-0.425217,-0.362714,0.564278,-0.248363,-1.01407,-1.150636,-1.305695,0.218771,1.654819,-0.468314,-1.113088,-1.103948,-0.332053,0.089579,-0.3693,-0.905916,-0.588712,-1.367141,-0.124071,-0.34952,-0.5813,0.07554,-2.17603,-3.848887,-1.734383,-1.010326,1.489107,-1.413637,-1.263931,-3.690808,-4.552695,-1.032892,-1.045433,-1.137392,-1.549163,-2.644359,-0.109969,-0.449475,0.113949,-0.178895,0.320643,0.229155,0.607161,1.128909,0.315264,-1.023639,-0.724566,0.170578,0.485493,0.644833,0.727687,0.840345,0.481626,0.47686,0.231001,0.746079,0.839795,1.408225,1.311597,0.644104,0.882624,0.948732,1.329946,0.216796,1.172472,0.974877,1.041244,1.106045,1.565297,1.193858,0.00477,1.849647,1.905382,1.843915,1.46006,0.677834,0.226383,1.899221,1.514894,2.035354,1.148842,0.507852,0.420266,0.602091,1.559003,1.95043,1.719924,0.530036,0.365836,1.412681,0.926625,-0.400529,0.477145,-0.251088
1b_a3011,-0.181041,1.788202,2.682232,2.380909,2.409843,1.595503,2.004862,2.71753,3.233901,2.451159,2.045972,1.789971,2.275348,2.977659,3.019007,2.177257,2.838461,2.890867,3.136507,2.01204,2.792565,4.920427,3.382863,2.424951,3.376122,3.789949,2.453528,2.685793,1.837707,2.167829,2.504812,3.173551,1.900429,2.044923,2.27406,2.295946,0.815386,1.133087,1.647253,1.962269,1.073667,1.18829,0.476921,0.693212,0.785038,-0.291781,0.793657,2.228642,0.819597,-0.743968,0.02692,0.151625,0.381819,1.550434,2.777371,-0.991662,-2.302015,-3.581967,-2.093823,-1.179298,1.046977,-1.778082,-2.26013,-3.798579,-7.83379,-6.505681,-3.739227,-5.046851,-5.110654,-7.730677,-4.892128,-2.422025,-0.732218,-2.538283,-4.037897,-2.612627,0.108814,-2.019437,1.787866,2.331985,-3.394236,-3.394631,-3.567817,-4.052447,-1.172677,-1.13589,1.868507,-3.096979,-3.189207,-5.762049,-4.088223,-1.793805,0.712241,-3.671894,-3.863186,-5.516321,-2.21102,0.129416,-3.916489,-3.566423,-2.848813,0.181888,0.820704,1.614399,2.287831,2.753617,-3.018046,-0.438954,0.439285,1.117599,2.204207,1.415516,-4.132837,-1.481937,0.619249,1.324606,1.439266,1.461406,0.583607,-1.462768,-0.605867,0.16096,1.891549,2.20584,0.407734,1.126311,0.459129,1.712599,2.635371
1b_a3012,-0.426567,0.591254,0.838328,0.716332,1.400649,1.22145,1.641421,0.216545,0.657538,1.159883,0.077554,0.593831,1.216954,0.258448,0.115279,-0.002534,0.440559,0.013355,0.694621,1.008459,-0.118381,-0.007886,0.248168,1.224449,0.117048,0.520864,0.684754,0.831968,1.507125,1.603628,1.772672,-0.111878,0.681021,1.211698,0.36112,0.969714,1.84043,-0.222905,0.452634,1.745987,0.329906,1.305021,-0.121174,-1.158461,-0.009185,2.715199,0.560333,-1.535242,-0.654737,-0.135187,0.831073,0.817762,1.754363,1.749542,1.831932,-1.851875,-1.75378,-0.630181,-2.334897,1.007295,1.748156,1.788751,-2.364282,-2.45439,-2.066815,-0.603455,0.324697,-3.120566,-2.667279,-3.238261,0.074653,0.554775,-2.537156,-3.399033,-3.684892,-1.559471,1.215644,2.219026,1.8329,1.85464,-3.153765,-4.136828,-3.673985,-1.955423,2.043406,2.49449,2.035082,-3.696732,-4.236162,-3.237357,-0.075417,1.668681,1.857234,-3.817753,-3.897048,-2.894181,-0.177324,0.582321,-4.142286,-3.691368,-2.640461,1.060549,0.795392,1.952862,1.614808,1.657421,-2.810698,-0.596977,1.790233,1.586672,1.955145,1.553377,2.438158,-0.693748,0.380381,2.071919,0.400145,1.487711,-2.381706,-0.427618,-0.825441,1.001559,1.956321,1.432719,2.438158,-1.224748,-0.777146,0.090334,2.438158
1b_a3017,-2.807842,-2.132951,1.04699,5.577059,-0.843343,5.308298,-2.989399,-6.217912,-4.650793,-2.659403,-0.393009,3.540987,-2.337556,-7.094543,-6.980442,-2.529221,-8.991083,-2.358634,14.422914,-2.904757,-8.645101,-2.580931,-4.623722,3.45632,-9.289574,-5.362765,9.878123,-5.293778,-5.055611,-5.02031,5.300684,-3.571649,-7.022849,-2.199737,-0.210383,1.755106,-10.268565,15.087814,-4.866458,-0.793091,-2.114157,0.173952,3.688293,1.501508,1.41128,0.209679,0.374252,4.887956,2.055584,-2.235474,-0.529698,-1.025616,-3.477084,-0.390329,8.407461,-4.455543,-3.593063,-3.911875,-0.740217,-9.758325,9.824057,8.799086,-3.714357,-3.305081,-7.319292,-4.557299,8.234985,4.803309,1.144151,0.061665,1.210098,11.315058,1.672521,4.715816,5.475137,-2.304517,7.834163,11.324292,3.454751,3.442339,5.677947,5.096345,7.412115,6.10826,4.387474,3.743939,3.45029,5.750987,6.026202,3.944092,3.885128,2.38879,1.339943,5.700319,-10.252932,-0.85424,1.192344,5.292309,-8.279148,-14.712914,14.389745,-2.57586,4.725764,0.908597,-0.858017,3.841227,-12.050854,5.824224,4.173038,3.164636,4.155674,-0.313291,-11.439112,-7.689236,-1.637072,4.334188,3.2729,-0.613049,-8.394973,-8.538877,-5.031401,-0.144671,0.130872,-4.294657,-5.498132,-3.684852,3.91627,-6.128167,1.489471
1b_a3018,3.064394,3.739229,4.451452,3.002609,0.408461,1.479087,2.10075,7.298266,4.623321,3.381924,2.097449,1.732252,2.082122,6.41296,3.831705,4.811656,3.913888,2.383418,1.838735,1.499704,4.326313,2.701068,1.761492,1.564604,3.180714,1.9362,1.457816,1.580633,1.550662,1.543088,1.518598,2.337507,1.425678,1.923875,2.865431,2.664923,1.121818,1.909611,1.166488,0.951407,1.239254,0.761037,5.786039,-1.574255,0.265933,0.291455,0.161226,1.624771,1.535065,-1.951757,-3.169352,-2.232266,-0.207464,-0.23667,0.908583,0.18214,-1.068869,-5.088356,-4.958364,-3.29873,-1.289929,-5.293086,-3.817401,-3.085311,-5.826959,-4.503385,-4.859204,-6.044676,-4.934071,-5.525448,-5.510301,-4.817747,-4.176911,-4.185938,-4.298848,-5.109128,-5.267928,-0.99272,0.585855,1.330195,-4.826947,-5.188349,-5.950467,-5.247246,-3.238023,0.143951,1.372881,-4.95121,-4.671134,-5.684625,-3.480845,-1.555689,0.917015,-4.703736,-3.770107,-3.663687,-2.582347,0.17293,-2.681031,0.332128,-1.325242,0.261887,1.320382,2.251009,2.39303,2.633025,0.368561,0.198556,1.398684,2.26954,2.288016,2.476402,0.40999,1.364002,1.282294,1.735437,2.618567,2.760756,-0.260218,1.025119,1.672673,1.842469,2.559359,2.805202,1.339933,0.925603,1.664845,1.90179,2.087078
1b_a3019,-4.492677,-5.820443,-3.993088,-3.721129,-2.440308,-1.705209,2.250379,-6.241694,-5.567279,-4.442405,-1.144183,-2.012864,1.275887,-6.078374,-3.824654,-2.654245,-5.442824,-3.044704,-1.806459,-1.392075,-4.044533,-2.145624,-0.713531,-1.008291,-1.459713,1.185834,-1.75351,-0.942998,1.125154,1.875343,1.911415,1.649626,-0.81539,-1.368383,2.240898,2.241388,-1.726105,0.28775,-1.023739,1.37021,0.043161,-1.633788,-1.173247,-1.325819,-0.523184,-0.990256,-0.622295,-1.583632,-1.320411,0.166711,0.233867,0.268607,2.027672,2.418588,2.890236,0.189483,0.566409,4.294182,5.184653,6.292082,5.064015,5.190367,1.645691,1.254382,4.729371,5.884069,2.554722,10.354372,8.060419,3.640036,3.385233,5.437317,3.376196,2.494677,4.043161,4.642489,4.156004,0.202376,0.160654,0.433633,-1.351535,2.708165,4.064733,2.051235,0.326554,-0.137768,-0.057326,2.993938,1.00035,0.240911,-0.050768,-1.703125,-0.208447,3.852987,-0.03285,0.144704,-0.310017,0.06006,0.594137,-0.401065,-0.446805,-1.29244,-1.362486,-1.118707,-1.110753,0.14918,-0.661903,-1.17956,-2.391061,-1.506674,-2.149465,-1.917247,-0.17835,-2.128781,-0.38108,-1.198841,-1.269862,-1.576286,0.187292,-0.505131,-3.595233,-4.486576,-1.50974,-2.052748,-2.662453,-1.858233,-1.965148,-0.918401,0.602958
1b_a3020,1.690629,3.173113,4.402287,4.599446,4.45715,4.002606,-2.49273,4.719518,6.296927,5.657087,4.36317,4.971652,6.180104,7.522114,5.840979,5.07831,5.553846,6.332708,4.969464,5.018088,6.285457,6.693398,5.585742,5.082326,9.983543,3.939749,5.218398,4.359359,3.835869,0.055096,2.051692,1.721353,1.370742,2.844197,1.187695,0.888654,2.317357,-0.096428,0.74831,1.535981,1.079749,1.89843,-1.117727,0.263251,0.565655,1.249257,1.672122,-3.431187,-2.621022,0.392849,-0.113214,-0.84288,-1.029729,0.537295,-2.973685,-3.165715,-2.754648,-3.125861,-3.181005,-2.28768,-3.70725,-4.879051,-3.854833,-3.81721,-4.002721,-4.404362,-3.684464,-5.579217,-5.209343,-5.171139,-4.842032,-3.432675,-5.149072,-5.032906,-5.265318,-4.590415,-4.014388,-3.980224,-2.258653,1.388439,-3.99753,-4.134173,-4.153101,-4.395975,-4.028412,-1.894917,1.10008,-4.168137,-5.574489,-4.419602,-3.267505,-2.234994,0.326756,-5.044019,-5.494248,-5.18392,-2.43194,-0.885691,-4.94818,-5.341312,-3.910403,-0.815518,-0.239873,1.079086,1.802714,2.496959,-5.624641,-3.51542,0.604336,0.91168,2.030487,2.805903,-1.771271,-2.2931,0.408689,1.562876,1.791065,3.090992,-0.046101,-0.363062,0.671928,1.233652,3.129824,3.420389,0.723134,1.236428,0.077976,0.319899,1.880306
1b_a3025,0.908538,4.466236,7.724478,7.666247,6.62353,6.667737,6.667827,8.863776,5.93454,5.96552,5.139771,4.888052,4.549599,5.828415,5.169753,5.593205,6.691197,5.770232,4.836658,3.577181,7.15525,4.745452,3.871952,3.726536,5.839925,2.670867,2.697135,1.279379,2.954733,4.150981,5.146901,1.392632,0.436008,0.411617,0.604221,2.119717,3.131884,-1.04436,-1.52037,-0.719666,-0.030784,0.288045,-3.651937,-3.126181,-4.237447,-2.495325,-0.181349,-3.375609,-4.357673,-5.063443,-3.337742,0.375581,1.124884,2.108421,0.986775,-5.678968,-6.661777,-5.821718,-4.137662,-2.503447,0.99905,-0.41686,-5.112699,-8.030494,-6.888422,-5.905956,-3.999314,-5.772638,-4.819948,-3.221311,-2.785626,-1.28032,-4.296643,-3.240853,0.036797,0.118764,0.467219,0.943016,1.208865,2.022728,-4.103007,-4.728711,-3.938129,-3.596664,-2.178488,-0.962131,1.169287,-3.723061,-5.060301,-5.906594,-3.474969,-1.272072,-0.818972,-8.059483,-7.88681,-5.704001,-2.574836,-1.27637,-6.313108,-5.618183,-4.565012,-1.597236,0.047495,1.563988,2.414752,6.234635,-6.570202,-2.487533,0.560654,1.376631,2.650091,7.087498,-4.514726,-2.608117,-1.466023,0.53895,2.596463,7.197206,-0.363883,-1.566249,-1.439221,1.248871,2.767466,7.327066,-1.461546,-2.142137,-1.514924,-0.745559,2.625932
