File,E1-rms_s,E2-rms_s,E3-rms_s,E4-rms_s,E5-rms_s,E6-rms_s,E7-rms_s,E8-rms_s,E9-rms_s,E10-rms_s,E11-rms_s,E12-rms_s,E13-rms_s,E14-rms_s,E15-rms_s,E16-rms_s,E17-rms_s,E18-rms_s,E19-rms_s,E20-rms_s,E21-rms_s,E22-rms_s,E23-rms_s,E24-rms_s,E25-rms_s,E26-rms_s,E27-rms_s,E28-rms_s,E29-rms_s,E30-rms_s,E31-rms_s,E32-rms_s,E33-rms_s,E34-rms_s,E35-rms_s,E36-rms_s,E37-rms_s,E38-rms_s,E39-rms_s,E40-rms_s,E41-rms_s,E42-rms_s,E43-rms_s,E44-rms_s,E45-rms_s,E46-rms_s,E47-rms_s,E48-rms_s,E49-rms_s,E50-rms_s,E51-rms_s,E52-rms_s,E53-rms_s,E54-rms_s,E55-rms_s,E56-rms_s,E57-rms_s,E58-rms_s,E59-rms_s,E60-rms_s,E61-rms_s,E62-rms_s,E63-rms_s,E64-rms_s,E65-rms_s,E66-rms_s,E67-rms_s,E68-rms_s,E69-rms_s,E70-rms_s,E71-rms_s,E72-rms_s,E73-rms_s,E74-rms_s,E75-rms_s,E76-rms_s,E77-rms_s,E78-rms_s,E79-rms_s,E80-rms_s,E81-rms_s,E82-rms_s,E83-rms_s,E84-rms_s,E85-rms_s,E86-rms_s,E87-rms_s,E88-rms_s,E89-rms_s,E90-rms_s,E91-rms_s,E92-rms_s,E93-rms_s,E94-rms_s,E95-rms_s,E96-rms_s,E97-rms_s,E98-rms_s,E99-rms_s,E100-rms_s,E101-rms_s,E102-rms_s,E103-rms_s,E104-rms_s,E105-rms_s,E106-rms_s,E107-rms_s,E108-rms_s,E109-rms_s,E110-rms_s,E111-rms_s,E112-rms_s,E113-rms_s,E114-rms_s,E115-rms_s,E116-rms_s,E117-rms_s,E118-rms_s,E119-rms_s,E120-rms_s,E121-rms_s,E122-rms_s,E123-rms_s,E124-rms_s,E125-rms_s,E126-rms_s,E127-rms_s,E128-rms_s,GFP-rms_s
r4c12_ec_p3-mux,1.066776,0.979397,0.573114,0.149727,0.161418,0.053637,-0.159467,0.398988,0.773959,0.571872,0.144857,0.106934,0.064147,0.55953,0.962312,-0.558878,1.662947,0.668139,0.456442,0.408567,0.063194,-0.48,0.269113,0.579542,0.47531,2.744529,0.865154,0.579046,0.281703,0.138369,0.059517,0.137731,1.836756,0.56281,0.448602,0.299162,0.290672,-0.027578,1.289797,0.408488,0.289797,0.152421,-0.168053,1.595122,0.9351,-0.025634,-0.017526,-0.450818,0.533467,-0.496919,-0.39091,-0.60386,-0.07154,0.514894,0.378216,0.27147,-0.350447,-0.360534,-0.45211,-0.119411,1.542486,1.225361,0.738985,-0.138858,-0.199117,0.487566,1.233917,2.068529,0.705277,0.220493,0.261462,0.996271,1.514489,0.095234,0.189603,0.214672,0.441218,1.106169,0.912693,0.835377,-0.160168,0.198317,0.290348,0.175162,-0.758021,-0.541661,0.249958,-0.11778,-0.272962,-0.264187,-0.105523,-1.037642,-0.462369,0.017599,0.272477,-0.249632,-0.579176,-0.252578,-0.155293,0.333393,-0.106311,-0.016624,0.020823,-0.312033,0.074293,-0.661678,-0.039256,-0.283261,0.536553,0.140591,0.269654,-0.071044,0.068,0.574551,0.396009,1.340147,0.355201,0.239716,0.104371,1.206472,0.397126,0.281952,0.406017,0.275773,1.581034,1.032781,1.917437,1.736995,0.731835
r4c13wb-mux,0.725636,4.750389,4.422065,3.162326,2.118871,1.95414,1.200734,6.879455,4.151625,3.056068,2.746308,1.784835,0.852424,4.24757,3.761477,3.047645,3.496011,3.266383,2.531755,1.907161,1.96113,1.490687,3.238401,2.921539,2.752834,0.615941,3.398768,2.914766,2.522111,0.79891,0.238667,-0.550808,2.274091,4.725092,1.74465,0.653821,0.910188,-0.943918,3.781058,2.555666,1.522784,1.018269,-0.28939,2.839273,2.709903,1.682079,0.912141,0.334009,0.878372,0.617471,0.333298,-0.246274,-0.382747,-0.731964,-0.861141,0.666193,1.076998,0.225023,-0.049442,-0.366121,-0.446801,-0.773878,1.139804,0.560909,0.13278,0.454442,-0.07883,0.123311,1.293253,0.961005,0.388299,0.300927,0.168807,1.364909,1.547633,0.184219,-0.224564,-1.024767,-0.630209,-1.029819,-0.369803,1.769778,-0.196603,-0.616703,-0.951696,-2.520784,-1.97403,-0.72725,1.296078,-0.699508,-2.599333,-2.954989,-2.368484,-1.260153,0.89919,-1.298729,-1.756023,-1.638449,-1.639807,1.549366,-0.284946,-0.672608,-0.471197,-0.213238,-0.066527,0.243506,0.551107,2.417038,1.666302,1.134376,1.71208,1.693023,1.688739,4.42653,3.359521,2.09274,2.534797,2.357632,2.112227,3.335829,4.061806,3.94899,2.703683,3.061513,5.107662,4.443902,4.932612,4.417534,2.045759
r4c14_ec_p3-mux,-1.216033,0.874331,0.56435,0.118552,-0.276167,-0.099218,0.166061,-0.088363,-0.444031,-0.493667,-0.55378,-0.592584,-0.130468,-0.598356,-0.223812,-0.36124,-0.96305,-0.268786,0.499599,-0.67849,-0.499209,-0.319402,0.484471,-0.457518,-0.893812,-0.754712,0.055927,-0.677178,-0.741221,-0.965911,-0.371261,0.051547,-0.597587,-0.144472,-1.304333,-0.9458,-0.956056,-0.495586,-1.070267,-0.710226,-1.582756,-2.019866,-1.703712,-1.045951,-1.493611,-1.725845,-2.1355,-2.641167,-1.369178,-2.979111,-3.594289,-2.944233,-1.653124,0.084914,0.47746,-1.843157,-4.487134,-5.539511,-4.670933,-3.778781,-0.520386,0.339153,-2.701668,-4.766389,-4.27267,-3.504569,-1.02438,0.321169,-2.513986,-3.367305,-3.268231,-2.378774,-0.715173,-2.982625,-2.21511,-2.199628,-1.256942,-0.598635,-0.119699,0.513141,0.484669,-1.814283,-1.859086,-2.530161,-2.109504,-1.801047,-0.161171,0.85739,-1.751878,-1.809222,-2.143647,-3.442931,-1.016382,-0.047101,-1.21063,-2.516501,-2.883429,-1.522051,-0.124906,-1.242654,-1.828615,-1.812623,-0.28631,0.240179,0.633532,0.027279,0.54312,-1.254272,-0.553799,0.333617,0.66134,0.275069,-0.140163,-0.148006,0.355066,0.65656,0.553048,0.648298,0.209657,0.151502,0.773186,0.660819,0.340134,0.394276,0.408313,0.365312,-0.323613,-0.767002,1.61169
r4c16_ec_p3-mux,-0.782503,-0.004944,-0.227374,-0.354901,-0.679322,-0.383444,-0.03901,0.6049,-0.145666,-0.907633,-0.522798,-0.096937,0.196992,0.181966,0.160991,-1.391744,-0.718736,-0.248117,-0.740182,-0.235231,0.10046,0.146113,-0.595205,-0.351938,-0.086992,0.676854,-0.394113,-0.083717,0.093131,0.65244,0.581852,0.456986,-0.455401,-0.138728,0.529501,0.588149,0.402167,1.213757,-0.019309,0.564712,0.552314,0.500567,0.697127,-0.297197,0.555531,0.490674,0.480791,0.546016,-0.201713,0.37492,0.441677,0.822405,1.139276,1.281551,0.871499,-0.939556,0.680454,0.36401,2.478589,1.470521,1.640477,2.606232,-0.982244,0.95971,1.638403,1.346325,1.645759,2.69508,0.004901,1.783741,1.784223,1.844007,1.879647,0.653601,1.492904,1.513412,1.565029,3.373575,3.067055,1.372841,0.727007,0.383652,1.177097,1.093686,1.277537,2.287949,1.913378,0.539239,-0.008186,1.041832,1.295788,1.759401,1.359033,0.458673,-0.078082,-0.164927,0.020323,0.770652,0.6231,-0.02895,0.050528,-0.341678,-0.112971,-0.124096,-0.246181,0.120683,-0.118889,0.035204,-0.280294,-0.195516,-0.180258,-0.211038,-0.137486,-0.299827,-0.359887,-0.206789,-0.269047,-0.316248,-0.361856,-1.565467,-0.985356,-0.758167,-0.135679,-0.029359,-1.9308,-3.088378,-0.866045,-0.551248,1.029076
r4c17_ec_p3-mux,0.331011,0.113429,0.206,0.166793,0.089619,0.340562,0.241311,-0.857333,0.015513,0.124543,0.192649,0.349697,0.158674,-0.674556,-0.870367,-0.113157,-0.980933,-0.838767,-0.365577,0.301236,0.325949,-2.6948,-0.612933,0.293669,0.298893,-2.500511,0.421631,0.286813,0.076319,-0.296211,-0.404278,-0.075864,0.762898,0.309026,-0.263078,-0.8082,-0.957178,-1.181978,-0.097117,-0.317567,-1.0581,-1.319389,-1.5867,0.184594,-0.561146,-1.153333,-1.360544,-1.820733,-0.776528,-1.784,-2.441355,-2.3467,-1.824233,-0.652167,-0.425511,-1.346255,-2.217045,-2.412211,-2.828134,-2.3389,-1.3878,-0.742022,-2.252467,-2.455756,-2.230767,-2.168067,-1.5811,-1.4372,-2.350411,-2.276889,-1.899511,-1.924433,-1.703145,-2.271978,-2.081778,-1.9467,-2.151744,-2.004256,-1.674311,-0.252611,-0.351722,-2.139611,-1.983211,-2.422889,-2.507934,-2.847633,-1.506922,-0.211978,-2.154689,-2.5661,-2.815056,-2.070122,-2.279722,-1.252367,-1.190645,-1.933422,-1.899878,-1.739044,-1.467844,-1.035444,-1.168078,-0.993844,-1.187656,-1.276367,-1.030911,-0.328567,-0.071446,-0.906256,-0.262999,-0.297644,-0.121792,-0.345333,-0.050227,-0.660964,-0.076433,-0.004351,-0.103561,0.001442,0.125011,-0.402004,0.067342,0.012488,0.175267,0.089246,0.233228,0.376862,0.320157,0.656842,1.013128
r4c18_ec_p3-mux,1.836341,2.038017,1.822696,1.578809,0.884223,1.049729,0.679187,1.821708,2.123251,1.881561,1.46309,1.346552,0.806409,1.998374,2.146109,2.006685,2.664664,-0.227063,1.744149,1.22922,0.593829,1.507923,1.820426,1.540421,0.624661,1.05394,1.327041,0.736964,0.082478,-0.57866,-0.898489,-0.702811,2.599135,1.118286,0.012198,-0.275906,-2.137267,-2.853244,1.077869,-0.045741,-0.962556,-1.427978,-2.855267,0.578339,-0.189976,-0.383098,-1.723567,-2.538011,0.009358,-1.144733,-2.558789,-3.790433,-3.889578,-1.871433,-1.775789,-0.279733,-0.724132,-2.314744,-3.774223,-5.784211,-3.897411,-2.533333,-0.607404,-2.388045,-4.195344,-4.629844,-4.770022,-3.524144,-1.7105,-4.564678,-4.807333,-3.918856,-3.959822,-2.019056,-3.784322,-3.951889,-3.798556,-5.208445,-3.3229,-1.577178,-0.377711,-3.588089,-3.804844,-4.501511,-5.1117,-6.426045,-3.535022,-1.272933,-4.859122,-4.6706,-4.455822,-5.751211,-4.644412,-1.879278,-3.1678,-2.914522,-1.965245,-2.608955,-1.9521,-1.979634,-1.380567,-0.508956,-0.678544,-0.724056,-0.532133,-0.388456,0.398579,-0.743544,0.197907,-0.057686,-0.103942,0.349517,0.371917,1.416681,1.128474,0.640174,0.778367,0.887089,0.523968,1.780029,1.748272,1.283864,1.18253,1.263697,2.367007,2.226604,-0.169267,1.394496,2.342241
r4c20_ec_p3-mux,-2.896111,-2.283111,-0.756622,-0.655033,0.054264,0.19411,0.192157,-3.205989,-1.927667,-1.312145,-0.828944,-0.221989,-0.439967,-2.822422,-1.275689,-1.598222,-2.562078,-2.887033,-1.772167,-1.384467,-0.149931,-3.635678,-3.079545,-0.297096,-0.698933,-4.800711,-2.0755,-1.472678,-0.754133,-0.616011,-0.499689,0.135446,-2.212811,-1.166367,-1.199256,-1.143244,-0.3084,-1.073356,-1.572133,-1.603544,-1.382044,-1.027633,-1.410156,-0.376145,-1.586845,-2.770989,-2.351456,-3.408834,-1.855967,-4.263311,-5.261244,-3.608644,-1.318589,-0.4499,-0.255489,-3.232034,-4.136311,-6.910255,-7.376078,-5.729722,-1.735978,-0.944944,-3.794122,-5.182378,-7.908711,-7.188666,-4.416978,-1.577622,-3.884956,-6.397955,-5.846978,-4.944623,-4.7261,-3.485822,-5.530378,-5.066411,-5.334055,-5.349666,-1.9822,-1.071267,-0.391711,-3.913567,-5.605011,-6.217511,-8.6511,-6.608489,-2.700889,-1.627233,-4.037222,-6.065811,-8.460878,-8.439655,-4.7406,-2.417278,-5.547756,-6.426444,-6.766111,-6.530211,-4.6578,-4.795445,-4.628844,-4.986767,-5.013067,-2.440667,-1.703122,-0.238723,0.014627,-3.672689,-4.279967,-2.958822,-0.247767,-0.743656,-0.076376,-2.921834,-2.4323,-1.586956,-1.689367,-1.275144,-0.390956,-1.038643,-1.957744,-0.952011,-1.279078,0.137944,-1.3235,1.332093,1.368851,-2.735322,2.328596
r4c23_ec_p3-mux,-0.757633,0.170951,-0.269946,0.035116,0.066286,0.266697,0.498503,-0.697444,-0.179623,-0.406782,0.121302,-0.010056,0.210313,-1.000066,-0.30484,-0.117371,-1.1218,-0.125033,-0.217911,-0.150238,-0.216607,-1.673233,-0.701624,0.154011,-0.105114,-1.349567,-1.261811,-0.708456,-0.24311,0.020319,0.025963,0.010942,-1.450711,-0.857779,-0.502122,-0.385744,-0.465044,0.277749,-0.955322,-0.873333,-0.602011,-0.462944,-0.416289,-0.9877,-0.612644,-0.632922,-0.659556,-0.6067,-0.524178,-1.173667,-0.911721,-0.62238,0.02167,-0.248351,-0.079602,-0.589966,-1.1564,-1.434818,-0.967443,-0.802201,-0.902733,-0.20334,-0.489216,-1.113774,-1.078838,-0.604709,-0.773553,-0.700332,-1.086117,-1.109256,-0.915804,-1.073541,-0.982198,-1.09176,-0.910748,-0.997698,-1.121665,-1.106413,-0.445789,-0.480656,-0.191932,-1.011693,-1.64915,-1.279179,-1.528985,-1.504932,-0.28856,-0.398281,-1.541197,-1.34888,-2.42829,-1.543131,-1.1124,-0.695184,-1.473838,-1.894879,-1.249617,-1.722533,-0.988097,-2.051622,-1.505611,-1.980311,-1.5155,-0.807667,-0.825711,-0.183283,-0.032701,-1.613533,-1.092189,-1.065,-0.582481,-0.357722,-0.132133,-0.742022,-0.649611,-0.990989,-0.063572,-0.234457,0.063476,-1.433267,-1.015389,-1.088344,-0.400989,-0.463033,-1.035422,0.34197,-1.932922,-1.734989,0.948609
r4c25_ec_p3-mux,1.645456,0.175359,0.17143,-0.243778,-0.235467,-0.1555,-0.056501,-0.681633,-0.138573,0.158396,-0.062677,-0.199289,-0.650689,-0.52686,-0.131932,0.131459,-0.431272,-0.271519,-0.233302,-0.262468,-1.222778,-0.359718,-0.355722,-1.779933,-1.505311,-1.086911,-1.839567,-1.580855,-1.464211,-1.309644,-1.216578,-0.746344,-1.351333,-1.7765,-3.198756,-3.301711,-3.225711,-3.269333,-1.585156,-3.587911,-3.710267,-4.209911,-4.767389,-2.420978,-3.483145,-3.957267,-4.418478,-4.827344,-2.995711,-5.084622,-6.213544,-5.969711,-4.632533,-2.572922,-0.970544,-5.001767,-5.202989,-6.690311,-7.972222,-6.3286,-4.276378,-2.246333,-6.367823,-7.218378,-8.746645,-9.298333,-6.492678,-4.441122,-7.195844,-8.517677,-8.629445,-9.092801,-6.183956,-7.775056,-8.628411,-7.918244,-7.539,-5.488011,-4.589445,-1.796689,-0.730511,-8.300545,-8.0934,-9.154234,-10.541966,-7.579345,-5.196556,-1.367878,-9.000401,-9.164133,-12.511112,-14.479445,-5.675233,-3.272666,-7.946023,-8.489034,-7.582366,-4.7379,-4.109111,-6.077377,-4.920345,-4.311667,-3.514533,-2.638155,-1.824767,-0.771511,-0.352244,-4.7184,-2.122478,-1.9923,-1.732678,-0.856833,-0.271944,-3.2785,-1.880522,-1.784134,-1.142078,-0.797833,-0.559567,-2.208822,-1.340833,-1.010378,-0.884678,-0.531189,-1.611944,-1.7689,-2.027356,-2.314233,3.183036
r4c26_ec_p3-mux,-2.149323,-1.974133,-1.889222,-1.976067,-1.722044,-0.885432,-0.749262,-1.0434,-1.561078,-2.179456,-1.674596,-1.44853,-1.330333,-1.275778,-1.927567,-2.188011,-1.140289,-1.823589,-1.996567,-1.842267,-1.264974,-1.724033,-1.633355,-1.822911,-1.587091,-0.964389,-1.375579,-1.645513,-1.410063,-1.346622,-1.119967,-0.647256,-1.830933,-1.572256,-1.512322,-1.446489,-1.200122,-0.713567,-1.391711,-1.551044,-1.580222,-1.531244,-1.018678,-1.570089,-1.687067,-1.765489,-1.557022,-1.491422,-1.875178,-1.646244,-1.342511,-0.643133,-0.377963,0.249044,0.116434,-2.184722,-1.734022,-1.326178,-0.612889,-0.264588,0.301961,0.529057,-1.2371,-1.1422,-0.502943,-0.270902,-0.027379,0.636954,-1.225642,-0.593893,-0.388442,0.06203,0.313078,-1.8071,-0.222742,-0.198019,-0.030327,0.656421,0.350923,0.237921,0.040738,-1.325194,-0.401649,-0.424133,-0.62505,-0.668121,-0.754843,-1.160556,-1.17578,-0.647213,-0.887023,-0.967592,-1.353033,-1.342,-0.728503,-1.200633,-1.264178,-1.320078,-1.324922,-1.351722,-1.221411,-1.319178,-1.429189,-1.515389,-1.513344,-1.240922,-0.627011,-1.3207,-1.330667,-1.434589,-1.516022,-1.456789,-1.468178,-1.054678,-1.404889,-1.504945,-1.675067,-1.8721,-1.726289,-1.322156,-1.596833,-1.600289,-1.880178,-1.972955,-0.755509,-1.359567,-1.3083,-1.315967,0.842487
