File,Fp1,Fp2,F3,F4,C3,C4,P3,P4,O1,O2,FT9,FT10,F7,F8,T7,T8,P7,P8,Fz,Pz,Cz,Oz,LE,RE,TP9,TP10,PO9,PO10,FC5,FC6,CP5,CP6,FC1,FC2,C1,C2,CP1,CP2,PO1,PO2,AF1,AF2,Fpz
pv016k_Rms_w,0.410138,1.484262,0.053812,-0.17,0.566662,-0.157325,3.1295,0.236938,2.9747,-5.0224,-0.973437,-0.485687,0.585887,1.023512,-0.43715,-0.674825,-0.491012,-4.538387,-0.49735,4.12305,-0.002487,2.984175,-0.420437,-0.3301,-4.46145,-2.260937,-2.614888,-5.866162,0.419162,0.298212,0.359975,-1.318363,-0.238275,-0.59185,0.296675,-0.182763,1.841262,-0.04785,7.373938,3.311362,0.177238,-0.3198,0.274162
pv019k_Rms_w,2.156225,1.825525,0.629212,1.626975,0.95085,0.649063,-1.827038,-1.30725,-6.685825,-3.906563,0.729437,2.130375,1.601437,1.7042,-0.338287,0.839525,-4.745237,-4.558075,0.8897,0.838725,1.65775,-1.8918,1.800013,2.978412,-1.538312,-0.256438,-3.356863,-1.54415,1.252725,1.23085,-1.518175,-1.235538,1.096575,1.302087,1.434175,1.17565,0.994238,0.736125,-2.104262,-0.261212,1.311375,1.3421,2.154338
pv020k_Rms_w,-1.110775,0.969775,-1.28645,0.140063,0.188737,1.03895,1.016962,0.595,-1.47325,-2.357525,-1.342138,-0.782725,-1.729975,0.427425,-1.511812,-0.515275,-1.6851,-2.305388,0.131112,4.021863,3.40555,-1.835113,-0.608362,0.5798,-1.603075,-1.608137,-2.100575,-2.386125,-1.332062,0.760188,-0.948975,-0.890337,0.5087,1.715488,2.107588,2.731138,2.918125,2.848988,2.269987,2.019075,-0.773888,0.290287,-0.47235
pv043k_Rms_w,3.8228,3.195375,2.3568,0.533413,0.9014,-0.447462,-2.192788,-2.656062,-6.965937,-3.2147,2.546762,1.580025,3.354062,1.94715,1.23055,-0.649563,-3.609313,-3.501812,2.335763,-0.16605,-0.054075,-2.58015,3.383325,2.752275,-0.723975,-1.8264,-3.759575,-2.306275,2.249088,0.25095,-1.448325,-1.408875,1.249288,0.6051,0.417637,-0.503037,-0.416725,-1.173813,-3.61485,-0.61855,2.845925,2.825387,3.421163
pv049k_Rms_w,2.797825,3.98145,3.481488,3.647613,2.25855,1.365975,-0.406087,-2.720313,-5.6798,-8.867588,-0.130037,0.030413,2.031163,2.1302,-0.5209,-1.222113,-4.552975,-9.387149,4.048125,2.209775,3.410312,-3.910213,1.00975,1.660375,-2.70965,-4.700738,-4.786913,-6.274275,2.397938,1.847,0.248775,-2.898475,3.470412,3.542162,2.8022,2.685762,2.262487,1.66055,-2.025775,-2.959637,3.208612,3.097,2.305687
pv050k_Rms_w,2.4308,3.028,0.887788,2.930075,-0.222125,1.701288,-4.055663,-0.902188,-7.057463,-3.723687,0.4401,1.8233,1.7696,3.214262,-1.667338,1.677113,-8.849587,-2.793988,1.931775,2.364563,1.600912,-1.928463,2.390025,2.997075,-3.1361,0.008163,-3.955788,-1.469962,0.518725,2.089612,-3.280512,-0.606188,0.749175,2.076725,0.776937,2.005625,0.79565,1.6997,-3.558175,-1.388938,1.877625,2.262437,2.3771
pv051k_Rms_w,5.178837,5.866213,4.223387,3.366625,1.889925,-0.848538,-0.26175,-8.157949,-3.731425,-14.809324,3.406738,3.150625,4.387662,4.29785,1.754963,0.009387,-2.971763,-11.5256,4.090287,-1.286925,1.160938,-3.4285,4.138863,4.707613,-1.349913,-3.023513,-4.184438,-7.361388,3.279438,1.3714,0.243575,-5.040738,3.016125,1.779438,1.402363,-0.104675,0.4678,-2.645175,-0.883513,-6.777112,4.867625,4.78385,5.269288
pv052k_Rms_w,2.064787,2.716175,1.2391,1.1303,1.025075,-0.147313,-0.134987,-0.63535,-8.266562,-5.46495,1.600375,0.041988,1.728425,1.550087,1.262187,0.364775,-5.277287,-3.951,1.012588,2.40705,0.425175,-1.758587,1.985712,1.7209,-1.114313,-0.751925,-5.467312,-3.836825,1.63705,0.5386,0.256437,-1.3382,0.903262,0.59555,2.07595,0.481425,1.438613,0.817338,-0.225688,1.812825,1.862437,1.506562,2.080112
pv053k_Rms_w,1.308762,0.986475,-0.587613,-0.494375,0.059337,1.363113,0.738538,2.755213,-3.91655,-0.008112,-1.316188,0.127338,-0.79695,0.811787,-0.887937,0.95675,-5.289999,-1.581525,0.646637,3.79775,0.476337,-1.163087,0.058438,1.093925,-3.608287,-2.58815,-4.801825,-3.145125,-0.316525,1.36315,-1.081588,1.38515,-0.286613,0.66025,0.527275,0.976838,1.647825,2.322187,1.7834,2.9605,0.976412,0.74615,1.352362
pv054k_Rms_w,0.825013,0.393262,0.510425,-0.892125,1.7928,0.1589,1.296675,0.67265,-2.0935,-1.133975,0.399637,0.188525,0.5172,0.420388,0.826025,-0.401012,-0.89955,-1.031962,0.030425,1.809438,1.46565,-2.451537,0.49625,-0.315475,-2.445163,-2.3581,-3.60265,-2.431663,0.259,0.179875,0.964988,-0.182388,0.8793,-0.0218,1.67095,0.647262,2.344663,0.739963,0.284838,0.771425,-0.31985,-0.259337,0.162
