parameters,possibility,pval
"c(""obj_num"",""disc_strk"")",possibility1,0.022799265338504442
"c(""obj_num"",""disc_strk"")",possibility2,0.12698703615507606
"c(""obj_num"",""disc_strk"")",possibility3,0.012298250260092474
"c(""obj_num"",""strk_sum"")",possibility1,0.4335120616005319
"c(""obj_num"",""strk_sum"")",possibility2,0.3660168043863376
"c(""obj_num"",""strk_sum"")",possibility3,0.7829467793395289
"c(""obj_num"",""junc_sum"")",possibility1,0.0032713533001606384
"c(""obj_num"",""junc_sum"")",possibility2,0.0034173155810575885
"c(""obj_num"",""junc_sum"")",possibility3,0.47149286280674163
"c(""obj_num"",""PC"")",possibility1,0.07377029487757308
"c(""obj_num"",""PC"")",possibility2,0.019108572219627785
"c(""obj_num"",""PC"")",possibility3,0.5188713481005182
"c(""disc_strk"",""strk_sum"")",possibility1,0.06916116620825154
"c(""disc_strk"",""strk_sum"")",possibility2,0.3990754205335012
"c(""disc_strk"",""strk_sum"")",possibility3,0.019719756122813372
"c(""disc_strk"",""junc_sum"")",possibility1,0.013145628935584177
"c(""disc_strk"",""junc_sum"")",possibility2,0.021190850564275405
"c(""disc_strk"",""junc_sum"")",possibility3,0.029233047528385996
"c(""disc_strk"",""PC"")",possibility1,0.0027581955226774245
"c(""disc_strk"",""PC"")",possibility2,0.30373683302752413
"c(""disc_strk"",""PC"")",possibility3,0.007373453397287986
"c(""strk_sum"",""junc_sum"")",possibility1,0.15462415409857863
"c(""strk_sum"",""junc_sum"")",possibility2,0.29521810731323156
"c(""strk_sum"",""junc_sum"")",possibility3,0.511377508640709
"c(""strk_sum"",""PC"")",possibility1,0.4556231708582087
"c(""strk_sum"",""PC"")",possibility2,0.3779441034499385
"c(""strk_sum"",""PC"")",possibility3,0.45698607198563
"c(""junc_sum"",""PC"")",possibility1,0.3264573695603121
"c(""junc_sum"",""PC"")",possibility2,0.012061532383764563
"c(""junc_sum"",""PC"")",possibility3,0.48719503256988755
"c(""obj_num"",""disc_strk"",""strk_sum"")",possibility1,0.10811166620353868
"c(""obj_num"",""disc_strk"",""strk_sum"")",possibility2,0.23192389628069113
"c(""obj_num"",""disc_strk"",""strk_sum"")",possibility3,0.01329217489737148
"c(""obj_num"",""disc_strk"",""junc_sum"")",possibility1,0.6738270990425439
"c(""obj_num"",""disc_strk"",""junc_sum"")",possibility2,0.036986256804119766
"c(""obj_num"",""disc_strk"",""junc_sum"")",possibility3,0.2022101848471777
"c(""obj_num"",""disc_strk"",""PC"")",possibility1,0.002048687829586356
"c(""obj_num"",""disc_strk"",""PC"")",possibility2,0.004992195690324782
"c(""obj_num"",""disc_strk"",""PC"")",possibility3,0.006174510682600947
"c(""obj_num"",""strk_sum"",""junc_sum"")",possibility1,0.003362290936350806
"c(""obj_num"",""strk_sum"",""junc_sum"")",possibility2,0.0038970886717234077
"c(""obj_num"",""strk_sum"",""junc_sum"")",possibility3,0.5244559140300782
"c(""obj_num"",""strk_sum"",""PC"")",possibility1,0.009552380069017744
"c(""obj_num"",""strk_sum"",""PC"")",possibility2,0.04730767925134112
"c(""obj_num"",""strk_sum"",""PC"")",possibility3,0.849584972679075
"c(""obj_num"",""junc_sum"",""PC"")",possibility1,0.37327753742467923
"c(""obj_num"",""junc_sum"",""PC"")",possibility2,0.4915049843503091
"c(""obj_num"",""junc_sum"",""PC"")",possibility3,0.4546671229593435
