,obj_num,disconnected_stroke,stroke_sum,junc_sum,PC,sum_of_square
symbol1,0.5944444444444444,0.10000000000000002,0.5975000000000001,0.6166666666666666,0.288150106616922,0.4393522435456066
symbol2,0.5944444444444443,0.1,0.5975,0.6166666666666666,0.2881501066169219,0.4393522435456066
symbol3,0.5083333333333334,0.09000000000000001,0.5166666666666667,0.5484848484848486,0.2328834424088041,0.3792736581787306
german1,0.5972222222222221,0.22666666666666663,0.2516666666666667,0.26666666666666666,0.6300364967394789,0.39445174379234016
german4,0.4880952380952381,0.21428571428571427,0.26785714285714285,0.3116883116883117,0.5855809137308261,0.3735014641314466
english2,0.5972222222222221,0.24666666666666665,0.23249999999999996,0.2643939393939394,0.6128940732556938,0.3907353803077044
english3,0.5277777777777778,0.27666666666666667,0.19249999999999995,0.22045454545454543,0.5203627758733245,0.34755235315446287
falsefont4,0.47817460317460314,0.01904761904761905,0.45238095238095244,0.41504329004329,0.09708578425621693,0.29234644978053625
chinese5,0.2888888888888889,0.2166666666666667,0.3425000000000001,0.3901515151515151,0.12289823379486335,0.2722210609003869
chinese7,0.16666666666666666,0.135,0.19874999999999998,0.35909090909090907,0.12197095472584904,0.19629570609668495
chinese8,0.3277777777777777,0.06166666666666667,0.34125,0.32083333333333325,0.21878753358719022,0.2540630622729936
korean5,0.55,0.14333333333333337,0.37583333333333335,0.3037878787878788,0.103387362090785,0.2952683815090661
korean7,0.3583333333333333,0.08,0.265,0.2545454545454545,0.09584098669695898,0.21074395491514938
korean8,0.3418079096045198,0.23898305084745763,0.25762711864406784,0.24152542372881353,0.13060233381255804,0.2421091673274834
