,content,obj_num,disconnected_stroke,stroke_sum,junc_sum
0,Gras,4,1,7,5
1,Wiese,5,1,11,9
2,Blume,5,1,11,11
3,Haus,4,1,8,5
4,Tür,3,0,8,3
5,Schnee,6,2,10,6
6,Ski,3,1,6,5
7,Frosch,6,3,10,4
8,Birne,5,0,11,10
9,Apfel,5,1,10,10
10,Baum,4,0,10,9
11,Teller,6,2,10,10
12,Esel,4,2,8,7
13,Banana,6,0,13,12
14,Nadel,5,2,9,10
15,Faden,5,1,10,9
16,Hund,4,1,8,6
17,Katze,5,0,12,9
18,Maus,4,1,9,6
19,Käse,4,1,10,7
20,Radio,5,2,9,9
21,Puppe,5,0,10,9
22,Fisch,5,2,9,5
23,See,3,1,5,4
24,Wasser,6,2,12,8
25,Meer,4,0,10,8
26,Buch,4,1,8,6
27,Ente,4,0,10,7
28,Hand,4,1,8,7
29,Finger,6,0,13,10
30,Ring,4,0,9,8
31,Fuchs,5,2,9,4
32,Hase,4,1,8,6
33,Ohr,3,1,5,2
34,Auto,4,1,8,5
35,Bett,4,0,9,8
36,Kissen,6,2,11,8
37,Insel,5,3,7,7
38,Palme,5,1,10,10
39,Ball,4,2,7,10
40,Fuss,4,2,7,3
41,Zeh,3,0,7,5
42,Wurst,5,1,11,6
43,Brot,4,1,8,6
44,Butter,6,0,13,10
45,Feder,5,1,10,9
46,Vogel,5,2,8,7
47,Hemd,4,1,9,8
48,Knopf,5,1,10,7
49,Sonne,5,2,8,4
50,Mond,4,2,8,6
51,Stern,5,1,9,5
52,Stuhl,5,2,8,5
53,Tisch,5,2,8,4
54,Sand,4,2,6,5
55,Zahn,4,0,9,6
56,Rose,4,2,7,5
57,Dorn,4,1,7,4
58,Torte,5,1,9,5
59,Kuchen,6,1,12,8
