,Unnamed: 0,ind,content,obj_num,disconnected_stroke,stroke_sum,junc_sum
0,0,1.0,9501,4,1,11,8
1,1,2.0,13468,5,0,20,20
2,2,3.0,8108,4,1,14,13
3,3,4.0,30455,5,1,13,10
4,4,5.0,8510,4,1,11,9
5,5,6.0,81319,5,0,20,19
6,6,7.0,1994,4,0,17,15
7,7,8.0,819,3,0,13,12
8,8,9.0,6934,4,0,17,16
9,9,10.0,340358,6,1,20,18
10,10,11.0,98413,5,0,21,20
11,11,12.0,4456,4,0,14,13
12,12,13.0,6361,4,0,15,15
13,13,14.0,51436,5,0,17,16
14,14,15.0,45541,5,0,15,13
15,15,16.0,315,3,0,9,8
16,16,17.0,33088,5,1,19,18
17,17,18.0,9643,4,0,17,16
18,18,19.0,345843,6,0,23,22
19,19,20.0,853011,6,1,18,16
20,20,21.0,11518,5,0,16,15
21,21,22.0,6603,4,1,13,12
22,22,23.0,10165,5,1,13,11
23,23,24.0,814,3,0,12,12
24,24,25.0,35601,5,1,14,12
25,25,26.0,80448,5,1,19,18
26,26,27.0,39541,5,0,18,16
27,27,28.0,140663,6,1,20,19
28,28,29.0,9501,4,1,11,8
29,29,30.0,43166,5,0,19,19
30,30,31.0,809,3,1,11,9
31,31,32.0,1086,4,1,13,12
32,32,33.0,89004,5,2,16,13
33,33,34.0,4086,4,1,14,13
34,34,35.0,88014,5,1,18,17
35,35,36.0,438531,6,0,22,21
36,36,37.0,8841,4,0,17,17
37,37,38.0,4189,4,0,17,16
38,38,39.0,46630,5,1,17,16
39,39,40.0,6006,4,2,10,8
40,40,41.0,335540,6,1,17,14
41,41,42.0,8904,4,1,15,13
42,42,43.0,40369,5,1,18,16
43,43,44.0,4653,4,0,14,13
44,44,45.0,143466,6,0,23,23
45,45,46.0,60514,5,1,14,12
46,46,47.0,3199,4,0,17,15
47,47,48.0,8541,4,0,14,13
48,48,49.0,31459,5,0,18,16
49,49,50.0,8543,4,0,15,14
50,50,51.0,1984,4,0,17,16
51,51,52.0,911348,6,0,24,23
52,52,53.0,1551,4,0,10,8
53,53,54.0,8453,4,0,15,14
54,54,55.0,901036,6,2,18,15
55,55,56.0,13089,5,1,18,16
56,56,57.0,664,3,0,12,12
57,57,58.0,1486,4,0,16,16
58,58,59.0,98101,5,1,17,15
59,59,60.0,1554,4,0,11,9
0,0,,Gras,4,1,7,5
1,1,,Wiese,5,1,11,9
2,2,,Blume,5,1,11,11
3,3,,Haus,4,1,8,5
4,4,,Tür,3,0,8,3
5,5,,Schnee,6,2,10,6
6,6,,Ski,3,1,6,5
7,7,,Frosch,6,3,10,4
8,8,,Birne,5,0,11,10
9,9,,Apfel,5,1,10,10
10,10,,Baum,4,0,10,9
11,11,,Teller,6,2,10,10
12,12,,Esel,4,2,8,7
13,13,,Banana,6,0,13,12
14,14,,Nadel,5,2,9,10
15,15,,Faden,5,1,10,9
16,16,,Hund,4,1,8,6
17,17,,Katze,5,0,12,9
18,18,,Maus,4,1,9,6
19,19,,Käse,4,1,10,7
20,20,,Radio,5,2,9,9
21,21,,Puppe,5,0,10,9
22,22,,Fisch,5,2,9,5
23,23,,See,3,1,5,4
24,24,,Wasser,6,2,12,8
25,25,,Meer,4,0,10,8
26,26,,Buch,4,1,8,6
27,27,,Ente,4,0,10,7
28,28,,Hand,4,1,8,7
29,29,,Finger,6,0,13,10
30,30,,Ring,4,0,9,8
31,31,,Fuchs,5,2,9,4
32,32,,Hase,4,1,8,6
33,33,,Ohr,3,1,5,2
34,34,,Auto,4,1,8,5
35,35,,Bett,4,0,9,8
36,36,,Kissen,6,2,11,8
37,37,,Insel,5,3,7,7
38,38,,Palme,5,1,10,10
39,39,,Ball,4,2,7,10
40,40,,Fuss,4,2,7,3
41,41,,Zeh,3,0,7,5
42,42,,Wurst,5,1,11,6
43,43,,Brot,4,1,8,6
44,44,,Butter,6,0,13,10
45,45,,Feder,5,1,10,9
46,46,,Vogel,5,2,8,7
47,47,,Hemd,4,1,9,8
48,48,,Knopf,5,1,10,7
49,49,,Sonne,5,2,8,4
50,50,,Mond,4,2,8,6
51,51,,Stern,5,1,9,5
52,52,,Stuhl,5,2,8,5
53,53,,Tisch,5,2,8,4
54,54,,Sand,4,2,6,5
55,55,,Zahn,4,0,9,6
56,56,,Rose,4,2,7,5
57,57,,Dorn,4,1,7,4
58,58,,Torte,5,1,9,5
59,59,,Kuchen,6,1,12,8
