,ind,content,obj_num,disconnected_stroke,stroke_sum,junc_sum
0,1,9501,4,1,11,8
1,2,13468,5,0,20,20
2,3,8108,4,1,14,13
3,4,30455,5,1,13,10
4,5,8510,4,1,11,9
5,6,81319,5,0,20,19
6,7,1994,4,0,17,15
7,8,819,3,0,13,12
8,9,6934,4,0,17,16
9,10,340358,6,1,20,18
10,11,98413,5,0,21,20
11,12,4456,4,0,14,13
12,13,6361,4,0,15,15
13,14,51436,5,0,17,16
14,15,45541,5,0,15,13
15,16,315,3,0,9,8
16,17,33088,5,1,19,18
17,18,9643,4,0,17,16
18,19,345843,6,0,23,22
19,20,853011,6,1,18,16
20,21,11518,5,0,16,15
21,22,6603,4,1,13,12
22,23,10165,5,1,13,11
23,24,814,3,0,12,12
24,25,35601,5,1,14,12
25,26,80448,5,1,19,18
26,27,39541,5,0,18,16
27,28,140663,6,1,20,19
28,29,9501,4,1,11,8
29,30,43166,5,0,19,19
30,31,809,3,1,11,9
31,32,1086,4,1,13,12
32,33,89004,5,2,16,13
33,34,4086,4,1,14,13
34,35,88014,5,1,18,17
35,36,438531,6,0,22,21
36,37,8841,4,0,17,17
37,38,4189,4,0,17,16
38,39,46630,5,1,17,16
39,40,6006,4,2,10,8
40,41,335540,6,1,17,14
41,42,8904,4,1,15,13
42,43,40369,5,1,18,16
43,44,4653,4,0,14,13
44,45,143466,6,0,23,23
45,46,60514,5,1,14,12
46,47,3199,4,0,17,15
47,48,8541,4,0,14,13
48,49,31459,5,0,18,16
49,50,8543,4,0,15,14
50,51,1984,4,0,17,16
51,52,911348,6,0,24,23
52,53,1551,4,0,10,8
53,54,8453,4,0,15,14
54,55,901036,6,2,18,15
55,56,13089,5,1,18,16
56,57,664,3,0,12,12
57,58,1486,4,0,16,16
58,59,98101,5,1,17,15
59,60,1554,4,0,11,9
