,content,obj_num,disconnected_stroke,stroke_sum,junc_sum
0,Cheese,6,2,10,7
1,Plate,5,1,9,9
2,Cat,3,1,5,3
3,Thorn,5,1,9,4
4,Carrot,6,2,10,5
5,Mouse,5,2,10,6
6,Hand,4,1,8,7
7,Bed,3,1,6,8
8,Banana,6,0,13,12
9,Finger,6,0,13,10
10,Ear,3,0,8,6
11,Grass,5,2,8,5
12,Bread,5,1,10,11
13,Ring,4,0,9,8
14,House,5,2,9,5
15,Sand,4,2,6,5
16,Dog,3,1,5,4
17,Moon,4,2,8,4
18,Thread,6,1,11,9
19,Rose,4,2,7,5
20,Pillow,6,3,11,10
21,Toe,3,1,5,3
22,Fish,4,1,8,5
23,Pear,4,0,8,7
24,Donkey,6,1,12,9
25,Snow,4,2,8,3
26,Pie,3,0,6,6
27,Car,3,1,5,3
28,Flower,6,2,13,9
29,Island,6,4,8,9
30,Lake,4,1,8,8
31,Star,4,1,7,4
32,Water,5,0,12,9
33,Butter,6,0,13,10
34,Needle,6,2,11,12
35,Feather,7,0,15,11
36,Button,6,1,12,8
37,Shirt,5,1,9,5
38,Rabbit,6,0,13,12
39,Doll,4,3,5,6
40,Sea,3,1,5,4
41,Palm,4,1,8,8
42,Table,5,1,9,9
43,Book,4,2,8,7
44,Radio,5,2,9,9
45,Ski,3,1,6,5
46,Ball,4,2,7,10
47,Bird,4,1,8,9
48,Sun,3,1,5,2
49,Tree,4,0,8,6
50,Apple,5,1,10,11
51,Garden,6,1,11,10
52,Frog,4,1,8,5
53,Cake,4,1,8,7
54,Toast,5,2,8,4
55,Foot,4,2,7,3
56,Tooth,5,2,8,3
57,Duck,4,1,8,6
58,Door,4,2,6,3
59,Chair,5,1,9,6
