ind,file_loc,PC,inkArea,perimeter
1,/Users/alex/Documents/GitHub/Visual-Similarity/Data/2_Maurer_NYC_del//2_Symbol_ (1).BMP,20.900885268735,14177.0901960784,1929.66013071895
2,/Users/alex/Documents/GitHub/Visual-Similarity/Data/2_Maurer_NYC_del//2_Symbol_ (2).BMP,18.8320890590729,12637.3960784314,1729.35032679739
3,/Users/alex/Documents/GitHub/Visual-Similarity/Data/2_Maurer_NYC_del//2_Symbol_ (3).BMP,31.1508118112958,20715.4078431373,2847.64836601307
4,/Users/alex/Documents/GitHub/Visual-Similarity/Data/2_Maurer_NYC_del//2_Symbol_ (4).BMP,22.3297658656059,12801.5215686274,1895.29934640523
5,/Users/alex/Documents/GitHub/Visual-Similarity/Data/2_Maurer_NYC_del//2_Symbol_ (5).BMP,20.900885268735,14177.0901960784,1929.66013071895
6,/Users/alex/Documents/GitHub/Visual-Similarity/Data/2_Maurer_NYC_del//2_Symbol_ (6).BMP,33.1506993701845,21176.5803921569,2970.15555555556
7,/Users/alex/Documents/GitHub/Visual-Similarity/Data/2_Maurer_NYC_del//2_Symbol_ (7).BMP,26.987953173626,17736.2039215686,2452.56339869281
8,/Users/alex/Documents/GitHub/Visual-Similarity/Data/2_Maurer_NYC_del//2_Symbol_ (8).BMP,14.3174148666099,8832.66666666667,1260.61699346405
9,/Users/alex/Documents/GitHub/Visual-Similarity/Data/2_Maurer_NYC_del//2_Symbol_ (9).BMP,19.8929624672803,12700.1607843137,1781.80130718954
10,/Users/alex/Documents/GitHub/Visual-Similarity/Data/2_Maurer_NYC_del//2_Symbol_ (10).BMP,26.2966501084713,16523.9490196078,2336.74901960784
11,/Users/alex/Documents/GitHub/Visual-Similarity/Data/2_Maurer_NYC_del//2_Symbol_ (11).BMP,20.7458791060053,12790.0509803922,1826.02614379085
12,/Users/alex/Documents/GitHub/Visual-Similarity/Data/2_Maurer_NYC_del//2_Symbol_ (12).BMP,21.0314691816322,12917.2549019608,1847.67189542484
13,/Users/alex/Documents/GitHub/Visual-Similarity/Data/2_Maurer_NYC_del//2_Symbol_ (13).BMP,26.3989979425291,17346.262745098,2398.84183006536
14,/Users/alex/Documents/GitHub/Visual-Similarity/Data/2_Maurer_NYC_del//2_Symbol_ (14).BMP,21.3247580059335,13584.5764705882,1907.96339869281
15,/Users/alex/Documents/GitHub/Visual-Similarity/Data/2_Maurer_NYC_del//2_Symbol_ (15).BMP,27.358083782543,17880.2039215686,2479.32810457516
16,/Users/alex/Documents/GitHub/Visual-Similarity/Data/2_Maurer_NYC_del//2_Symbol_ (16).BMP,21.8640356278622,13414.1058823529,1919.77777777778
17,/Users/alex/Documents/GitHub/Visual-Similarity/Data/2_Maurer_NYC_del//2_Symbol_ (17).BMP,26.8573840094845,17297.9647058824,2416.20784313726
18,/Users/alex/Documents/GitHub/Visual-Similarity/Data/2_Maurer_NYC_del//2_Symbol_ (18).BMP,17.9984940175666,12139.0470588235,1656.97254901961
19,/Users/alex/Documents/GitHub/Visual-Similarity/Data/2_Maurer_NYC_del//2_Symbol_ (19).BMP,14.5508137908677,9214.14117647059,1298.00392156863
20,/Users/alex/Documents/GitHub/Visual-Similarity/Data/2_Maurer_NYC_del//2_Symbol_ (20).BMP,19.7566521341268,13417.9411764706,1825.17516339869
21,/Users/alex/Documents/GitHub/Visual-Similarity/Data/2_Maurer_NYC_del//2_Symbol_ (21).BMP,33.3480982736813,22699.1529411765,3084.21960784314
22,/Users/alex/Documents/GitHub/Visual-Similarity/Data/2_Maurer_NYC_del//2_Symbol_ (22).BMP,25.3489050088077,17283.4980392157,2346.3908496732
23,/Users/alex/Documents/GitHub/Visual-Similarity/Data/2_Maurer_NYC_del//2_Symbol_ (23).BMP,18.894030813238,12515.2235294118,1723.79869281046
24,/Users/alex/Documents/GitHub/Visual-Similarity/Data/2_Maurer_NYC_del//2_Symbol_ (24).BMP,22.3714408317744,13491.2980392157,1947.50588235294
25,/Users/alex/Documents/GitHub/Visual-Similarity/Data/2_Maurer_NYC_del//2_Symbol_ (25).BMP,26.9242687819425,17175.7921568627,2410.65620915033
