,Unnamed: 0,content,obj_num,disconnected_stroke,stroke_sum,junc_sum
0,0,8543,4,0,15,14
1,1,1984,4,0,17,16
2,2,911348,6,0,24,23
3,3,1551,4,0,10,8
4,4,8453,4,0,15,14
5,5,901036,6,2,18,15
6,6,13089,5,1,18,16
7,7,664,3,0,12,12
8,8,1486,4,0,16,16
9,9,98101,5,1,17,15
10,10,1554,4,0,11,9
11,11,9501,4,1,11,8
12,12,13468,5,0,20,20
13,13,8108,4,1,14,13
14,14,30455,5,1,13,10
15,15,8510,4,1,11,9
16,16,81319,5,0,20,19
17,17,1994,4,0,17,15
18,18,819,3,0,13,12
19,19,6934,4,0,17,16
20,20,340358,6,1,20,18
21,21,98413,5,0,21,20
22,22,4456,4,0,14,13
23,23,6361,4,0,15,15
24,24,51436,5,0,17,16
25,25,45541,5,0,15,13
26,26,315,3,0,9,8
27,27,33088,5,1,19,18
28,28,9643,4,0,17,16
29,29,345843,6,0,23,22
30,30,853011,6,1,18,16
31,31,11518,5,0,16,15
32,32,6603,4,1,13,12
33,33,10165,5,1,13,11
34,34,814,3,0,12,12
35,35,35601,5,1,14,12
36,36,80448,5,1,19,18
37,37,39541,5,0,18,16
38,38,140663,6,1,20,19
39,39,9501,4,1,11,8
40,40,43166,5,0,19,19
41,41,809,3,1,11,9
42,42,1086,4,1,13,12
43,43,89004,5,2,16,13
44,44,4086,4,1,14,13
45,45,88014,5,1,18,17
46,46,438531,6,0,22,21
47,47,8841,4,0,17,17
48,48,4189,4,0,17,16
49,49,46630,5,1,17,16
50,50,6006,4,2,10,8
51,51,335540,6,1,17,14
52,52,8904,4,1,15,13
53,53,40369,5,1,18,16
54,54,4653,4,0,14,13
55,55,143466,6,0,23,23
56,56,60514,5,1,14,12
57,57,3199,4,0,17,15
58,58,8541,4,0,14,13
59,59,31459,5,0,18,16
0,0,Cheese,6,2,10,7
1,1,Plate,5,1,9,9
2,2,Cat,3,1,5,3
3,3,Thorn,5,1,9,4
4,4,Carrot,6,2,10,5
5,5,Mouse,5,2,10,6
6,6,Hand,4,1,8,7
7,7,Bed,3,1,6,8
8,8,Banana,6,0,13,12
9,9,Finger,6,0,13,10
10,10,Ear,3,0,8,6
11,11,Grass,5,2,8,5
12,12,Bread,5,1,10,11
13,13,Ring,4,0,9,8
14,14,House,5,2,9,5
15,15,Sand,4,2,6,5
16,16,Dog,3,1,5,4
17,17,Moon,4,2,8,4
18,18,Thread,6,1,11,9
19,19,Rose,4,2,7,5
20,20,Pillow,6,3,11,10
21,21,Toe,3,1,5,3
22,22,Fish,4,1,8,5
23,23,Pear,4,0,8,7
24,24,Donkey,6,1,12,9
25,25,Snow,4,2,8,3
26,26,Pie,3,0,6,6
27,27,Car,3,1,5,3
28,28,Flower,6,2,13,9
29,29,Island,6,4,8,9
30,30,Lake,4,1,8,8
31,31,Star,4,1,7,4
32,32,Water,5,0,12,9
33,33,Butter,6,0,13,10
34,34,Needle,6,2,11,12
35,35,Feather,7,0,15,11
36,36,Button,6,1,12,8
37,37,Shirt,5,1,9,5
38,38,Rabbit,6,0,13,12
39,39,Doll,4,3,5,6
40,40,Sea,3,1,5,4
41,41,Palm,4,1,8,8
42,42,Table,5,1,9,9
43,43,Book,4,2,8,7
44,44,Radio,5,2,9,9
45,45,Ski,3,1,6,5
46,46,Ball,4,2,7,10
47,47,Bird,4,1,8,9
48,48,Sun,3,1,5,2
49,49,Tree,4,0,8,6
50,50,Apple,5,1,10,11
51,51,Garden,6,1,11,10
52,52,Frog,4,1,8,5
53,53,Cake,4,1,8,7
54,54,Toast,5,2,8,4
55,55,Foot,4,2,7,3
56,56,Tooth,5,2,8,3
57,57,Duck,4,1,8,6
58,58,Door,4,2,6,3
59,59,Chair,5,1,9,6
