,content,obj_num,disconnected_stroke,stroke_sum,junc_sum
0,8543,4,0,15,14
1,1984,4,0,17,16
2,911348,6,0,24,23
3,1551,4,0,10,8
4,8453,4,0,15,14
5,901036,6,2,18,15
6,13089,5,1,18,16
7,664,3,0,12,12
8,1486,4,0,16,16
9,98101,5,1,17,15
10,1554,4,0,11,9
11,9501,4,1,11,8
12,13468,5,0,20,20
13,8108,4,1,14,13
14,30455,5,1,13,10
15,8510,4,1,11,9
16,81319,5,0,20,19
17,1994,4,0,17,15
18,819,3,0,13,12
19,6934,4,0,17,16
20,340358,6,1,20,18
21,98413,5,0,21,20
22,4456,4,0,14,13
23,6361,4,0,15,15
24,51436,5,0,17,16
25,45541,5,0,15,13
26,315,3,0,9,8
27,33088,5,1,19,18
28,9643,4,0,17,16
29,345843,6,0,23,22
30,853011,6,1,18,16
31,11518,5,0,16,15
32,6603,4,1,13,12
33,10165,5,1,13,11
34,814,3,0,12,12
35,35601,5,1,14,12
36,80448,5,1,19,18
37,39541,5,0,18,16
38,140663,6,1,20,19
39,9501,4,1,11,8
40,43166,5,0,19,19
41,809,3,1,11,9
42,1086,4,1,13,12
43,89004,5,2,16,13
44,4086,4,1,14,13
45,88014,5,1,18,17
46,438531,6,0,22,21
47,8841,4,0,17,17
48,4189,4,0,17,16
49,46630,5,1,17,16
50,6006,4,2,10,8
51,335540,6,1,17,14
52,8904,4,1,15,13
53,40369,5,1,18,16
54,4653,4,0,14,13
55,143466,6,0,23,23
56,60514,5,1,14,12
57,3199,4,0,17,15
58,8541,4,0,14,13
59,31459,5,0,18,16
