,ind,content,obj_num,disconnected_stroke,stroke_sum,junc_sum,file_loc,PC,inkArea,perimeter
0,1,1554,4.0,0.0,11.0,9.0,,,,
1,2,809,3.0,1.0,11.0,9.0,,,,
2,3,6924,4.0,0.0,17.0,16.0,,,,
3,4,8841,4.0,0.0,17.0,17.0,,,,
4,5,88014,5.0,1.0,18.0,17.0,,,,
5,6,4652,4.0,0.0,14.0,13.0,,,,
6,7,25601,5.0,1.0,14.0,12.0,,,,
7,8,8904,4.0,1.0,15.0,13.0,,,,
8,9,22088,5.0,1.0,19.0,18.0,,,,
9,10,8510,4.0,1.0,11.0,9.0,,,,
10,11,189,3.0,0.0,13.0,12.0,,,,
11,12,6261,4.0,0.0,15.0,15.0,,,,
12,13,81219,5.0,0.0,20.0,19.0,,,,
13,14,105,3.0,1.0,6.0,4.0,,,,
14,15,6602,4.0,1.0,13.0,12.0,,,,
15,16,12089,5.0,1.0,18.0,16.0,,,,
16,17,8541,4.0,0.0,14.0,13.0,,,,
17,18,11518,5.0,0.0,16.0,15.0,,,,
18,19,2199,4.0,0.0,17.0,15.0,,,,
19,20,20455,5.0,1.0,13.0,10.0,,,,
20,21,1984,4.0,0.0,17.0,16.0,,,,
21,22,4456,4.0,0.0,14.0,13.0,,,,
22,23,8542,4.0,0.0,15.0,14.0,,,,
23,24,98101,5.0,1.0,17.0,15.0,,,,
24,25,4189,4.0,0.0,17.0,16.0,,,,
25,26,1994,4.0,0.0,17.0,15.0,,,,
26,27,80448,5.0,1.0,19.0,18.0,,,,
27,28,9501,4.0,1.0,11.0,8.0,,,,
28,29,664,3.0,0.0,12.0,12.0,,,,
29,30,1086,4.0,1.0,13.0,12.0,,,,
30,31,814,3.0,0.0,12.0,12.0,,,,
31,32,4086,4.0,1.0,14.0,13.0,,,,
32,33,98412,5.0,0.0,21.0,20.0,,,,
33,34,1551,4.0,0.0,10.0,8.0,,,,
34,35,452,3.0,0.0,10.0,9.0,,,,
35,36,8108,4.0,1.0,14.0,13.0,,,,
36,37,9642,4.0,0.0,17.0,16.0,,,,
37,38,215,3.0,0.0,9.0,8.0,,,,
38,39,8452,4.0,0.0,15.0,14.0,,,,
39,40,1486,4.0,0.0,16.0,16.0,,,,
40,41,8452,4.0,0.0,15.0,14.0,,,,
41,42,215,3.0,0.0,9.0,8.0,,,,
42,43,4189,4.0,0.0,17.0,16.0,,,,
43,44,664,3.0,0.0,12.0,12.0,,,,
44,45,4652,4.0,0.0,14.0,13.0,,,,
45,46,81219,5.0,0.0,20.0,19.0,,,,
46,47,1086,4.0,1.0,13.0,12.0,,,,
47,48,814,3.0,0.0,12.0,12.0,,,,
48,49,9501,4.0,1.0,11.0,8.0,,,,
49,50,12089,5.0,1.0,18.0,16.0,,,,
50,51,6602,4.0,1.0,13.0,12.0,,,,
51,52,1486,4.0,0.0,16.0,16.0,,,,
52,53,20455,5.0,1.0,13.0,10.0,,,,
53,54,6924,4.0,0.0,17.0,16.0,,,,
54,55,8510,4.0,1.0,11.0,9.0,,,,
55,56,452,3.0,0.0,10.0,9.0,,,,
56,57,8904,4.0,1.0,15.0,13.0,,,,
57,58,98412,5.0,0.0,21.0,20.0,,,,
58,59,8108,4.0,1.0,14.0,13.0,,,,
0,60,wood,4.0,3.0,7.0,4.0,,,,
1,61,car,3.0,1.0,5.0,3.0,,,,
2,62,bird,4.0,1.0,7.0,7.0,,,,
3,63,chair,5.0,1.0,9.0,6.0,,,,
4,64,drum,4.0,1.0,8.0,6.0,,,,
5,65,bread,5.0,1.0,9.0,9.0,,,,
6,66,snow,4.0,2.0,8.0,3.0,,,,
7,67,foam,4.0,1.0,8.0,5.0,,,,
8,68,eagle,5.0,1.0,9.0,10.0,,,,
9,69,moon,4.0,2.0,7.0,3.0,,,,
10,70,fish,4.0,1.0,7.0,4.0,,,,
11,71,fish,4.0,1.0,7.0,4.0,,,,
12,72,toast,5.0,2.0,8.0,4.0,,,,
13,73,doll,4.0,4.0,4.0,6.0,,,,
14,74,brush,5.0,1.0,9.0,5.0,,,,
15,75,sand,4.0,2.0,6.0,5.0,,,,
16,76,ring,4.0,0.0,8.0,6.0,,,,
17,77,star,4.0,1.0,7.0,4.0,,,,
18,78,mask,4.0,1.0,9.0,7.0,,,,
19,79,dog,3.0,2.0,4.0,4.0,,,,
20,80,book,4.0,2.0,7.0,5.0,,,,
21,81,camel,5.0,2.0,9.0,8.0,,,,
22,82,duck,4.0,2.0,7.0,6.0,,,,
23,83,table,5.0,1.0,9.0,9.0,,,,
24,84,ball,4.0,2.0,6.0,8.0,,,,
25,85,moon,4.0,2.0,7.0,3.0,,,,
26,86,ear,3.0,0.0,6.0,5.0,,,,
27,87,radio,5.0,2.0,8.0,7.0,,,,
28,88,door,4.0,3.0,5.0,3.0,,,,
29,89,eagle,5.0,1.0,9.0,10.0,,,,
30,90,camp,4.0,1.0,8.0,6.0,,,,
31,91,hand,4.0,1.0,7.0,6.0,,,,
32,92,sea,3.0,1.0,5.0,4.0,,,,
33,93,bird,4.0,1.0,7.0,7.0,,,,
34,94,tooth,5.0,2.0,8.0,3.0,,,,
35,95,car,3.0,1.0,5.0,3.0,,,,
36,96,lake,4.0,1.0,8.0,9.0,,,,
37,97,snow,4.0,2.0,8.0,3.0,,,,
38,98,mouse,5.0,2.0,9.0,5.0,,,,
39,99,palm,4.0,1.0,8.0,8.0,,,,
40,100,cat,3.0,1.0,5.0,3.0,,,,
41,101,hook,4.0,2.0,7.0,4.0,,,,
42,102,shirt,5.0,1.0,9.0,5.0,,,,
43,103,foam,4.0,1.0,8.0,5.0,,,,
44,104,chair,5.0,1.0,9.0,6.0,,,,
45,105,wood,4.0,3.0,7.0,4.0,,,,
46,106,foot,4.0,2.0,6.0,2.0,,,,
47,107,sun,3.0,1.0,5.0,2.0,,,,
48,108,mast,4.0,1.0,8.0,5.0,,,,
49,109,bread,5.0,1.0,9.0,9.0,,,,
50,110,drum,4.0,1.0,8.0,6.0,,,,
51,111,hand,4.0,1.0,7.0,6.0,,,,
52,112,mask,4.0,1.0,9.0,7.0,,,,
53,113,camel,5.0,2.0,9.0,8.0,,,,
54,114,door,4.0,3.0,5.0,3.0,,,,
55,115,sea,3.0,1.0,5.0,4.0,,,,
56,116,book,4.0,2.0,7.0,5.0,,,,
57,117,mast,4.0,1.0,8.0,5.0,,,,
58,118,brush,5.0,1.0,9.0,5.0,,,,
0,1,,,,,,/Users/alex/Documents/GitHub/Visual-Similarity/Data/3_Maurer_Japanese_del//3_Symbol_ (1).BMP,18.0197657044921,12604.7490196078,1689.45490196078
1,2,,,,,,/Users/alex/Documents/GitHub/Visual-Similarity/Data/3_Maurer_Japanese_del//3_Symbol_ (2).BMP,21.8640356278622,13414.1058823529,1919.77777777778
2,3,,,,,,/Users/alex/Documents/GitHub/Visual-Similarity/Data/3_Maurer_Japanese_del//3_Symbol_ (3).BMP,14.381862018593,10224.5764705882,1359.36209150327
3,4,,,,,,/Users/alex/Documents/GitHub/Visual-Similarity/Data/3_Maurer_Japanese_del//3_Symbol_ (4).BMP,18.9707409071311,13077.5725490196,1765.67450980392
4,5,,,,,,/Users/alex/Documents/GitHub/Visual-Similarity/Data/3_Maurer_Japanese_del//3_Symbol_ (5).BMP,23.6087575283571,16472.2431372549,2210.63921568627
5,6,,,,,,/Users/alex/Documents/GitHub/Visual-Similarity/Data/3_Maurer_Japanese_del//3_Symbol_ (6).BMP,21.3247580059335,13584.5764705882,1907.96339869281
6,7,,,,,,/Users/alex/Documents/GitHub/Visual-Similarity/Data/3_Maurer_Japanese_del//3_Symbol_ (7).BMP,20.7458791060053,12790.0509803922,1826.02614379085
7,8,,,,,,/Users/alex/Documents/GitHub/Visual-Similarity/Data/3_Maurer_Japanese_del//3_Symbol_ (8).BMP,14.6718966489101,9656.25490196078,1334.29673202614
8,9,,,,,,/Users/alex/Documents/GitHub/Visual-Similarity/Data/3_Maurer_Japanese_del//3_Symbol_ (9).BMP,18.0197657044921,12604.7490196078,1689.45490196078
9,10,,,,,,/Users/alex/Documents/GitHub/Visual-Similarity/Data/3_Maurer_Japanese_del//3_Symbol_ (10).BMP,19.6730771849593,13131.8705882353,1801.7908496732
10,11,,,,,,/Users/alex/Documents/GitHub/Visual-Similarity/Data/3_Maurer_Japanese_del//3_Symbol_ (11).BMP,25.604522232804,17007.831372549,2339.30980392157
11,12,,,,,,/Users/alex/Documents/GitHub/Visual-Similarity/Data/3_Maurer_Japanese_del//3_Symbol_ (12).BMP,19.3678517321054,12930.2509803922,1773.98169934641
12,13,,,,,,/Users/alex/Documents/GitHub/Visual-Similarity/Data/3_Maurer_Japanese_del//3_Symbol_ (13).BMP,26.8389609019333,16814.8666666667,2381.41176470588
13,14,,,,,,/Users/alex/Documents/GitHub/Visual-Similarity/Data/3_Maurer_Japanese_del//3_Symbol_ (14).BMP,18.9707409071311,13077.5725490196,1765.67450980392
14,15,,,,,,/Users/alex/Documents/GitHub/Visual-Similarity/Data/3_Maurer_Japanese_del//3_Symbol_ (15).BMP,25.0644987363532,17822.3607843137,2369.28366013072
15,16,,,,,,/Users/alex/Documents/GitHub/Visual-Similarity/Data/3_Maurer_Japanese_del//3_Symbol_ (16).BMP,21.8640356278622,13414.1058823529,1919.77777777778
16,17,,,,,,/Users/alex/Documents/GitHub/Visual-Similarity/Data/3_Maurer_Japanese_del//3_Symbol_ (17).BMP,14.5508137908677,9214.14117647059,1298.00392156863
17,18,,,,,,/Users/alex/Documents/GitHub/Visual-Similarity/Data/3_Maurer_Japanese_del//3_Symbol_ (18).BMP,20.6000361123275,12680.0431372549,1811.75424836601
18,19,,,,,,/Users/alex/Documents/GitHub/Visual-Similarity/Data/3_Maurer_Japanese_del//3_Symbol_ (19).BMP,25.112421063775,16480.8980392157,2280.55032679738
19,20,,,,,,/Users/alex/Documents/GitHub/Visual-Similarity/Data/3_Maurer_Japanese_del//3_Symbol_ (20).BMP,17.0916192793177,10274.3450980392,1485.50326797386
20,21,,,,,,/Users/alex/Documents/GitHub/Visual-Similarity/Data/3_Maurer_Japanese_del//3_Symbol_ (21).BMP,20.7152332890977,13120.2196078431,1848.07843137255
21,22,,,,,,/Users/alex/Documents/GitHub/Visual-Similarity/Data/3_Maurer_Japanese_del//3_Symbol_ (22).BMP,25.237379973369,16924.9490196078,2316.81176470588
22,23,,,,,,/Users/alex/Documents/GitHub/Visual-Similarity/Data/3_Maurer_Japanese_del//3_Symbol_ (23).BMP,20.1940645851246,12961.4,1813.60522875817
23,24,,,,,,/Users/alex/Documents/GitHub/Visual-Similarity/Data/3_Maurer_Japanese_del//3_Symbol_ (24).BMP,27.5961202154834,16403.462745098,2385.04575163399
24,25,,,,,,/Users/alex/Documents/GitHub/Visual-Similarity/Data/3_Maurer_Japanese_del//3_Symbol_ (25).BMP,18.4663948404106,12554.5137254902,1706.8522875817
25,26,,,,,,/Users/alex/Documents/GitHub/Visual-Similarity/Data/3_Maurer_Japanese_del//3_Symbol_ (26).BMP,25.6021959047244,17064.0156862745,2343.06405228758
26,27,,,,,,/Users/alex/Documents/GitHub/Visual-Similarity/Data/3_Maurer_Japanese_del//3_Symbol_ (27).BMP,18.8320890590729,12637.3960784314,1729.35032679739
27,28,,,,,,/Users/alex/Documents/GitHub/Visual-Similarity/Data/3_Maurer_Japanese_del//3_Symbol_ (28).BMP,18.894030813238,12515.2235294118,1723.79869281046
28,29,,,,,,/Users/alex/Documents/GitHub/Visual-Similarity/Data/3_Maurer_Japanese_del//3_Symbol_ (29).BMP,19.1597472432466,13362.4,1793.66797385621
29,30,,,,,,/Users/alex/Documents/GitHub/Visual-Similarity/Data/3_Maurer_Japanese_del//3_Symbol_ (30).BMP,26.2966501084713,16523.9490196078,2336.74901960784
30,31,,,,,,/Users/alex/Documents/GitHub/Visual-Similarity/Data/3_Maurer_Japanese_del//3_Symbol_ (31).BMP,18.8320890590729,12637.3960784314,1729.35032679739
31,32,,,,,,/Users/alex/Documents/GitHub/Visual-Similarity/Data/3_Maurer_Japanese_del//3_Symbol_ (32).BMP,17.9984940175666,12139.0470588235,1656.97254901961
32,33,,,,,,/Users/alex/Documents/GitHub/Visual-Similarity/Data/3_Maurer_Japanese_del//3_Symbol_ (33).BMP,24.116088347064,16995.3019607843,2269.4614379085
33,34,,,,,,/Users/alex/Documents/GitHub/Visual-Similarity/Data/3_Maurer_Japanese_del//3_Symbol_ (34).BMP,21.0314691816322,12917.2549019608,1847.67189542484
34,35,,,,,,/Users/alex/Documents/GitHub/Visual-Similarity/Data/3_Maurer_Japanese_del//3_Symbol_ (35).BMP,14.3174148666099,8832.66666666667,1260.61699346405
35,36,,,,,,/Users/alex/Documents/GitHub/Visual-Similarity/Data/3_Maurer_Japanese_del//3_Symbol_ (36).BMP,21.5656062037602,13152.8666666667,1887.97385620915
36,37,,,,,,/Users/alex/Documents/GitHub/Visual-Similarity/Data/3_Maurer_Japanese_del//3_Symbol_ (37).BMP,14.8827138935176,9994.4862745098,1367.1816993464
37,38,,,,,,/Users/alex/Documents/GitHub/Visual-Similarity/Data/3_Maurer_Japanese_del//3_Symbol_ (38).BMP,20.0184909269986,13140.337254902,1818.12549019608
38,39,,,,,,/Users/alex/Documents/GitHub/Visual-Similarity/Data/3_Maurer_Japanese_del//3_Symbol_ (39).BMP,23.6087575283571,16472.2431372549,2210.63921568627
39,40,,,,,,/Users/alex/Documents/GitHub/Visual-Similarity/Data/3_Maurer_Japanese_del//3_Symbol_ (40).BMP,22.3297658656059,12801.5215686274,1895.29934640523
40,41,,,,,,/Users/alex/Documents/GitHub/Visual-Similarity/Data/3_Maurer_Japanese_del//3_Symbol_ (41).BMP,14.381862018593,10224.5764705882,1359.36209150327
41,42,,,,,,/Users/alex/Documents/GitHub/Visual-Similarity/Data/3_Maurer_Japanese_del//3_Symbol_ (42).BMP,21.3247580059335,13584.5764705882,1907.96339869281
42,43,,,,,,/Users/alex/Documents/GitHub/Visual-Similarity/Data/3_Maurer_Japanese_del//3_Symbol_ (43).BMP,18.0197657044921,12604.7490196078,1689.45490196078
43,44,,,,,,/Users/alex/Documents/GitHub/Visual-Similarity/Data/3_Maurer_Japanese_del//3_Symbol_ (44).BMP,15.8746299576782,10235.6078431373,1428.9385620915
44,45,,,,,,/Users/alex/Documents/GitHub/Visual-Similarity/Data/3_Maurer_Japanese_del//3_Symbol_ (45).BMP,19.1597472432466,13362.4,1793.66797385621
45,46,,,,,,/Users/alex/Documents/GitHub/Visual-Similarity/Data/3_Maurer_Japanese_del//3_Symbol_ (46).BMP,19.8929624672803,12700.1607843137,1781.80130718954
46,47,,,,,,/Users/alex/Documents/GitHub/Visual-Similarity/Data/3_Maurer_Japanese_del//3_Symbol_ (47).BMP,19.1597472432466,13362.4,1793.66797385621
47,48,,,,,,/Users/alex/Documents/GitHub/Visual-Similarity/Data/3_Maurer_Japanese_del//3_Symbol_ (48).BMP,15.8746299576782,10235.6078431373,1428.9385620915
48,49,,,,,,/Users/alex/Documents/GitHub/Visual-Similarity/Data/3_Maurer_Japanese_del//3_Symbol_ (49).BMP,18.8320890590729,12637.3960784314,1729.35032679739
49,50,,,,,,/Users/alex/Documents/GitHub/Visual-Similarity/Data/3_Maurer_Japanese_del//3_Symbol_ (50).BMP,14.3174148666099,8832.66666666667,1260.61699346405
50,51,,,,,,/Users/alex/Documents/GitHub/Visual-Similarity/Data/3_Maurer_Japanese_del//3_Symbol_ (51).BMP,19.3678517321054,12930.2509803922,1773.98169934641
51,52,,,,,,/Users/alex/Documents/GitHub/Visual-Similarity/Data/3_Maurer_Japanese_del//3_Symbol_ (52).BMP,25.112421063775,16480.8980392157,2280.55032679738
52,53,,,,,,/Users/alex/Documents/GitHub/Visual-Similarity/Data/3_Maurer_Japanese_del//3_Symbol_ (53).BMP,21.5656062037602,13152.8666666667,1887.97385620915
53,54,,,,,,/Users/alex/Documents/GitHub/Visual-Similarity/Data/3_Maurer_Japanese_del//3_Symbol_ (54).BMP,14.8827138935176,9994.4862745098,1367.1816993464
54,55,,,,,,/Users/alex/Documents/GitHub/Visual-Similarity/Data/3_Maurer_Japanese_del//3_Symbol_ (55).BMP,21.0314691816322,12917.2549019608,1847.67189542484
55,56,,,,,,/Users/alex/Documents/GitHub/Visual-Similarity/Data/3_Maurer_Japanese_del//3_Symbol_ (56).BMP,25.237379973369,16924.9490196078,2316.81176470588
56,57,,,,,,/Users/alex/Documents/GitHub/Visual-Similarity/Data/3_Maurer_Japanese_del//3_Symbol_ (57).BMP,20.7152332890977,13120.2196078431,1848.07843137255
57,58,,,,,,/Users/alex/Documents/GitHub/Visual-Similarity/Data/3_Maurer_Japanese_del//3_Symbol_ (58).BMP,19.8929624672803,12700.1607843137,1781.80130718954
58,59,,,,,,/Users/alex/Documents/GitHub/Visual-Similarity/Data/3_Maurer_Japanese_del//3_Symbol_ (59).BMP,25.6021959047244,17064.0156862745,2343.06405228758
59,60,,,,,,/Users/alex/Documents/GitHub/Visual-Similarity/Data/3_Maurer_Japanese_del//3_Word_ 1.BMP,40.9941844359501,4864.36470588235,1582.99346405229
60,61,,,,,,/Users/alex/Documents/GitHub/Visual-Similarity/Data/3_Maurer_Japanese_del//3_Word_ 2.BMP,26.1964007261487,3147.2431372549,1017.86666666667
61,62,,,,,,/Users/alex/Documents/GitHub/Visual-Similarity/Data/3_Maurer_Japanese_del//3_Word_ 3.BMP,35.2824146977392,4773.30196078431,1454.76732026144
62,63,,,,,,/Users/alex/Documents/GitHub/Visual-Similarity/Data/3_Maurer_Japanese_del//3_Word_ 4.BMP,41.8930448225745,5329.0862745098,1674.95163398693
63,64,,,,,,/Users/alex/Documents/GitHub/Visual-Similarity/Data/3_Maurer_Japanese_del//3_Word_ 5.BMP,37.0561957293438,5002.79215686275,1526.30588235294
64,65,,,,,,/Users/alex/Documents/GitHub/Visual-Similarity/Data/3_Maurer_Japanese_del//3_Word_ 6.BMP,50.3842762635916,6409.36078431373,2014.46535947712
65,66,,,,,,/Users/alex/Documents/GitHub/Visual-Similarity/Data/3_Maurer_Japanese_del//3_Word_ 7.BMP,40.2827209568691,4617.29411764706,1528.82614379085
66,67,,,,,,/Users/alex/Documents/GitHub/Visual-Similarity/Data/3_Maurer_Japanese_del//3_Word_ 8.BMP,38.777685860171,4980.87058823529,1557.93202614379
67,68,,,,,,/Users/alex/Documents/GitHub/Visual-Similarity/Data/3_Maurer_Japanese_del//3_Word_ 9.BMP,49.2829343952036,6199.02745098039,1959.36339869281
68,69,,,,,,/Users/alex/Documents/GitHub/Visual-Similarity/Data/3_Maurer_Japanese_del//3_Word_ 10.BMP,37.8879395509982,4713.63529411765,1498.07450980392
69,70,,,,,,/Users/alex/Documents/GitHub/Visual-Similarity/Data/3_Maurer_Japanese_del//3_Word_ 11.BMP,34.8065017856354,4507.67843137255,1404.14379084967
70,71,,,,,,/Users/alex/Documents/GitHub/Visual-Similarity/Data/3_Maurer_Japanese_del//3_Word_ 12.BMP,34.8065017856354,4507.67843137255,1404.14379084967
71,72,,,,,,/Users/alex/Documents/GitHub/Visual-Similarity/Data/3_Maurer_Japanese_del//3_Word_ 13.BMP,45.9164204151348,5331.80392156863,1753.98562091503
72,73,,,,,,/Users/alex/Documents/GitHub/Visual-Similarity/Data/3_Maurer_Japanese_del//3_Word_ 14.BMP,31.409859471522,4298.50588235294,1302.5568627451
73,74,,,,,,/Users/alex/Documents/GitHub/Visual-Similarity/Data/3_Maurer_Japanese_del//3_Word_ 15.BMP,47.2357186178323,5942.47843137255,1878.12287581699
74,75,,,,,,/Users/alex/Documents/GitHub/Visual-Similarity/Data/3_Maurer_Japanese_del//3_Word_ 16.BMP,39.6884900715451,4968.56470588235,1574.17385620915
75,76,,,,,,/Users/alex/Documents/GitHub/Visual-Similarity/Data/3_Maurer_Japanese_del//3_Word_ 17.BMP,32.9457747747195,4474.37647058823,1361.04052287582
76,77,,,,,,/Users/alex/Documents/GitHub/Visual-Similarity/Data/3_Maurer_Japanese_del//3_Word_ 18.BMP,35.7083097448874,4281.4,1386.0614379085
77,78,,,,,,/Users/alex/Documents/GitHub/Visual-Similarity/Data/3_Maurer_Japanese_del//3_Word_ 19.BMP,41.2994551711388,5207.2862745098,1643.92810457516
78,79,,,,,,/Users/alex/Documents/GitHub/Visual-Similarity/Data/3_Maurer_Japanese_del//3_Word_ 20.BMP,31.1571936063798,4028.78431372549,1255.94640522876
79,80,,,,,,/Users/alex/Documents/GitHub/Visual-Similarity/Data/3_Maurer_Japanese_del//3_Word_ 21.BMP,40.0999979891636,4872.87450980392,1567.00261437908
80,81,,,,,,/Users/alex/Documents/GitHub/Visual-Similarity/Data/3_Maurer_Japanese_del//3_Word_ 22.BMP,46.5702515213056,5884.66666666667,1855.75294117647
81,82,,,,,,/Users/alex/Documents/GitHub/Visual-Similarity/Data/3_Maurer_Japanese_del//3_Word_ 23.BMP,38.1818925447857,4820.58823529412,1520.84052287582
