ind,content,obj_num,disconnected_stroke,stroke_sum,junc_sum
60,wood,4,3,7,4
61,car,3,1,5,3
62,bird,4,1,7,7
63,chair,5,1,9,6
64,drum,4,1,8,6
65,bread,5,1,9,9
66,snow,4,2,8,3
67,foam,4,1,8,5
68,eagle,5,1,9,10
69,moon,4,2,7,3
70,fish,4,1,7,4
71,fish,4,1,7,4
72,toast,5,2,8,4
73,doll,4,4,4,6
74,brush,5,1,9,5
75,sand,4,2,6,5
76,ring,4,0,8,6
77,star,4,1,7,4
78,mask,4,1,9,7
79,dog,3,2,4,4
80,book,4,2,7,5
81,camel,5,2,9,8
82,duck,4,2,7,6
83,table,5,1,9,9
84,ball,4,2,6,8
85,moon,4,2,7,3
86,ear,3,0,6,5
87,radio,5,2,8,7
88,door,4,3,5,3
89,eagle,5,1,9,10
90,camp,4,1,8,6
91,hand,4,1,7,6
92,sea,3,1,5,4
93,bird,4,1,7,7
94,tooth,5,2,8,3
95,car,3,1,5,3
96,lake,4,1,8,9
97,snow,4,2,8,3
98,mouse,5,2,9,5
99,palm,4,1,8,8
100,cat,3,1,5,3
101,hook,4,2,7,4
102,shirt,5,1,9,5
103,foam,4,1,8,5
104,chair,5,1,9,6
105,wood,4,3,7,4
106,foot,4,2,6,2
107,sun,3,1,5,2
108,mast,4,1,8,5
109,bread,5,1,9,9
110,drum,4,1,8,6
111,hand,4,1,7,6
112,mask,4,1,9,7
113,camel,5,2,9,8
114,door,4,3,5,3
115,sea,3,1,5,4
116,book,4,2,7,5
117,mast,4,1,8,5
118,brush,5,1,9,5
