,ind,content,obj_num,disconnected_stroke,stroke_sum,junc_sum
0,1,1554,4,0,11,9
1,2,809,3,1,11,9
2,3,6924,4,0,17,16
3,4,8841,4,0,17,17
4,5,88014,5,1,18,17
5,6,4652,4,0,14,13
6,7,25601,5,1,14,12
7,8,8904,4,1,15,13
8,9,22088,5,1,19,18
9,10,8510,4,1,11,9
10,11,189,3,0,13,12
11,12,6261,4,0,15,15
12,13,81219,5,0,20,19
13,14,105,3,1,6,4
14,15,6602,4,1,13,12
15,16,12089,5,1,18,16
16,17,8541,4,0,14,13
17,18,11518,5,0,16,15
18,19,2199,4,0,17,15
19,20,20455,5,1,13,10
20,21,1984,4,0,17,16
21,22,4456,4,0,14,13
22,23,8542,4,0,15,14
23,24,98101,5,1,17,15
24,25,4189,4,0,17,16
25,26,1994,4,0,17,15
26,27,80448,5,1,19,18
27,28,9501,4,1,11,8
28,29,664,3,0,12,12
29,30,1086,4,1,13,12
30,31,814,3,0,12,12
31,32,4086,4,1,14,13
32,33,98412,5,0,21,20
33,34,1551,4,0,10,8
34,35,452,3,0,10,9
35,36,8108,4,1,14,13
36,37,9642,4,0,17,16
37,38,215,3,0,9,8
38,39,8452,4,0,15,14
39,40,1486,4,0,16,16
40,41,8452,4,0,15,14
41,42,215,3,0,9,8
42,43,4189,4,0,17,16
43,44,664,3,0,12,12
44,45,4652,4,0,14,13
45,46,81219,5,0,20,19
46,47,1086,4,1,13,12
47,48,814,3,0,12,12
48,49,9501,4,1,11,8
49,50,12089,5,1,18,16
50,51,6602,4,1,13,12
51,52,1486,4,0,16,16
52,53,20455,5,1,13,10
53,54,6924,4,0,17,16
54,55,8510,4,1,11,9
55,56,452,3,0,10,9
56,57,8904,4,1,15,13
57,58,98412,5,0,21,20
58,59,8108,4,1,14,13
0,60,wood,4,3,7,4
1,61,car,3,1,5,3
2,62,bird,4,1,7,7
3,63,chair,5,1,9,6
4,64,drum,4,1,8,6
5,65,bread,5,1,9,9
6,66,snow,4,2,8,3
7,67,foam,4,1,8,5
8,68,eagle,5,1,9,10
9,69,moon,4,2,7,3
10,70,fish,4,1,7,4
11,71,fish,4,1,7,4
12,72,toast,5,2,8,4
13,73,doll,4,4,4,6
14,74,brush,5,1,9,5
15,75,sand,4,2,6,5
16,76,ring,4,0,8,6
17,77,star,4,1,7,4
18,78,mask,4,1,9,7
19,79,dog,3,2,4,4
20,80,book,4,2,7,5
21,81,camel,5,2,9,8
22,82,duck,4,2,7,6
23,83,table,5,1,9,9
24,84,ball,4,2,6,8
25,85,moon,4,2,7,3
26,86,ear,3,0,6,5
27,87,radio,5,2,8,7
28,88,door,4,3,5,3
29,89,eagle,5,1,9,10
30,90,camp,4,1,8,6
31,91,hand,4,1,7,6
32,92,sea,3,1,5,4
33,93,bird,4,1,7,7
34,94,tooth,5,2,8,3
35,95,car,3,1,5,3
36,96,lake,4,1,8,9
37,97,snow,4,2,8,3
38,98,mouse,5,2,9,5
39,99,palm,4,1,8,8
40,100,cat,3,1,5,3
41,101,hook,4,2,7,4
42,102,shirt,5,1,9,5
43,103,foam,4,1,8,5
44,104,chair,5,1,9,6
45,105,wood,4,3,7,4
46,106,foot,4,2,6,2
47,107,sun,3,1,5,2
48,108,mast,4,1,8,5
49,109,bread,5,1,9,9
50,110,drum,4,1,8,6
51,111,hand,4,1,7,6
52,112,mask,4,1,9,7
53,113,camel,5,2,9,8
54,114,door,4,3,5,3
55,115,sea,3,1,5,4
56,116,book,4,2,7,5
57,117,mast,4,1,8,5
58,118,brush,5,1,9,5
