ind,content,obj_num,disconnected_stroke,stroke_sum,junc_sum
1,1554,4,0,11,9
2,809,3,1,11,9
3,6924,4,0,17,16
4,8841,4,0,17,17
5,88014,5,1,18,17
6,4652,4,0,14,13
7,25601,5,1,14,12
8,8904,4,1,15,13
9,22088,5,1,19,18
10,8510,4,1,11,9
11,189,3,0,13,12
12,6261,4,0,15,15
13,81219,5,0,20,19
14,105,3,1,6,4
15,6602,4,1,13,12
16,12089,5,1,18,16
17,8541,4,0,14,13
18,11518,5,0,16,15
19,2199,4,0,17,15
20,20455,5,1,13,10
21,1984,4,0,17,16
22,4456,4,0,14,13
23,8542,4,0,15,14
24,98101,5,1,17,15
25,4189,4,0,17,16
26,1994,4,0,17,15
27,80448,5,1,19,18
28,9501,4,1,11,8
29,664,3,0,12,12
30,1086,4,1,13,12
31,814,3,0,12,12
32,4086,4,1,14,13
33,98412,5,0,21,20
34,1551,4,0,10,8
35,452,3,0,10,9
36,8108,4,1,14,13
37,9642,4,0,17,16
38,215,3,0,9,8
39,8452,4,0,15,14
40,1486,4,0,16,16
41,8452,4,0,15,14
42,215,3,0,9,8
43,4189,4,0,17,16
44,664,3,0,12,12
45,4652,4,0,14,13
46,81219,5,0,20,19
47,1086,4,1,13,12
48,814,3,0,12,12
49,9501,4,1,11,8
50,12089,5,1,18,16
51,6602,4,1,13,12
52,1486,4,0,16,16
53,20455,5,1,13,10
54,6924,4,0,17,16
55,8510,4,1,11,9
56,452,3,0,10,9
57,8904,4,1,15,13
58,98412,5,0,21,20
59,8108,4,1,14,13
