ind,content,obj_num,disconnected_stroke,stroke_sum,junc_sum
85,OHR,3,1,7,5
86,BEIN,4,1,11,11
87,KIND,4,1,9,9
88,WORT,4,1,10,7
89,MANN,4,0,13,10
90,KNIE,4,1,11,10
91,RAD,3,0,8,8
92,MILCH,5,3,10,8
93,PFERD,5,0,14,12
94,OHR,3,1,7,5
95,BOOT,4,2,7,5
96,SPIEL,5,3,9,8
97,GELD,4,1,9,8
98,HUT,3,1,6,3
99,TAG,3,0,7,6
100,SPIEL,5,3,9,8
101,BOOT,4,2,7,5
102,HUT,3,1,6,3
103,BEIN,4,1,11,11
104,GELD,4,1,9,8
105,PFERD,5,0,14,12
106,TAG,3,0,7,6
107,OHR,3,1,7,5
108,WORT,4,1,10,7
109,KIND,4,1,9,9
110,MILCH,5,3,10,8
111,MANN,4,0,13,10
112,KNIE,4,1,11,10
113,RAD,3,0,8,8
114,GELD,4,1,9,8
115,MILCH,5,3,10,8
116,WORT,4,1,10,7
117,SPIEL,5,3,9,8
118,MANN,4,0,13,10
119,HUT,3,1,6,3
120,KNIE,4,1,11,10
121,TAG,3,0,7,6
122,BOOT,4,2,7,5
123,OHR,3,1,7,5
124,PFERD,5,0,14,12
125,BEIN,4,1,11,11
126,KIND,4,1,9,9
127,RAD,3,0,8,8
128,GELD,4,1,9,8
129,BEIN,4,1,11,11
130,OHR,3,1,7,5
131,PFERD,5,0,14,12
132,RAD,3,0,8,8
133,SPIEL,5,3,9,8
134,MILCH,5,3,10,8
135,MANN,4,0,13,10
136,WORT,4,1,10,7
137,KNIE,4,1,11,10
138,TAG,3,0,7,6
139,HUT,3,1,6,3
140,BOOT,4,2,7,5
141,KIND,4,1,9,9
142,GELD,4,1,9,8
143,KIND,4,1,9,9
144,OHR,3,1,7,5
145,MILCH,5,3,10,8
146,MANN,4,0,13,10
147,SPIEL,5,3,9,8
148,RAD,3,0,8,8
149,BEIN,4,1,11,11
150,BOOT,4,2,7,5
151,PFERD,5,0,14,12
152,WORT,4,1,10,7
153,TAG,3,0,7,6
154,KNIE,4,1,11,10
155,HUT,3,1,6,3
156,WORT,4,1,10,7
157,MILCH,5,3,10,8
158,RAD,3,0,8,8
159,GELD,4,1,9,8
160,BOOT,4,2,7,5
161,BEIN,4,1,11,11
162,PFERD,5,0,14,12
163,HUT,3,1,6,3
164,MANN,4,0,13,10
165,KIND,4,1,9,9
166,SPIEL,5,3,9,8
167,KNIE,4,1,11,10
168,TAG,3,0,7,6
