ind,content,obj_num,disconnected_stroke,stroke_sum,junc_sum
1,PFERD,5,0,23,19
2,PFERD,5,0,23,19
3,TAG,3,0,10,7
4,KNIE,4,0,11,8
5,BEIN,4,0,13,10
6,GELD,4,0,14,12
7,MANN,4,0,10,7
8,HUT,3,0,8,4
9,BOOT,4,0,14,13
10,RAD,3,0,14,12
11,MILCH,5,0,13,8
12,OHR,3,0,11,9
13,KIND,4,0,13,11
14,SPIEL,5,0,16,12
15,WORT,4,0,14,10
16,HUT,3,0,8,4
17,BEIN,4,0,13,10
18,BOOT,4,0,14,13
19,OHR,3,0,11,9
20,TAG,3,0,10,7
21,SPIEL,5,0,16,12
22,WORT,4,0,14,10
23,PFERD,5,0,23,19
24,KIND,4,0,13,11
25,GELD,4,0,14,12
26,MILCH,5,0,13,8
27,RAD,3,0,14,12
28,KNIE,4,0,11,8
29,MANN,4,0,10,7
30,GELD,4,0,14,12
31,TAG,3,0,10,7
32,HUT,3,0,8,4
33,MILCH,5,0,13,8
34,BOOT,4,0,14,13
35,KIND,4,0,13,11
36,BEIN,4,0,13,10
37,PFERD,5,0,23,19
38,MANN,4,0,10,7
39,KNIE,4,0,11,8
40,OHR,3,0,11,9
41,WORT,4,0,14,10
42,RAD,3,0,14,12
43,SPIEL,5,0,16,12
44,HUT,3,0,8,4
45,KIND,4,0,13,11
46,RAD,3,0,14,12
47,WORT,4,0,14,10
48,BOOT,4,0,14,13
49,KNIE,4,0,11,8
50,OHR,3,0,11,9
51,TAG,3,0,10,7
52,GELD,4,0,14,12
53,PFERD,5,0,23,19
54,BEIN,4,0,13,10
55,MILCH,5,0,13,8
56,SPIEL,5,0,16,12
57,MANN,4,0,10,7
58,SPIEL,5,0,16,12
59,TAG,3,0,10,7
60,WORT,4,0,14,10
61,MANN,4,0,10,7
62,GELD,4,0,14,12
63,RAD,3,0,14,12
64,HUT,3,0,8,4
65,BOOT,4,0,14,13
66,BEIN,4,0,13,10
67,MILCH,5,0,13,8
68,KNIE,4,0,11,8
69,OHR,3,0,11,9
70,PFERD,5,0,23,19
71,KIND,4,0,13,11
72,HUT,3,0,8,4
73,OHR,3,0,11,9
74,BOOT,4,0,14,13
75,KIND,4,0,13,11
76,TAG,3,0,10,7
77,KNIE,4,0,11,8
78,SPIEL,5,0,16,12
79,RAD,3,0,14,12
80,BEIN,4,0,13,10
81,WORT,4,0,14,10
82,MANN,4,0,10,7
83,GELD,4,0,14,12
84,MILCH,5,0,13,8
