,content,obj_num,disconnected_stroke,stroke_sum,junc_sum
0,혀,2,0,6,2
1,텨,2,0,7,5
2,북,3,0,8,6
3,돼,2,0,8,5
4,파,2,0,6,5
5,뭐,2,0,8,6
6,화,2,0,7,2
7,앞,3,1,7,5
8,않,3,1,8,2
9,꿴,3,0,11,5
10,꽹,3,1,10,5
11,뎁,3,0,10,7
12,뗑,3,1,10,5
13,똬,2,0,10,6
14,옆,3,1,8,6
15,웝,3,1,9,6
16,꼲,3,0,11,4
17,쾌,2,0,9,5
18,편,3,0,9,7
19,댾,3,0,12,7
20,뇋,3,0,10,4
21,뇉,3,0,11,7
22,없,3,1,9,6
23,빤,3,0,12,10
24,짭,3,0,12,9
25,뜁,3,0,13,9
26,뗶,3,0,14,8
27,뇊,3,0,11,8
28,꼕,3,0,13,7
29,궪,3,0,12,4
30,빠,2,0,10,9
31,팎,3,0,10,7
32,뵿,3,0,10,6
33,훥,3,0,12,5
34,쬡,3,0,13,9
35,뻗,3,0,13,11
36,짡,3,0,13,8
37,짢,3,0,13,6
38,뗁,3,0,14,8
39,똏,3,0,13,6
40,쾒,3,0,14,6
41,空,1,0,100,100
42,空,1,0,100,100
43,뚫,3,0,16,9
44,뺳,3,0,14,10
45,뷉,3,0,13,10
46,空,1,0,100,100
47,봲,3,0,14,8
48,뻲,3,0,16,10
49,空,1,0,100,100
50,뺲,3,0,15,14
51,空,1,0,100,100
52,空,1,0,100,100
53,空,1,0,100,100
54,뻎,3,0,16,16
55,空,1,0,100,100
56,뺂,3,0,16,11
57,空,1,0,100,100
58,까,2,0,6,3
59,져,2,0,6,4
