content,obj_num,disconnected_stroke,stroke_sum,junc_sum,file_loc,PC
日,1,0,4,6,c1.png,8.889355292
早,1,0,6,8,c10.png,10.99607593
字,2,0,6,7,c11.png,11.20568546
她,2,0,6,9,c12.png,16.52333992
有,1,0,6,8,c13.png,12.2965165
沒,5,3,8,6,c14.png,15.37177365
把,2,0,8,11,c15.png,13.0146965
弟,1,0,7,11,c16.png,12.63211956
身,1,0,7,10,c17.png,10.96282941
些,4,2,7,6,c18.png,14.36612529
兒,1,0,8,10,c19.png,13.33726865
不,2,1,4,2,c2.png,9.257294779
具,1,0,8,12,c20.png,14.23660586
放,1,0,8,10,c21.png,13.5421687
明,2,0,8,13,c22.png,13.74891226
果,1,0,8,10,c23.png,12.80880662
爸,1,0,8,13,c24.png,14.72171638
雨,1,4,8,5,c25.png,15.19787057
洗,4,3,10,7,c26.png,15.5187323
保,4,2,9,7,c27.png,14.37538847
美,1,0,9,7,c28.png,16.19994282
星,1,0,9,11,c29.png,13.2049277
心,4,3,4,2,c3.png,11.20920914
音,2,0,9,11,c30.png,12.96616467
風,1,0,9,11,c31.png,14.48271334
活,4,3,10,7,c32.png,13.91281286
師,2,0,10,14,c33.png,14.45055489
哪,3,0,10,15,c34.png,18.63406169
氣,2,2,10,8,c35.png,17.8711507
時,2,1,10,11,c36.png,13.28442171
個,2,0,10,11,c37.png,15.38724635
動,1,0,11,17,c38.png,15.72754152
習,1,0,11,17,c39.png,16.83119968
天,1,0,4,2,c4.png,10.31524821
這,4,3,14,9,c40.png,20.81661228
四,1,0,5,8,c5.png,11.2052115
去,1,0,5,5,c6.png,11.05118568
外,2,0,5,5,c7.png,9.841837664
回,3,0,6,8,c8.png,12.74494818
吃,1,0,6,8,c9.png,12.4064859
수,2,0,4,2,k1.png,8.751874273
포,1,0,6,5,k10.png,9.399251017
생,3,1,6,3,k11.png,12.13733575
들,3,1,9,6,k12.png,13.64614479
센,4,0,7,3,k13.png,11.65673508
받,3,0,9,7,k14.png,11.66621092
집,3,1,8,6,k15.png,11.53819489
살,3,0,9,6,k16.png,13.17504031
앞,3,1,7,5,k17.png,12.13709333
화,3,2,7,2,k18.png,12.07292382
말,3,0,11,9,k19.png,12.82711091
서,2,0,4,2,k2.png,8.134736822
렇,4,3,10,5,k20.png,12.55564787
종,4,0,6,3,k21.png,14.98569343
함,4,3,9,5,k22.png,13.61034455
없,2,1,9,6,k23.png,11.77942306
물,2,0,11,9,k24.png,15.66984262
빠,3,0,10,9,k25.png,11.10054712
떻,5,3,11,5,k26.png,13.87544897
렵,3,0,12,10,k27.png,12.6453883
넒,4,0,13,10,k28.png,12.00368436
옮,3,0,12,9,k29.png,13.66080797
다,2,0,5,3,k3.png,8.302247957
품,2,0,10,9,k30.png,11.98479538
찮,5,4,11,4,k31.png,14.20370344
텔,4,0,12,8,k32.png,16.70227724
활,4,2,12,6,k33.png,15.48396698
했,4,3,10,4,k34.png,13.7125168
뗌,5,0,13,9,k35.png,13.38890959
졌,3,0,10,6,k36.png,11.52992842
떴,4,0,12,7,k37.png,12.95128762
빨,4,0,15,13,k38.png,14.65698937
묾,2,0,15,13,k39.png,13.69201721
교,2,0,5,3,k4.png,9.023314041
뽑,2,0,14,13,k40.png,12.72529742
하,3,3,5,1,k5.png,10.39544461
보,1,0,6,5,k6.png,9.259728745
대,2,0,6,4,k7.png,9.81191859
같,3,0,8,5,k8.png,11.47896899
회,3,3,6,1,k9.png,11.83534618
