content,obj_num,disconnected_stroke,stroke_sum,junc_sum,file_loc,PC
1554,4,0,11,9,3_Symbol_ (1).BMP,18.0197657044921
809,3,1,11,9,3_Symbol_ (2).BMP,21.8640356278622
6924,4,0,17,16,3_Symbol_ (3).BMP,14.381862018593
8841,4,0,17,17,3_Symbol_ (4).BMP,18.9707409071311
88014,5,1,18,17,3_Symbol_ (5).BMP,23.6087575283571
4652,4,0,14,13,3_Symbol_ (6).BMP,21.3247580059335
25601,5,1,14,12,3_Symbol_ (7).BMP,20.7458791060053
8904,4,1,15,13,3_Symbol_ (8).BMP,14.6718966489101
22088,5,1,19,18,3_Symbol_ (9).BMP,18.0197657044921
8510,4,1,11,9,3_Symbol_ (10).BMP,19.6730771849593
189,3,0,13,12,3_Symbol_ (11).BMP,25.604522232804
6261,4,0,15,15,3_Symbol_ (12).BMP,19.3678517321054
81219,5,0,20,19,3_Symbol_ (13).BMP,26.8389609019333
105,3,1,6,4,3_Symbol_ (14).BMP,18.9707409071311
6602,4,1,13,12,3_Symbol_ (15).BMP,25.0644987363532
12089,5,1,18,16,3_Symbol_ (16).BMP,21.8640356278622
8541,4,0,14,13,3_Symbol_ (17).BMP,14.5508137908677
11518,5,0,16,15,3_Symbol_ (18).BMP,20.6000361123275
2199,4,0,17,15,3_Symbol_ (19).BMP,25.112421063775
20455,5,1,13,10,3_Symbol_ (20).BMP,17.0916192793177
1984,4,0,17,16,3_Symbol_ (21).BMP,20.7152332890977
4456,4,0,14,13,3_Symbol_ (22).BMP,25.237379973369
8542,4,0,15,14,3_Symbol_ (23).BMP,20.1940645851246
98101,5,1,17,15,3_Symbol_ (24).BMP,27.5961202154834
4189,4,0,17,16,3_Symbol_ (25).BMP,18.4663948404106
1994,4,0,17,15,3_Symbol_ (26).BMP,25.6021959047244
80448,5,1,19,18,3_Symbol_ (27).BMP,18.8320890590729
9501,4,1,11,8,3_Symbol_ (28).BMP,18.894030813238
664,3,0,12,12,3_Symbol_ (29).BMP,19.1597472432466
1086,4,1,13,12,3_Symbol_ (30).BMP,26.2966501084713
814,3,0,12,12,3_Symbol_ (31).BMP,18.8320890590729
4086,4,1,14,13,3_Symbol_ (32).BMP,17.9984940175666
98412,5,0,21,20,3_Symbol_ (33).BMP,24.116088347064
1551,4,0,10,8,3_Symbol_ (34).BMP,21.0314691816322
452,3,0,10,9,3_Symbol_ (35).BMP,14.3174148666099
8108,4,1,14,13,3_Symbol_ (36).BMP,21.5656062037602
9642,4,0,17,16,3_Symbol_ (37).BMP,14.8827138935176
215,3,0,9,8,3_Symbol_ (38).BMP,20.0184909269986
8452,4,0,15,14,3_Symbol_ (39).BMP,23.6087575283571
1486,4,0,16,16,3_Symbol_ (40).BMP,22.3297658656059
8452,4,0,15,14,3_Symbol_ (41).BMP,14.381862018593
215,3,0,9,8,3_Symbol_ (42).BMP,21.3247580059335
4189,4,0,17,16,3_Symbol_ (43).BMP,18.0197657044921
664,3,0,12,12,3_Symbol_ (44).BMP,15.8746299576782
4652,4,0,14,13,3_Symbol_ (45).BMP,19.1597472432466
81219,5,0,20,19,3_Symbol_ (46).BMP,19.8929624672803
1086,4,1,13,12,3_Symbol_ (47).BMP,19.1597472432466
814,3,0,12,12,3_Symbol_ (48).BMP,15.8746299576782
9501,4,1,11,8,3_Symbol_ (49).BMP,18.8320890590729
12089,5,1,18,16,3_Symbol_ (50).BMP,14.3174148666099
6602,4,1,13,12,3_Symbol_ (51).BMP,19.3678517321054
1486,4,0,16,16,3_Symbol_ (52).BMP,25.112421063775
20455,5,1,13,10,3_Symbol_ (53).BMP,21.5656062037602
6924,4,0,17,16,3_Symbol_ (54).BMP,14.8827138935176
8510,4,1,11,9,3_Symbol_ (55).BMP,21.0314691816322
452,3,0,10,9,3_Symbol_ (56).BMP,25.237379973369
8904,4,1,15,13,3_Symbol_ (57).BMP,20.7152332890977
98412,5,0,21,20,3_Symbol_ (58).BMP,19.8929624672803
8108,4,1,14,13,3_Symbol_ (59).BMP,25.6021959047244
wood,4,3,7,4,3_Word_ 1.BMP,40.9941844359501
car,3,1,5,3,3_Word_ 2.BMP,26.1964007261487
bird,4,1,7,7,3_Word_ 3.BMP,35.2824146977392
chair,5,1,9,6,3_Word_ 4.BMP,41.8930448225745
drum,4,1,8,6,3_Word_ 5.BMP,37.0561957293438
bread,5,1,9,9,3_Word_ 6.BMP,50.3842762635916
snow,4,2,8,3,3_Word_ 7.BMP,40.2827209568691
foam,4,1,8,5,3_Word_ 8.BMP,38.777685860171
eagle,5,1,9,10,3_Word_ 9.BMP,49.2829343952036
moon,4,2,7,3,3_Word_ 10.BMP,37.8879395509982
fish,4,1,7,4,3_Word_ 11.BMP,34.8065017856354
fish,4,1,7,4,3_Word_ 12.BMP,34.8065017856354
toast,5,2,8,4,3_Word_ 13.BMP,45.9164204151348
doll,4,4,4,6,3_Word_ 14.BMP,31.409859471522
brush,5,1,9,5,3_Word_ 15.BMP,47.2357186178323
sand,4,2,6,5,3_Word_ 16.BMP,39.6884900715451
ring,4,0,8,6,3_Word_ 17.BMP,32.9457747747195
star,4,1,7,4,3_Word_ 18.BMP,35.7083097448874
mask,4,1,9,7,3_Word_ 19.BMP,41.2994551711388
dog,3,2,4,4,3_Word_ 20.BMP,31.1571936063798
book,4,2,7,5,3_Word_ 21.BMP,40.0999979891636
camel,5,2,9,8,3_Word_ 22.BMP,46.5702515213056
duck,4,2,7,6,3_Word_ 23.BMP,38.1818925447857
table,5,1,9,9,3_Word_ 24.BMP,46.4915962176657
ball,4,2,6,8,3_Word_ 25.BMP,33.153528600199
moon,4,2,7,3,3_Word_ 26.BMP,37.8879395509982
ear,3,0,6,5,3_Word_ 27.BMP,28.3097977229257
radio,5,2,8,7,3_Word_ 28.BMP,43.0591059915242
door,4,3,5,3,3_Word_ 29.BMP,36.2078136512728
eagle,5,1,9,10,3_Word_ 30.BMP,49.2829343952036
camp,4,1,8,6,3_Word_ 31.BMP,41.3452552453676
hand,4,1,7,6,3_Word_ 32.BMP,39.0997319837209
sea,3,1,5,4,3_Word_ 33.BMP,31.5133801203609
bird,4,1,7,7,3_Word_ 34.BMP,35.2824146977392
tooth,5,2,8,3,3_Word_ 35.BMP,44.4298005338392
car,3,1,5,3,3_Word_ 36.BMP,26.1964007261487
lake,4,1,8,9,3_Word_ 37.BMP,37.0438371835976
snow,4,2,8,3,3_Word_ 38.BMP,40.2827209568691
mouse,5,2,9,5,3_Word_ 39.BMP,49.8832894406292
palm,4,1,8,8,3_Word_ 40.BMP,38.2449325514712
cat,3,1,5,3,3_Word_ 41.BMP,27.1472249389775
hook,4,2,7,4,3_Word_ 42.BMP,38.3365461347484
shirt,5,1,9,5,3_Word_ 43.BMP,41.3290323742928
foam,4,1,8,5,3_Word_ 44.BMP,38.777685860171
chair,5,1,9,6,3_Word_ 45.BMP,41.8930448225745
wood,4,3,7,4,3_Word_ 46.BMP,40.9941844359501
foot,4,2,6,2,3_Word_ 47.BMP,35.3178070196369
sun,3,1,5,2,3_Word_ 48.BMP,27.5547058934708
mast,4,1,8,5,3_Word_ 49.BMP,39.2496080464563
bread,5,1,9,9,3_Word_ 50.BMP,50.3842762635916
drum,4,1,8,6,3_Word_ 51.BMP,37.0561957293438
hand,4,1,7,6,3_Word_ 52.BMP,39.0997319837209
mask,4,1,9,7,3_Word_ 53.BMP,41.2994551711388
camel,5,2,9,8,3_Word_ 54.BMP,46.5702515213056
door,4,3,5,3,3_Word_ 55.BMP,36.2078136512728
sea,3,1,5,4,3_Word_ 56.BMP,31.5133801203609
book,4,2,7,5,3_Word_ 57.BMP,40.0999979891636
mast,4,1,8,5,3_Word_ 58.BMP,39.2496080464563
brush,5,1,9,5,3_Word_ 59.BMP,47.2357186178323
