,obj_num,disconnected_stroke,stroke_sum,junc_sum,PC,sum_of_square
symbol1,0.5944444444444446,0.10000000000000005,0.5974999999999999,0.6166666666666668,0.2881501066169219,0.43935224354560665
symbol2,0.5944444444444444,0.10000000000000005,0.5975,0.6166666666666666,0.2881501066169219,0.4393522435456066
symbol3,0.5083333333333333,0.09000000000000002,0.5166666666666667,0.5484848484848486,0.23288344240880413,0.3792736581787306
german1,0.5972222222222222,0.22666666666666666,0.25166666666666665,0.26666666666666666,0.6300364967394789,0.3944517437923402
german4,0.488095238095238,0.2142857142857141,0.2678571428571429,0.31168831168831157,0.5855809137308262,0.3735014641314466
english2,0.597222222222222,0.24666666666666656,0.23249999999999996,0.26439393939393935,0.6128940732556937,0.3907353803077044
english3,0.5277777777777779,0.2766666666666665,0.1925,0.2204545454545454,0.5203627758733245,0.34755235315446287
falsefont4,0.47817460317460314,0.01904761904761905,0.45238095238095255,0.41504329004329,0.09708578425621697,0.29234644978053637
chinese5,0.2888888888888889,0.21666666666666662,0.34250000000000014,0.3901515151515151,0.12289823379486338,0.27222106090038684
chinese7,0.16666666666666669,0.135,0.19874999999999993,0.35909090909090907,0.12197095472584907,0.19629570609668495
chinese8,0.3277777777777777,0.061666666666666696,0.34125,0.3208333333333335,0.21878753358719022,0.25406306227299363
korean5,0.5500000000000002,0.1433333333333334,0.3758333333333334,0.3037878787878788,0.10338736209078503,0.29526838150906615
korean7,0.35833333333333334,0.08000000000000002,0.265,0.2545454545454546,0.09584098669695898,0.21074395491514938
korean8,0.34180790960451973,0.2389830508474575,0.2576271186440679,0.2415254237288137,0.130602333812558,0.24210916732748333
