,content,obj_num,disconnected_stroke,stroke_sum,junc_sum
0,희,2,0,5,0
1,대,2,0,6,4
2,었,3,1,7,3
3,웨,2,1,6,2
4,튀,2,0,7,4
5,훈,3,0,7,2
6,체,2,0,7,3
7,볶,3,0,10,7
8,획,3,0,8,2
9,썩,3,0,8,4
10,열,3,1,9,6
11,화,2,0,7,2
12,찻,3,0,8,4
13,율,3,1,9,6
14,꽃,3,0,10,5
15,롭,3,0,11,9
16,空,1,0,100,100
17,탈,3,0,11,8
18,空,1,0,100,100
19,空,1,0,100,100
20,환,3,0,9,3
21,첼,3,0,12,7
22,밝,3,0,13,10
23,空,1,0,100,100
24,걸,3,0,9,6
25,촌,3,0,8,4
26,센,3,0,7,3
27,콜,3,0,11,7
28,뚱,3,1,9,5
29,空,1,0,100,100
30,空,1,0,100,100
31,찰,3,0,11,7
32,돈,3,0,7,4
33,전,3,0,7,4
34,압,3,1,7,5
35,배,2,0,7,6
36,려,2,0,8,6
37,탕,3,1,7,4
38,한,3,0,7,2
39,레,2,0,8,5
40,러,2,0,7,5
41,제,2,0,6,3
42,들,3,1,9,6
43,넷,3,0,7,3
44,즐,3,1,9,6
45,슬,3,1,8,5
46,반,3,0,8,6
47,空,1,0,100,100
48,잘,3,0,10,7
49,섹,3,0,7,3
50,통,3,1,7,4
51,空,1,0,100,100
52,空,1,0,100,100
53,출,3,0,11,7
54,벚,3,0,9,7
55,월,3,1,10,6
56,空,1,0,100,100
57,합,3,0,9,5
58,핸,3,0,8,3
59,량,3,1,9,6
60,캐,2,0,7,4
61,냉,3,1,6,3
62,댄,3,0,8,5
63,울,3,1,8,5
64,란,3,0,9,6
65,복,3,0,8,6
66,빗,3,1,7,5
67,쾌,2,0,9,5
68,절,3,0,10,7
69,떡,3,0,10,6
70,렌,3,0,10,6
71,설,3,0,9,6
72,달,3,0,10,7
73,립,3,1,10,8
74,空,1,0,100,100
75,空,1,0,100,100
76,법,3,0,10,9
77,空,1,0,100,100
78,空,1,0,100,100
79,空,1,0,100,100
80,할,3,0,10,5
81,챔,3,0,11,8
82,空,1,0,100,100
83,딸,3,0,13,9
84,원,3,1,7,3
85,알,3,1,8,5
86,채,2,0,7,4
87,엽,3,1,8,6
88,병,3,1,8,6
89,空,1,0,100,100
90,空,1,0,100,100
91,털,3,0,11,8
92,정,3,1,6,3
93,산,3,0,6,3
94,촉,3,0,8,4
95,테,2,0,7,4
96,롱,3,1,8,5
97,골,3,0,9,6
98,방,3,1,7,5
99,空,1,0,100,100
100,워,2,1,5,2
101,예,2,1,5,2
102,류,2,0,8,6
103,랑,3,1,8,5
104,돗,3,0,7,4
105,클,3,1,10,6
106,짖,3,1,7,4
107,空,1,0,100,100
108,둘,3,0,10,7
109,천,3,0,8,4
110,날,3,0,9,6
111,空,1,0,100,100
112,빵,3,1,11,9
113,불,3,0,11,9
114,탑,3,0,10,8
115,空,1,0,100,100
116,펜,3,0,9,6
117,훌,3,0,10,5
118,줍,3,0,9,7
119,첫,3,0,8,4
